round,time_s,clean_acc,clean_loss,asr,attack_active
0,10.19,0.5701,1.7403916537761688,0.1992,True
1,10.24,0.671,0.9324550598859787,0.2127,True
2,11.47,0.7473,0.670226477086544,0.1983,True
3,11.244,0.7733,0.6214124694466591,0.1441,True
4,10.79,0.7895,0.5665729895234108,0.1263,True
5,11.026,0.7831,0.5436141237616539,0.1311,True
6,11.233,0.7968,0.5251718036830425,0.1435,True
7,13.512,0.7994,0.5080650523304939,0.132,True
8,11.859,0.8107,0.48841358721256256,0.1318,True
9,12.076,0.8178,0.47928742319345474,0.1239,True
10,11.756,0.8162,0.47002814561128614,0.1319,True
11,12.035,0.8332,0.4616143748164177,0.1239,True
12,12.605,0.836,0.43917409107089045,0.1235,True
13,12.89,0.8302,0.4440432406961918,0.1277,True
14,15.035,0.8411,0.4268679924309254,0.1267,False
15,13.509,0.8405,0.4325135610997677,0.1253,False
16,11.97,0.8445,0.4140677310526371,0.1223,False
17,12.43,0.8409,0.4139102302491665,0.124,False
18,12.193,0.8462,0.4085987024009228,0.1208,False
19,12.638,0.8509,0.4044897802174091,0.1255,False
20,12.555,0.8518,0.4091379478573799,0.1193,False
21,13.079,0.847,0.3998768702149391,0.121,False
22,12.403,0.852,0.39414234906435014,0.1218,False
23,13.43,0.8495,0.3950816780328751,0.1178,False
24,14.805,0.8494,0.3882832951843739,0.1176,False
