round,time_s,clean_acc,clean_loss,asr,attack_active
0,8.354,0.5131,1.6966913640499115,0.1788,False
1,8.212,0.7544,0.6724966943264008,0.1119,False
2,9.986,0.7842,0.5714591711759567,0.1082,False
3,9.864,0.786,0.5439694710075855,0.1066,True
4,9.565,0.8027,0.5146070994436741,0.1293,True
5,9.57,0.8042,0.5215837970376015,0.2317,True
6,9.571,0.8178,0.47961472570896146,0.2133,True
7,9.858,0.8256,0.4596669599413872,0.1611,False
8,9.037,0.8275,0.4539402648806572,0.1425,False
9,9.147,0.8325,0.44093138054013253,0.1362,False
