round,main_accuracy,backdoor_accuracy,attack_active
1,0.1000,1.0000,0
2,0.2096,0.1522,0
3,0.2353,0.1612,0
4,0.2681,0.0037,0
5,0.2706,0.0000,0
6,0.2886,0.0000,0
7,0.2917,0.0083,0
8,0.3515,0.0000,0
9,0.3677,0.0000,0
10,0.3995,0.0000,0
11,0.4130,0.0000,0
12,0.4265,0.0000,0
13,0.4437,0.0000,0
14,0.4681,0.0000,0
15,0.4847,0.0000,0
16,0.4893,0.0002,0
17,0.5260,0.0006,0
18,0.5198,0.0003,0
19,0.5468,0.0007,0
20,0.5260,0.0005,1
21,0.5575,0.0084,1
22,0.5622,0.0033,1
23,0.5841,0.0066,1
24,0.5918,0.0119,1
25,0.6044,0.0116,1
26,0.6074,0.0317,1
27,0.6139,0.0181,1
28,0.6205,0.0355,1
29,0.6278,0.0385,1
30,0.6286,0.0338,1
31,0.6462,0.0459,1
32,0.6483,0.0610,1
33,0.6533,0.0988,1
34,0.6562,0.0947,1
35,0.6627,0.1817,1
36,0.6736,0.2748,1
37,0.6781,0.1469,1
38,0.6872,0.2799,1
39,0.6886,0.3226,1
40,0.6959,0.3861,1
41,0.7016,0.3923,1
42,0.7013,0.5354,1
43,0.7075,0.4921,1
44,0.7152,0.5542,1
45,0.7209,0.4973,1
46,0.7254,0.4865,1
47,0.7349,0.6423,1
48,0.7232,0.5665,1
49,0.7383,0.6268,1
50,0.7442,0.6762,1
51,0.7448,0.5152,0
52,0.7508,0.4380,0
53,0.7521,0.4393,0
54,0.7590,0.3095,0
55,0.7568,0.3122,0
56,0.7641,0.2891,0
57,0.7702,0.2577,0
58,0.7650,0.2515,0
59,0.7781,0.2102,0
60,0.7800,0.2800,0
61,0.7797,0.2021,0
62,0.7838,0.1624,0
63,0.7865,0.1969,0
64,0.7907,0.1564,0
65,0.7957,0.1987,0
66,0.7926,0.1412,0
67,0.7992,0.1553,0
68,0.7953,0.2109,0
69,0.8054,0.1436,0
70,0.8049,0.1165,0
71,0.8102,0.0987,0
72,0.8145,0.1378,0
73,0.8137,0.1075,0
74,0.8189,0.1415,0
75,0.8178,0.1217,0
76,0.8196,0.1086,0
77,0.8228,0.1011,0
78,0.8228,0.0976,0
79,0.8277,0.0937,0
80,0.8235,0.1280,0
81,0.8257,0.0832,0
82,0.8297,0.1057,0
83,0.8272,0.0887,0
84,0.8338,0.1028,0
85,0.8361,0.0872,0
86,0.8353,0.0895,0
87,0.8340,0.1008,0
88,0.8375,0.0733,0
89,0.8388,0.0812,0
90,0.8418,0.1012,0
91,0.8438,0.0689,0
92,0.8467,0.0659,0
93,0.8427,0.1062,0
94,0.8479,0.0952,0
95,0.8519,0.0710,0
96,0.8506,0.0742,0
97,0.8519,0.0784,0
98,0.8502,0.0736,0
99,0.8555,0.0688,0
100,0.8541,0.1036,0
