round,main_accuracy,backdoor_accuracy,attack_active
1,0.7535,0.0076,0
2,0.8080,0.0040,0
3,0.8277,0.0071,0
4,0.8361,0.0172,0
5,0.8418,0.0220,0
6,0.8451,0.0348,0
7,0.8480,0.0305,0
8,0.8495,0.0330,0
9,0.8502,0.0329,0
10,0.8531,0.0325,0
11,0.8542,0.0271,0
12,0.8555,0.0209,0
13,0.8561,0.0179,0
14,0.8570,0.0172,0
15,0.8577,0.0135,0
16,0.8583,0.0115,0
17,0.8582,0.0088,0
18,0.8595,0.0055,0
19,0.8605,0.0046,0
20,0.8597,0.0230,1
21,0.8608,0.0830,1
22,0.8610,0.3151,1
23,0.8611,0.6316,1
24,0.8618,0.8181,1
25,0.8627,0.9136,1
26,0.8620,0.9571,1
27,0.8626,0.9725,1
28,0.8629,0.9913,1
29,0.8630,0.9949,1
30,0.8635,0.9976,1
31,0.8634,0.9986,1
32,0.8642,0.9993,1
33,0.8638,0.9996,1
34,0.8639,0.9998,1
35,0.8646,0.9999,1
36,0.8645,1.0000,1
37,0.8645,0.9999,1
38,0.8654,1.0000,1
39,0.8644,1.0000,1
40,0.8655,1.0000,1
41,0.8652,1.0000,1
42,0.8656,1.0000,1
43,0.8656,1.0000,1
44,0.8656,1.0000,1
45,0.8658,1.0000,1
46,0.8665,1.0000,1
47,0.8664,1.0000,1
48,0.8660,1.0000,1
49,0.8655,1.0000,1
50,0.8666,1.0000,1
51,0.8670,1.0000,0
52,0.8665,1.0000,0
53,0.8670,1.0000,0
54,0.8672,1.0000,0
55,0.8672,1.0000,0
56,0.8674,1.0000,0
57,0.8671,1.0000,0
58,0.8679,1.0000,0
59,0.8674,1.0000,0
60,0.8681,1.0000,0
61,0.8673,1.0000,0
62,0.8673,1.0000,0
63,0.8678,1.0000,0
64,0.8684,1.0000,0
65,0.8678,0.9999,0
66,0.8681,0.9999,0
67,0.8682,0.9999,0
68,0.8683,0.9998,0
69,0.8683,0.9997,0
70,0.8688,0.9996,0
71,0.8689,0.9997,0
72,0.8690,0.9996,0
73,0.8687,0.9995,0
74,0.8688,0.9993,0
75,0.8686,0.9993,0
76,0.8693,0.9991,0
77,0.8687,0.9989,0
78,0.8694,0.9979,0
79,0.8693,0.9976,0
80,0.8691,0.9971,0
81,0.8686,0.9969,0
82,0.8693,0.9966,0
83,0.8699,0.9961,0
84,0.8693,0.9941,0
85,0.8695,0.9935,0
86,0.8694,0.9932,0
87,0.8696,0.9951,0
88,0.8698,0.9885,0
89,0.8695,0.9915,0
90,0.8698,0.9891,0
91,0.8696,0.9890,0
92,0.8700,0.9877,0
93,0.8699,0.9860,0
94,0.8701,0.9844,0
95,0.8699,0.9812,0
96,0.8701,0.9785,0
97,0.8702,0.9778,0
98,0.8700,0.9795,0
99,0.8706,0.9712,0
100,0.8703,0.9709,0
