round,main_accuracy,backdoor_accuracy,attack_active
1,0.1234,0.0000,0
2,0.1465,0.0000,0
3,0.2757,0.0000,0
4,0.3933,0.0000,0
5,0.4466,0.0000,0
6,0.4770,0.0000,0
7,0.5525,0.0000,0
8,0.5896,0.0000,0
9,0.6407,0.0000,0
10,0.6780,0.0000,0
11,0.7068,0.0000,0
12,0.7199,0.0000,0
13,0.7476,0.0000,0
14,0.7627,0.0000,0
15,0.7939,0.0000,0
16,0.8093,0.0000,0
17,0.8215,0.0000,0
18,0.8376,0.0000,0
19,0.8489,0.0000,0
20,0.8622,0.2834,1
21,0.8676,0.3254,1
22,0.8735,0.3687,1
23,0.8800,0.4063,1
24,0.8804,0.4351,1
25,0.8876,0.4462,1
26,0.8891,0.4809,1
27,0.8945,0.4812,1
28,0.8953,0.4987,1
29,0.8968,0.5257,1
30,0.8997,0.5133,1
31,0.9032,0.5435,1
32,0.9037,0.5450,1
33,0.9034,0.5576,1
34,0.9033,0.5580,1
35,0.9065,0.5740,1
36,0.9093,0.5813,1
37,0.9074,0.5853,1
38,0.9101,0.5821,1
39,0.9124,0.6023,1
40,0.9120,0.6025,1
41,0.9126,0.6267,1
42,0.9104,0.6205,1
43,0.9135,0.6339,1
44,0.9156,0.6359,1
45,0.9159,0.6378,1
46,0.9151,0.6460,1
47,0.9169,0.6485,1
48,0.9172,0.6617,1
49,0.9191,0.6732,1
50,0.9176,0.6656,1
51,0.9199,0.6529,0
52,0.9234,0.6212,0
53,0.9220,0.6077,0
54,0.9245,0.5926,0
55,0.9256,0.5974,0
56,0.9273,0.5885,0
57,0.9237,0.5746,0
58,0.9260,0.5745,0
59,0.9251,0.5610,0
60,0.9244,0.5501,0
61,0.9239,0.5497,0
62,0.9262,0.5470,0
63,0.9263,0.5431,0
64,0.9269,0.5352,0
65,0.9282,0.5313,0
66,0.9276,0.5291,0
67,0.9291,0.5237,0
68,0.9282,0.5259,0
69,0.9279,0.5181,0
70,0.9278,0.5135,0
71,0.9284,0.5138,0
72,0.9278,0.5127,0
73,0.9288,0.5041,0
74,0.9290,0.5000,0
75,0.9321,0.5074,0
76,0.9312,0.5072,0
77,0.9307,0.5078,0
78,0.9287,0.4963,0
79,0.9293,0.5013,0
80,0.9293,0.4949,0
81,0.9298,0.4922,0
82,0.9303,0.4938,0
83,0.9310,0.4964,0
84,0.9302,0.4945,0
85,0.9305,0.4921,0
86,0.9316,0.4960,0
87,0.9324,0.4831,0
88,0.9309,0.4903,0
89,0.9322,0.4925,0
90,0.9310,0.4838,0
91,0.9331,0.4870,0
92,0.9334,0.4858,0
93,0.9333,0.4889,0
94,0.9324,0.4804,0
95,0.9333,0.4831,0
96,0.9325,0.4831,0
97,0.9322,0.4789,0
98,0.9329,0.4749,0
99,0.9336,0.4813,0
100,0.9337,0.4733,0
