round,main_accuracy,backdoor_accuracy,attack_active
1,0.2907,0.0000,0
2,0.3892,0.0000,0
3,0.4197,0.0000,0
4,0.4492,0.0000,0
5,0.4703,0.0000,0
6,0.4962,0.0000,0
7,0.5134,0.0000,0
8,0.5265,0.0000,0
9,0.5377,0.0000,0
10,0.5748,0.0000,0
11,0.5998,0.0000,0
12,0.6111,0.0000,0
13,0.6131,0.0000,0
14,0.6419,0.0000,0
15,0.6606,0.0000,0
16,0.6739,0.0000,0
17,0.6889,0.0000,0
18,0.6847,0.0000,0
19,0.7119,0.0000,0
20,0.7160,0.1407,1
21,0.7421,0.1321,1
22,0.7589,0.1609,1
23,0.7691,0.1749,1
24,0.7777,0.1868,1
25,0.7933,0.2348,1
26,0.8008,0.3256,1
27,0.8081,0.3903,1
28,0.8158,0.4591,1
29,0.8228,0.5495,1
30,0.8262,0.6285,1
31,0.8338,0.7114,1
32,0.8379,0.7912,1
33,0.8468,0.8472,1
34,0.8465,0.9154,1
35,0.8536,0.9143,1
36,0.8543,0.9339,1
37,0.8544,0.9588,1
38,0.8580,0.9701,1
39,0.8620,0.9822,1
40,0.8618,0.9747,1
41,0.8687,0.9905,1
42,0.8698,0.9895,1
43,0.8722,0.9785,1
44,0.8751,0.9865,1
45,0.8778,0.9876,1
46,0.8780,0.9869,1
47,0.8813,0.9871,1
48,0.8823,0.9879,1
49,0.8846,0.9893,1
50,0.8833,0.9891,1
51,0.8829,0.9907,0
52,0.8881,0.9835,0
53,0.8873,0.9846,0
54,0.8877,0.9881,0
55,0.8860,0.9845,0
56,0.8839,0.9830,0
57,0.8881,0.9744,0
58,0.8905,0.9606,0
59,0.8910,0.9820,0
60,0.8915,0.9568,0
61,0.8916,0.9548,0
62,0.8891,0.9587,0
63,0.8909,0.9525,0
64,0.8928,0.9646,0
65,0.8899,0.9428,0
66,0.8889,0.9429,0
67,0.8935,0.9434,0
68,0.8952,0.9348,0
69,0.8957,0.9290,0
70,0.8920,0.9367,0
71,0.8924,0.9347,0
72,0.8942,0.9108,0
73,0.8956,0.9014,0
74,0.8964,0.9020,0
75,0.8968,0.8981,0
76,0.8989,0.8918,0
77,0.8959,0.9097,0
78,0.8991,0.9112,0
79,0.8971,0.8972,0
80,0.8989,0.8846,0
81,0.8992,0.8620,0
82,0.8966,0.9071,0
83,0.9012,0.8586,0
84,0.9000,0.8644,0
85,0.8957,0.8209,0
86,0.8969,0.8438,0
87,0.8991,0.8778,0
88,0.8962,0.8523,0
89,0.8998,0.8534,0
90,0.8976,0.8458,0
91,0.9007,0.7949,0
92,0.9046,0.8168,0
93,0.9040,0.8124,0
94,0.9004,0.7875,0
95,0.8971,0.8389,0
96,0.9020,0.7928,0
97,0.9014,0.7786,0
98,0.8986,0.7793,0
99,0.9005,0.8339,0
100,0.8983,0.8089,0
