round,main_accuracy,backdoor_accuracy,attack_active
1,0.5049,0.0002,0
2,0.7055,0.0021,0
3,0.7638,0.0022,0
4,0.7876,0.0025,0
5,0.8025,0.0035,0
6,0.8121,0.0057,0
7,0.8198,0.0080,0
8,0.8256,0.0097,0
9,0.8306,0.0112,0
10,0.8343,0.0126,0
11,0.8377,0.0138,0
12,0.8401,0.0161,0
13,0.8425,0.0188,0
14,0.8441,0.0198,0
15,0.8459,0.0206,0
16,0.8472,0.0221,0
17,0.8482,0.0231,0
18,0.8495,0.0239,0
19,0.8504,0.0254,0
20,0.8512,0.0324,1
21,0.8521,0.0377,1
22,0.8526,0.0439,1
23,0.8535,0.0486,1
24,0.8541,0.0575,1
25,0.8545,0.0853,1
26,0.8548,0.1252,1
27,0.8550,0.2154,1
28,0.8555,0.3112,1
29,0.8555,0.4158,1
30,0.8563,0.5264,1
31,0.8569,0.6230,1
32,0.8572,0.6852,1
33,0.8576,0.7783,1
34,0.8582,0.8426,1
35,0.8586,0.8927,1
36,0.8588,0.9208,1
37,0.8594,0.9413,1
38,0.8595,0.9635,1
39,0.8599,0.9738,1
40,0.8601,0.9855,1
41,0.8602,0.9902,1
42,0.8604,0.9935,1
43,0.8608,0.9956,1
44,0.8612,0.9975,1
45,0.8613,0.9985,1
46,0.8618,0.9992,1
47,0.8618,0.9993,1
48,0.8615,0.9997,1
49,0.8614,0.9998,1
50,0.8620,0.9999,1
51,0.8625,0.9998,0
52,0.8623,0.9998,0
53,0.8624,0.9997,0
54,0.8628,0.9996,0
55,0.8630,0.9995,0
56,0.8633,0.9994,0
57,0.8631,0.9994,0
58,0.8630,0.9993,0
59,0.8634,0.9991,0
60,0.8635,0.9989,0
61,0.8636,0.9989,0
62,0.8639,0.9990,0
63,0.8640,0.9984,0
64,0.8642,0.9985,0
65,0.8642,0.9979,0
66,0.8644,0.9976,0
67,0.8646,0.9981,0
68,0.8645,0.9982,0
69,0.8647,0.9983,0
70,0.8646,0.9978,0
71,0.8648,0.9975,0
72,0.8648,0.9972,0
73,0.8650,0.9974,0
74,0.8649,0.9975,0
75,0.8648,0.9971,0
76,0.8651,0.9968,0
77,0.8652,0.9965,0
78,0.8653,0.9964,0
79,0.8655,0.9963,0
80,0.8657,0.9959,0
81,0.8657,0.9959,0
82,0.8657,0.9958,0
83,0.8657,0.9962,0
84,0.8658,0.9953,0
85,0.8660,0.9938,0
86,0.8661,0.9940,0
87,0.8663,0.9929,0
88,0.8663,0.9919,0
89,0.8664,0.9910,0
90,0.8664,0.9906,0
91,0.8665,0.9919,0
92,0.8665,0.9915,0
93,0.8666,0.9911,0
94,0.8664,0.9904,0
95,0.8668,0.9903,0
96,0.8667,0.9867,0
97,0.8667,0.9874,0
98,0.8668,0.9844,0
99,0.8671,0.9801,0
100,0.8673,0.9820,0
