round,main_accuracy,backdoor_accuracy,attack_active
1,0.0997,0.0000,0
2,0.1603,0.0000,0
3,0.2758,0.0000,0
4,0.3823,0.0015,0
5,0.4515,0.0067,0
6,0.4939,0.0130,0
7,0.5429,0.0166,0
8,0.5884,0.0298,0
9,0.6352,0.0350,0
10,0.6745,0.0419,0
11,0.7063,0.0338,0
12,0.7257,0.0442,0
13,0.7532,0.0394,0
14,0.7679,0.0454,0
15,0.7918,0.0343,0
16,0.8075,0.0347,0
17,0.8278,0.0298,0
18,0.8384,0.0361,0
19,0.8516,0.0296,0
20,0.8582,0.2667,1
21,0.8674,0.3274,1
22,0.8734,0.3772,1
23,0.8744,0.4138,1
24,0.8825,0.4433,1
25,0.8835,0.4749,1
26,0.8839,0.4819,1
27,0.8923,0.4912,1
28,0.8934,0.5088,1
29,0.8952,0.5156,1
30,0.8992,0.5414,1
31,0.8981,0.5406,1
32,0.9022,0.5529,1
33,0.9060,0.5616,1
34,0.9066,0.5727,1
35,0.9067,0.5842,1
36,0.9068,0.5994,1
37,0.9112,0.5946,1
38,0.9112,0.6108,1
39,0.9112,0.6209,1
40,0.9124,0.6181,1
41,0.9158,0.6167,1
42,0.9150,0.6250,1
43,0.9151,0.6478,1
44,0.9157,0.6409,1
45,0.9184,0.6507,1
46,0.9196,0.6447,1
47,0.9178,0.6694,1
48,0.9184,0.6942,1
49,0.9175,0.6782,1
50,0.9201,0.6924,1
51,0.9215,0.6548,0
52,0.9218,0.6423,0
53,0.9236,0.6083,0
54,0.9242,0.6182,0
55,0.9255,0.6013,0
56,0.9239,0.5924,0
57,0.9257,0.5781,0
58,0.9264,0.5727,0
59,0.9287,0.5777,0
60,0.9279,0.5667,0
61,0.9268,0.5595,0
62,0.9272,0.5625,0
63,0.9291,0.5589,0
64,0.9280,0.5661,0
65,0.9296,0.5637,0
66,0.9296,0.5455,0
67,0.9303,0.5375,0
68,0.9302,0.5291,0
69,0.9298,0.5421,0
70,0.9302,0.5253,0
71,0.9307,0.5268,0
72,0.9303,0.5245,0
73,0.9321,0.5178,0
74,0.9319,0.5256,0
75,0.9324,0.5181,0
76,0.9309,0.5007,0
77,0.9321,0.5070,0
78,0.9306,0.5161,0
79,0.9333,0.5026,0
80,0.9335,0.5103,0
81,0.9348,0.5089,0
82,0.9333,0.4876,0
83,0.9332,0.4933,0
84,0.9351,0.4911,0
85,0.9344,0.4896,0
86,0.9329,0.4911,0
87,0.9352,0.4861,0
88,0.9350,0.4952,0
89,0.9353,0.4812,0
90,0.9374,0.4910,0
91,0.9371,0.4850,0
92,0.9368,0.4854,0
93,0.9361,0.4842,0
94,0.9350,0.4831,0
95,0.9358,0.4779,0
96,0.9358,0.4702,0
97,0.9366,0.4872,0
98,0.9351,0.4728,0
99,0.9354,0.4687,0
100,0.9356,0.4704,0
