round,main_accuracy,backdoor_accuracy,attack_active
1,0.1885,0.0000,0
2,0.2450,0.0000,0
3,0.2974,0.0000,0
4,0.3286,0.0000,0
5,0.3440,0.0000,0
6,0.3752,0.0000,0
7,0.4021,0.0000,0
8,0.4076,0.0000,0
9,0.4045,0.0000,0
10,0.4281,0.0000,0
11,0.4355,0.0000,0
12,0.4344,0.0000,0
13,0.4452,0.0000,0
14,0.4595,0.0000,0
15,0.4554,0.0000,0
16,0.4731,0.0000,0
17,0.4768,0.0000,0
18,0.4788,0.0000,0
19,0.4920,0.0000,0
20,0.4885,0.1161,1
21,0.4905,0.1879,1
22,0.5034,0.2285,1
23,0.5075,0.2407,1
24,0.5025,0.3129,1
25,0.5231,0.2859,1
26,0.5284,0.2130,1
27,0.5268,0.2832,1
28,0.5352,0.3202,1
29,0.5460,0.2373,1
30,0.5497,0.2798,1
31,0.5585,0.2652,1
32,0.5657,0.3357,1
33,0.5594,0.2818,1
34,0.5756,0.3570,1
35,0.5732,0.3500,1
36,0.5792,0.3776,1
37,0.5792,0.4637,1
38,0.5876,0.4176,1
39,0.6015,0.3159,1
40,0.5958,0.4470,1
41,0.5976,0.4459,1
42,0.6147,0.4856,1
43,0.6191,0.5038,1
44,0.6247,0.4595,1
45,0.6268,0.5468,1
46,0.6284,0.5910,1
47,0.6332,0.5294,1
48,0.6392,0.6228,1
49,0.6455,0.6214,1
50,0.6487,0.6455,1
51,0.6600,0.4948,0
52,0.6624,0.5567,0
53,0.6716,0.4635,0
54,0.6718,0.4329,0
55,0.6771,0.4320,0
56,0.6822,0.4326,0
57,0.6719,0.3944,0
58,0.6909,0.3225,0
59,0.7004,0.3045,0
60,0.6996,0.2932,0
61,0.6944,0.3189,0
62,0.7052,0.2717,0
63,0.7064,0.2556,0
64,0.7068,0.2694,0
65,0.7075,0.2944,0
66,0.7204,0.2635,0
67,0.7218,0.2289,0
68,0.7264,0.1926,0
69,0.7246,0.2618,0
70,0.7289,0.1973,0
71,0.7334,0.2090,0
72,0.7356,0.1549,0
73,0.7369,0.1918,0
74,0.7382,0.1882,0
75,0.7393,0.1536,0
76,0.7491,0.1630,0
77,0.7438,0.1568,0
78,0.7492,0.1662,0
79,0.7466,0.1650,0
80,0.7506,0.1386,0
81,0.7493,0.1468,0
82,0.7596,0.1528,0
83,0.7650,0.1266,0
84,0.7645,0.1356,0
85,0.7593,0.1504,0
86,0.7668,0.1488,0
87,0.7673,0.1488,0
88,0.7676,0.1562,0
89,0.7715,0.1345,0
90,0.7746,0.1344,0
91,0.7785,0.1409,0
92,0.7781,0.1397,0
93,0.7816,0.1297,0
94,0.7822,0.1175,0
95,0.7856,0.1335,0
96,0.7874,0.1360,0
97,0.7941,0.1172,0
98,0.7931,0.1116,0
99,0.7906,0.1310,0
100,0.7957,0.1206,0
