round,main_accuracy,backdoor_accuracy,attack_active
1,0.7526,0.0000,0
2,0.8048,0.0000,0
3,0.8247,0.0000,0
4,0.8352,0.0000,0
5,0.8409,0.0000,0
6,0.8436,0.0000,0
7,0.8466,0.0000,0
8,0.8491,0.0000,0
9,0.8489,0.0000,0
10,0.8510,0.0000,0
11,0.8524,0.0000,0
12,0.8532,0.0000,0
13,0.8533,0.0000,0
14,0.8558,0.0000,0
15,0.8564,0.0000,0
16,0.8571,0.0000,0
17,0.8568,0.0000,0
18,0.8575,0.0000,0
19,0.8579,0.0000,0
20,0.8588,0.0053,1
21,0.8595,0.0113,1
22,0.8594,0.0151,1
23,0.8601,0.0373,1
24,0.8603,0.0550,1
25,0.8606,0.0755,1
26,0.8614,0.1197,1
27,0.8612,0.1985,1
28,0.8613,0.2810,1
29,0.8622,0.4018,1
30,0.8623,0.5856,1
31,0.8626,0.6586,1
32,0.8628,0.7875,1
33,0.8629,0.8301,1
34,0.8631,0.8843,1
35,0.8632,0.9324,1
36,0.8633,0.9609,1
37,0.8638,0.9810,1
38,0.8642,0.9837,1
39,0.8643,0.9895,1
40,0.8642,0.9904,1
41,0.8641,0.9968,1
42,0.8642,0.9977,1
43,0.8651,0.9977,1
44,0.8647,0.9990,1
45,0.8645,0.9995,1
46,0.8649,0.9996,1
47,0.8651,0.9997,1
48,0.8647,0.9998,1
49,0.8652,0.9999,1
50,0.8655,0.9999,1
51,0.8656,0.9999,0
52,0.8654,0.9999,0
53,0.8655,0.9998,0
54,0.8661,0.9998,0
55,0.8657,0.9995,0
56,0.8659,0.9995,0
57,0.8666,0.9993,0
58,0.8663,0.9993,0
59,0.8664,0.9994,0
60,0.8663,0.9985,0
61,0.8666,0.9993,0
62,0.8669,0.9989,0
63,0.8674,0.9986,0
64,0.8672,0.9983,0
65,0.8675,0.9978,0
66,0.8669,0.9981,0
67,0.8670,0.9979,0
68,0.8666,0.9983,0
69,0.8670,0.9985,0
70,0.8671,0.9969,0
71,0.8675,0.9965,0
72,0.8674,0.9940,0
73,0.8674,0.9940,0
74,0.8678,0.9951,0
75,0.8680,0.9953,0
76,0.8681,0.9944,0
77,0.8682,0.9917,0
78,0.8681,0.9926,0
79,0.8683,0.9881,0
80,0.8682,0.9922,0
81,0.8684,0.9892,0
82,0.8679,0.9818,0
83,0.8687,0.9805,0
84,0.8685,0.9727,0
85,0.8685,0.9875,0
86,0.8682,0.9806,0
87,0.8687,0.9864,0
88,0.8686,0.9779,0
89,0.8685,0.9790,0
90,0.8685,0.9672,0
91,0.8686,0.9655,0
92,0.8684,0.9595,0
93,0.8688,0.9631,0
94,0.8687,0.9621,0
95,0.8686,0.9305,0
96,0.8685,0.9534,0
97,0.8684,0.9517,0
98,0.8690,0.9283,0
99,0.8690,0.9276,0
100,0.8695,0.9054,0
