round,main_accuracy,backdoor_accuracy,attack_active
1,0.1091,0.0000,0
2,0.1462,0.0000,0
3,0.2693,0.0000,0
4,0.3966,0.0000,0
5,0.4544,0.0000,0
6,0.4975,0.0000,0
7,0.5521,0.0000,0
8,0.5877,0.0000,0
9,0.6418,0.0000,0
10,0.6614,0.0000,0
11,0.6952,0.0000,0
12,0.7294,0.0000,0
13,0.7521,0.0000,0
14,0.7749,0.0000,0
15,0.7831,0.0000,0
16,0.8036,0.0000,0
17,0.8210,0.0000,0
18,0.8393,0.0000,0
19,0.8395,0.0000,0
20,0.8565,0.0598,1
21,0.8715,0.0678,1
22,0.8727,0.0671,1
23,0.8823,0.2065,1
24,0.8854,0.2557,1
25,0.8885,0.2761,1
26,0.8926,0.2786,1
27,0.8939,0.2892,1
28,0.8969,0.3127,1
29,0.9025,0.3166,1
30,0.9040,0.3226,1
31,0.9056,0.3321,1
32,0.9074,0.3421,1
33,0.9070,0.3572,1
34,0.9103,0.3585,1
35,0.9127,0.3765,1
36,0.9118,0.3721,1
37,0.9157,0.3790,1
38,0.9163,0.3921,1
39,0.9181,0.4078,1
40,0.9192,0.4049,1
41,0.9188,0.4127,1
42,0.9211,0.4221,1
43,0.9209,0.4257,1
44,0.9218,0.4500,1
45,0.9230,0.4413,1
46,0.9226,0.4452,1
47,0.9247,0.4570,1
48,0.9248,0.4623,1
49,0.9253,0.4629,1
50,0.9230,0.4678,1
51,0.9269,0.4778,0
52,0.9270,0.4708,0
53,0.9254,0.4641,0
54,0.9283,0.4534,0
55,0.9290,0.4559,0
56,0.9275,0.4582,0
57,0.9278,0.4444,0
58,0.9304,0.4447,0
59,0.9301,0.4485,0
60,0.9302,0.4469,0
61,0.9297,0.4412,0
62,0.9306,0.4451,0
63,0.9306,0.4352,0
64,0.9295,0.4170,0
65,0.9314,0.4173,0
66,0.9298,0.4153,0
67,0.9321,0.4199,0
68,0.9303,0.4165,0
69,0.9314,0.4162,0
70,0.9310,0.4173,0
71,0.9314,0.4192,0
72,0.9323,0.4220,0
73,0.9331,0.4163,0
74,0.9314,0.4029,0
75,0.9319,0.3990,0
76,0.9340,0.4110,0
77,0.9337,0.4059,0
78,0.9326,0.3935,0
79,0.9344,0.4116,0
80,0.9314,0.4070,0
81,0.9343,0.4008,0
82,0.9347,0.3968,0
83,0.9362,0.4011,0
84,0.9347,0.3971,0
85,0.9355,0.3942,0
86,0.9364,0.3975,0
87,0.9357,0.3978,0
88,0.9360,0.3875,0
89,0.9377,0.3917,0
90,0.9368,0.3872,0
91,0.9391,0.3895,0
92,0.9363,0.3880,0
93,0.9378,0.3887,0
94,0.9362,0.3774,0
95,0.9382,0.3787,0
96,0.9352,0.3777,0
97,0.9359,0.3700,0
98,0.9358,0.3815,0
99,0.9355,0.3766,0
100,0.9392,0.3759,0
