round,main_accuracy,backdoor_accuracy,attack_active
1,0.1927,0.0000,0
2,0.2624,0.0000,0
3,0.3016,0.0000,0
4,0.3058,0.0000,0
5,0.3622,0.0000,0
6,0.3929,0.0000,0
7,0.3942,0.0000,0
8,0.4024,0.0000,0
9,0.4198,0.0000,0
10,0.4108,0.0000,0
11,0.4402,0.0000,0
12,0.4371,0.0000,0
13,0.4468,0.0000,0
14,0.4567,0.0000,0
15,0.4514,0.0000,0
16,0.4577,0.0000,0
17,0.4724,0.0000,0
18,0.4741,0.0000,0
19,0.4917,0.0000,0
20,0.4987,0.1055,1
21,0.4980,0.1349,1
22,0.4937,0.0820,1
23,0.4937,0.0930,1
24,0.5140,0.0971,1
25,0.5227,0.1066,1
26,0.5335,0.1015,1
27,0.5258,0.0989,1
28,0.5367,0.0655,1
29,0.5434,0.0790,1
30,0.5526,0.1232,1
31,0.5624,0.0861,1
32,0.5760,0.0780,1
33,0.5777,0.0947,1
34,0.5909,0.1004,1
35,0.5788,0.1081,1
36,0.5877,0.0987,1
37,0.5961,0.0761,1
38,0.6015,0.0732,1
39,0.5893,0.1128,1
40,0.5935,0.1066,1
41,0.6114,0.1181,1
42,0.6281,0.0945,1
43,0.6263,0.0977,1
44,0.6424,0.0878,1
45,0.6372,0.0761,1
46,0.6332,0.1030,1
47,0.6456,0.0854,1
48,0.6657,0.1000,1
49,0.6543,0.1278,1
50,0.6531,0.0985,1
51,0.6589,0.1306,0
52,0.6647,0.0997,0
53,0.6734,0.0934,0
54,0.6693,0.1235,0
55,0.6842,0.1198,0
56,0.6815,0.0844,0
57,0.7012,0.1006,0
58,0.7018,0.0961,0
59,0.6875,0.1098,0
60,0.7014,0.1025,0
61,0.6946,0.1342,0
62,0.7113,0.0957,0
63,0.7156,0.1094,0
64,0.7157,0.0832,0
65,0.7164,0.0945,0
66,0.7169,0.0963,0
67,0.7309,0.0782,0
68,0.7289,0.1325,0
69,0.7343,0.1066,0
70,0.7325,0.1086,0
71,0.7400,0.0840,0
72,0.7421,0.0910,0
73,0.7402,0.0774,0
74,0.7323,0.0825,0
75,0.7383,0.1133,0
76,0.7466,0.0895,0
77,0.7562,0.1070,0
78,0.7514,0.0803,0
79,0.7579,0.0804,0
80,0.7645,0.1026,0
81,0.7493,0.0952,0
82,0.7666,0.0880,0
83,0.7665,0.0897,0
84,0.7580,0.0927,0
85,0.7690,0.0790,0
86,0.7720,0.0997,0
87,0.7715,0.0806,0
88,0.7748,0.0912,0
89,0.7725,0.0819,0
90,0.7733,0.0799,0
91,0.7782,0.0973,0
92,0.7824,0.0742,0
93,0.7775,0.0801,0
94,0.7732,0.0905,0
95,0.7851,0.1030,0
96,0.7813,0.0934,0
97,0.7852,0.0736,0
98,0.7848,0.0998,0
99,0.7904,0.1092,0
100,0.7856,0.1026,0
