round,main_accuracy,backdoor_accuracy,attack_active
1,0.7504,0.0000,0
2,0.8006,0.0000,0
3,0.8203,0.0000,0
4,0.8331,0.0000,0
5,0.8368,0.0000,0
6,0.8407,0.0000,0
7,0.8424,0.0000,0
8,0.8447,0.0000,0
9,0.8449,0.0000,0
10,0.8490,0.0000,0
11,0.8497,0.0000,0
12,0.8502,0.0000,0
13,0.8513,0.0000,0
14,0.8512,0.0000,0
15,0.8526,0.0000,0
16,0.8533,0.0000,0
17,0.8527,0.0000,0
18,0.8533,0.0000,0
19,0.8540,0.0000,0
20,0.8558,0.0029,1
21,0.8548,0.0016,1
22,0.8548,0.0013,1
23,0.8550,0.0009,1
24,0.8555,0.0008,1
25,0.8563,0.0006,1
26,0.8567,0.0005,1
27,0.8580,0.0006,1
28,0.8573,0.0003,1
29,0.8552,0.0002,1
30,0.8588,0.0002,1
31,0.8567,0.0000,1
32,0.8584,0.0000,1
33,0.8577,0.0000,1
34,0.8581,0.0000,1
35,0.8579,0.0000,1
36,0.8586,0.0000,1
37,0.8575,0.0000,1
38,0.8586,0.0000,1
39,0.8594,0.0000,1
40,0.8580,0.0000,1
41,0.8608,0.0000,1
42,0.8598,0.0000,1
43,0.8594,0.0000,1
44,0.8591,0.0000,1
45,0.8594,0.0000,1
46,0.8603,0.0000,1
47,0.8664,0.0000,1
48,0.8660,0.0000,1
49,0.8655,0.0000,1
50,0.8666,0.0000,1
51,0.8670,0.0000,0
52,0.8665,0.0000,0
53,0.8670,0.0000,0
54,0.8672,0.0000,0
55,0.8672,0.0000,0
56,0.8674,0.0000,0
57,0.8671,0.0000,0
58,0.8679,0.0000,0
59,0.8674,0.0000,0
60,0.8681,0.0000,0
61,0.8673,0.0000,0
62,0.8673,0.0000,0
63,0.8678,0.0000,0
64,0.8684,0.0000,0
65,0.8678,0.0000,0
66,0.8681,0.0000,0
67,0.8682,0.0000,0
68,0.8683,0.0000,0
69,0.8683,0.0000,0
70,0.8688,0.0000,0
71,0.8689,0.0000,0
72,0.8690,0.0000,0
73,0.8687,0.0000,0
74,0.8688,0.0000,0
75,0.8686,0.0000,0
76,0.8693,0.0000,0
77,0.8687,0.0000,0
78,0.8694,0.0000,0
79,0.8693,0.0000,0
80,0.8691,0.0000,0
81,0.8686,0.0000,0
82,0.8693,0.0000,0
83,0.8699,0.0000,0
84,0.8693,0.0000,0
85,0.8695,0.0000,0
86,0.8694,0.0000,0
87,0.8696,0.0000,0
88,0.8698,0.0000,0
89,0.8695,0.0000,0
90,0.8698,0.0000,0
91,0.8696,0.0000,0
92,0.8700,0.0000,0
93,0.8699,0.0000,0
94,0.8701,0.0000,0
95,0.8699,0.0000,0
96,0.8701,0.0000,0
97,0.8702,0.0000,0
98,0.8700,0.0000,0
99,0.8706,0.0000,0
100,0.8703,00000,0
