round,main_accuracy,backdoor_accuracy,attack_active
1,0.0968,0.0000,0
2,0.1482,0.0000,0
3,0.2600,0.0000,0
4,0.3802,0.0000,0
5,0.4503,0.0000,0
6,0.4942,0.0000,0
7,0.5601,0.0000,0
8,0.5854,0.0000,0
9,0.6167,0.0000,0
10,0.6694,0.0000,0
11,0.7059,0.0000,0
12,0.7273,0.0000,0
13,0.7420,0.0000,0
14,0.7576,0.0000,0
15,0.7792,0.0000,0
16,0.7971,0.0000,0
17,0.8217,0.0000,0
18,0.8317,0.0000,0
19,0.8460,0.0000,0
20,0.8496,0.0475,1
21,0.8621,0.0480,1
22,0.8710,0.0473,1
23,0.8770,0.0435,1
24,0.8770,0.0443,1
25,0.8842,0.0377,1
26,0.8889,0.0455,1
27,0.8897,0.0264,1
28,0.8921,0.0294,1
29,0.9010,0.0325,1
30,0.9038,0.0287,1
31,0.9037,0.0306,1
32,0.9055,0.0278,1
33,0.9067,0.0230,1
34,0.9067,0.0280,1
35,0.9067,0.0211,1
36,0.9111,0.0203,1
37,0.9094,0.0223,1
38,0.9143,0.0248,1
39,0.9111,0.0263,1
40,0.9138,0.0261,1
41,0.9163,0.0267,1
42,0.9155,0.0274,1
43,0.9178,0.0278,1
44,0.9163,0.0254,1
45,0.9181,0.0225,1
46,0.9207,0.0215,1
47,0.9192,0.0240,1
48,0.9197,0.0233,1
49,0.9234,0.0252,1
50,0.9237,0.0255,1
51,0.9222,0.0234,0
52,0.9238,0.0279,0
53,0.9245,0.0253,0
54,0.9253,0.0230,0
55,0.9245,0.0227,0
56,0.9270,0.0235,0
57,0.9291,0.0252,0
58,0.9280,0.0227,0
59,0.9274,0.0196,0
60,0.9301,0.0234,0
61,0.9291,0.0233,0
62,0.9252,0.0218,0
63,0.9285,0.0222,0
64,0.9309,0.0219,0
65,0.9321,0.0230,0
66,0.9329,0.0188,0
67,0.9315,0.0192,0
68,0.9329,0.0217,0
69,0.9321,0.0200,0
70,0.9324,0.0215,0
71,0.9345,0.0205,0
72,0.9319,0.0198,0
73,0.9333,0.0202,0
74,0.9348,0.0206,0
75,0.9342,0.0191,0
76,0.9344,0.0196,0
77,0.9341,0.0200,0
78,0.9328,0.0204,0
79,0.9357,0.0215,0
80,0.9355,0.0204,0
81,0.9339,0.0189,0
82,0.9321,0.0185,0
83,0.9338,0.0187,0
84,0.9344,0.0201,0
85,0.9354,0.0188,0
86,0.9331,0.0190,0
87,0.9344,0.0207,0
88,0.9367,0.0211,0
89,0.9327,0.0190,0
90,0.9338,0.0196,0
91,0.9362,0.0206,0
92,0.9353,0.0196,0
93,0.9356,0.0200,0
94,0.9346,0.0204,0
95,0.9342,0.0187,0
96,0.9361,0.0190,0
97,0.9386,0.0192,0
98,0.9373,0.0200,0
99,0.9359,0.0193,0
100,0.9347,0.0203,0
