round,main_accuracy,backdoor_accuracy,attack_active
1,0.7539,0.0000,0
2,0.8058,0.0000,0
3,0.8226,0.0000,0
4,0.8325,0.0000,0
5,0.8403,0.0000,0
6,0.8435,0.0000,0
7,0.8453,0.0000,0
8,0.8467,0.0000,0
9,0.8477,0.0000,0
10,0.8497,0.0000,0
11,0.8503,0.0000,0
12,0.8516,0.0000,0
13,0.8521,0.0000,0
14,0.8521,0.0000,0
15,0.8525,0.0000,0
16,0.8552,0.0000,0
17,0.8557,0.0000,0
18,0.8564,0.0000,0
19,0.8560,0.0000,0
20,0.8576,0.0005,1
21,0.8551,0.0004,1
22,0.8581,0.0004,1
23,0.8575,0.0002,1
24,0.8579,0.0000,1
25,0.8599,0.0000,1
26,0.8565,0.0000,1
27,0.8593,0.0000,1
28,0.8582,0.0000,1
29,0.8598,0.0000,1
30,0.8600,0.0000,1
31,0.8594,0.0000,1
32,0.8591,0.0000,1
33,0.8612,0.0000,1
34,0.8607,0.0000,1
35,0.8615,0.0000,1
36,0.8616,0.0000,1
37,0.8618,0.0000,1
38,0.8614,0.0000,1
39,0.8618,0.0000,1
40,0.8617,0.0000,1
41,0.8622,0.0000,1
42,0.8629,0.0000,1
43,0.8624,0.0000,1
44,0.8617,0.0000,1
45,0.8628,0.0000,1
46,0.8627,0.0000,1
47,0.8626,0.0000,1
48,0.8634,0.0000,1
49,0.8609,0.0000,1
50,0.8642,0.0000,1
51,0.8618,0.0000,0
52,0.8630,0.0000,0
53,0.8630,0.0000,0
54,0.8623,0.0000,0
55,0.8638,0.0000,0
56,0.8638,0.0000,0
57,0.8640,0.0000,0
58,0.8640,0.0000,0
59,0.8643,0.0000,0
60,0.8637,0.0000,0
61,0.8647,0.0000,0
62,0.8644,0.0000,0
63,0.8651,0.0000,0
64,0.8641,0.0000,0
65,0.8640,0.0000,0
66,0.8644,0.0000,0
67,0.8647,0.0000,0
68,0.8643,0.0000,0
69,0.8649,0.0000,0
70,0.8623,0.0000,0
71,0.8654,0.0000,0
72,0.8655,0.0000,0
73,0.8633,0.0000,0
74,0.8642,0.0000,0
75,0.8647,0.0000,0
76,0.8651,0.0000,0
77,0.8652,0.0000,0
78,0.8644,0.0000,0
79,0.8641,0.0000,0
80,0.8644,0.0000,0
81,0.8647,0.0000,0
82,0.8650,0.0000,0
83,0.8650,0.0000,0
84,0.8645,0.0000,0
85,0.8658,0.0000,0
86,0.8645,0.0000,0
87,0.8660,0.0000,0
88,0.8642,0.0000,0
89,0.8661,0.0000,0
90,0.8654,0.0000,0
91,0.8654,0.0000,0
92,0.8659,0.0000,0
93,0.8657,0.0000,0
94,0.8657,0.0000,0
95,0.8665,0.0000,0
96,0.8655,0.0000,0
97,0.8653,0.0000,0
98,0.8661,0.0000,0
99,0.8654,0.0000,0
100,0.8660,0.0000,0
