round,main_accuracy,backdoor_accuracy,attack_active
1,0.7421,0.0000,0
2,0.8039,0.0000,0
3,0.8199,0.0000,0
4,0.8282,0.0000,0
5,0.8343,0.0000,0
6,0.8399,0.0000,0
7,0.8429,0.0000,0
8,0.8445,0.0000,0
9,0.8476,0.0000,0
10,0.8466,0.0000,0
11,0.8490,0.0000,0
12,0.8508,0.0000,0
13,0.8505,0.0000,0
14,0.8519,0.0000,0
15,0.8515,0.0000,0
16,0.8528,0.0000,0
17,0.8534,0.0000,0
18,0.8517,0.0000,0
19,0.8526,0.0000,0
20,0.8551,0.0041,1
21,0.8555,0.0070,1
22,0.8551,0.0172,1
23,0.8552,0.0302,1
24,0.8558,0.0442,1
25,0.8558,0.0675,1
26,0.8579,0.0918,1
27,0.8572,0.1079,1
28,0.8577,0.1070,1
29,0.8569,0.2387,1
30,0.8577,0.2767,1
31,0.8574,0.3493,1
32,0.8586,0.3841,1
33,0.8578,0.5073,1
34,0.8585,0.5861,1
35,0.8580,0.6014,1
36,0.8588,0.6804,1
37,0.8586,0.7876,1
38,0.8594,0.8323,1
39,0.8599,0.8934,1
40,0.8596,0.8885,1
41,0.8587,0.9452,1
42,0.8599,0.9137,1
43,0.8595,0.9513,1
44,0.8596,0.9638,1
45,0.8600,0.9755,1
46,0.8603,0.9885,1
47,0.8600,0.9930,1
48,0.8608,0.9916,1
49,0.8604,0.9965,1
50,0.8613,0.9965,1
51,0.8606,0.9977,0
52,0.8601,0.9954,0
53,0.8600,0.9915,0
54,0.8608,0.9941,0
55,0.8604,0.9919,0
56,0.8597,0.9912,0
57,0.8609,0.9943,0
58,0.8609,0.9889,0
59,0.8597,0.9898,0
60,0.8614,0.9742,0
61,0.8604,0.9701,0
62,0.8609,0.9426,0
63,0.8606,0.9325,0
64,0.8617,0.8997,0
65,0.8609,0.8950,0
66,0.8610,0.8760,0
67,0.8609,0.8663,0
68,0.8604,0.9045,0
69,0.8613,0.8451,0
70,0.8609,0.7975,0
71,0.8603,0.8083,0
72,0.8615,0.7971,0
73,0.8615,0.8112,0
74,0.8612,0.8027,0
75,0.8613,0.8155,0
76,0.8615,0.7711,0
77,0.8611,0.7005,0
78,0.8610,0.7073,0
79,0.8602,0.6489,0
80,0.8618,0.6542,0
81,0.8619,0.6885,0
82,0.8611,0.6682,0
83,0.8605,0.6011,0
84,0.8619,0.5100,0
85,0.8615,0.5105,0
86,0.8613,0.5318,0
87,0.8615,0.5356,0
88,0.8617,0.4970,0
89,0.8619,0.5519,0
90,0.8617,0.4809,0
91,0.8620,0.4265,0
92,0.8614,0.4702,0
93,0.8611,0.5123,0
94,0.8620,0.4081,0
95,0.8617,0.4002,0
96,0.8621,0.4902,0
97,0.8626,0.4068,0
98,0.8618,0.4381,0
99,0.8624,0.4346,0
100,0.8629,0.4691,0
