round,main_accuracy,backdoor_accuracy,attack_active
1,0.7454,0.0000,0
2,0.8038,0.0000,0
3,0.8196,0.0000,0
4,0.8284,0.0000,0
5,0.8350,0.0000,0
6,0.8393,0.0000,0
7,0.8422,0.0000,0
8,0.8438,0.0000,0
9,0.8458,0.0000,0
10,0.8464,0.0000,0
11,0.8469,0.0000,0
12,0.8474,0.0000,0
13,0.8489,0.0000,0
14,0.8504,0.0000,0
15,0.8505,0.0000,0
16,0.8524,0.0000,0
17,0.8524,0.0000,0
18,0.8535,0.0000,0
19,0.8526,0.0000,0
20,0.8540,0.0002,1
21,0.8553,0.0014,1
22,0.8554,0.0009,1
23,0.8555,0.0104,1
24,0.8558,0.0405,1
25,0.8568,0.0765,1
26,0.8576,0.1310,1
27,0.8574,0.2147,1
28,0.8581,0.3697,1
29,0.8584,0.5794,1
30,0.8585,0.6947,1
31,0.8585,0.7340,1
32,0.8587,0.8089,1
33,0.8583,0.8739,1
34,0.8587,0.9004,1
35,0.8573,0.9242,1
36,0.8590,0.9745,1
37,0.8598,0.9751,1
38,0.8592,0.9838,1
39,0.8590,0.9874,1
40,0.8593,0.9916,1
41,0.8590,0.9958,1
42,0.8588,0.9980,1
43,0.8587,0.9983,1
44,0.8606,0.9987,1
45,0.8593,0.9984,1
46,0.8605,0.9999,1
47,0.8592,0.9999,1
48,0.8602,0.9998,1
49,0.8607,0.9992,1
50,0.8602,0.9999,1
51,0.8607,0.9999,0
52,0.8602,0.9997,0
53,0.8605,0.9991,0
54,0.8608,0.9988,0
55,0.8609,0.9985,0
56,0.8608,0.9969,0
57,0.8605,0.9931,0
58,0.8613,0.9951,0
59,0.8612,0.9897,0
60,0.8607,0.9924,0
61,0.8614,0.9828,0
62,0.8599,0.9774,0
63,0.8608,0.9798,0
64,0.8613,0.9749,0
65,0.8612,0.9618,0
66,0.8620,0.9367,0
67,0.8613,0.9475,0
68,0.8618,0.9507,0
69,0.8622,0.9334,0
70,0.8612,0.9189,0
71,0.8611,0.9288,0
72,0.8624,0.8964,0
73,0.8610,0.9139,0
74,0.8604,0.9012,0
75,0.8618,0.8507,0
76,0.8600,0.8871,0
77,0.8611,0.8103,0
78,0.8617,0.7913,0
79,0.8609,0.7466,0
80,0.8613,0.6911,0
81,0.8621,0.5669,0
82,0.8619,0.5512,0
83,0.8621,0.6504,0
84,0.8622,0.6652,0
85,0.8621,0.6099,0
86,0.8625,0.5935,0
87,0.8620,0.6211,0
88,0.8615,0.5669,0
89,0.8627,0.5684,0
90,0.8614,0.6238,0
91,0.8623,0.5158,0
92,0.8624,0.5297,0
93,0.8615,0.4657,0
94,0.8617,0.4524,0
95,0.8625,0.4301,0
96,0.8616,0.3757,0
97,0.8616,0.4206,0
98,0.8614,0.4111,0
99,0.8616,0.4246,0
100,0.8623,0.4756,0
