round,main_accuracy,backdoor_accuracy,attack_active
1,0.1000,1.0000,0
2,0.1902,0.1994,0
3,0.2358,0.0025,0
4,0.2332,0.0015,0
5,0.2911,0.0000,0
6,0.3345,0.0006,0
7,0.3656,0.0002,0
8,0.3732,0.0001,0
9,0.4002,0.0001,0
10,0.3995,0.0000,0
11,0.4464,0.0006,0
12,0.4462,0.0001,0
13,0.4857,0.0000,0
14,0.4727,0.0007,0
15,0.4979,0.0000,0
16,0.5200,0.0000,0
17,0.5441,0.0000,0
18,0.5285,0.0004,0
19,0.5512,0.0010,0
20,0.5650,0.0009,1
21,0.5790,0.0006,1
22,0.5926,0.0012,1
23,0.5887,0.0007,1
24,0.6186,0.0041,1
25,0.6140,0.0014,1
26,0.6379,0.0039,1
27,0.6374,0.0009,1
28,0.6463,0.0012,1
29,0.6446,0.0023,1
30,0.6539,0.0015,1
31,0.6557,0.0053,1
32,0.6551,0.0050,1
33,0.6779,0.0052,1
34,0.6761,0.0111,1
35,0.6905,0.0023,1
36,0.6900,0.0107,1
37,0.6927,0.0068,1
38,0.7037,0.0059,1
39,0.7017,0.0065,1
40,0.7115,0.0069,1
41,0.7178,0.0069,1
42,0.7180,0.0137,1
43,0.7211,0.0413,1
44,0.7370,0.0235,1
45,0.7307,0.0193,1
46,0.7321,0.0381,1
47,0.7436,0.0266,1
48,0.7435,0.0180,1
49,0.7482,0.0169,1
50,0.7567,0.0219,1
51,0.7538,0.0218,0
52,0.7633,0.0184,0
53,0.7693,0.0271,0
54,0.7746,0.0210,0
55,0.7649,0.0228,0
56,0.7741,0.0351,0
57,0.7730,0.0254,0
58,0.7863,0.0212,0
59,0.7853,0.0480,0
60,0.7855,0.0291,0
61,0.7883,0.0462,0
62,0.7956,0.0289,0
63,0.7929,0.0374,0
64,0.8002,0.0356,0
65,0.8014,0.0374,0
66,0.8050,0.0409,0
67,0.7964,0.0398,0
68,0.8060,0.0270,0
69,0.8091,0.0360,0
70,0.8121,0.0265,0
71,0.8103,0.0412,0
72,0.8147,0.0323,0
73,0.8156,0.0321,0
74,0.8180,0.0435,0
75,0.8215,0.0451,0
76,0.8212,0.0450,0
77,0.8184,0.0368,0
78,0.8226,0.0293,0
79,0.8276,0.0394,0
80,0.8318,0.0435,0
81,0.8248,0.0453,0
82,0.8346,0.0434,0
83,0.8337,0.0468,0
84,0.8311,0.0341,0
85,0.8347,0.0460,0
86,0.8337,0.0554,0
87,0.8398,0.0373,0
88,0.8355,0.0423,0
89,0.8351,0.0416,0
90,0.8400,0.0360,0
91,0.8402,0.0419,0
92,0.8404,0.0499,0
93,0.8457,0.0364,0
94,0.8459,0.0418,0
95,0.8502,0.0388,0
96,0.8454,0.0285,0
97,0.8485,0.0516,0
98,0.8500,0.0493,0
99,0.8499,0.0438,0
100,0.8570,0.0633,0
