round,main_accuracy,backdoor_accuracy,attack_active
1,0.7575,0.0000,0
2,0.8065,0.0000,0
3,0.8256,0.0000,0
4,0.8345,0.0000,0
5,0.8409,0.0000,0
6,0.8446,0.0000,0
7,0.8461,0.0000,0
8,0.8476,0.0000,0
9,0.8513,0.0000,0
10,0.8524,0.0000,0
11,0.8529,0.0000,0
12,0.8540,0.0000,0
13,0.8542,0.0000,0
14,0.8555,0.0000,0
15,0.8561,0.0000,0
16,0.8565,0.0000,0
17,0.8562,0.0000,0
18,0.8574,0.0000,0
19,0.8585,0.0000,0
20,0.8592,0.0446,1
21,0.8593,0.4769,1
22,0.8597,0.8519,1
23,0.8601,0.9632,1
24,0.8596,0.9914,1
25,0.8603,0.9957,1
26,0.8606,0.9988,1
27,0.8611,0.9998,1
28,0.8611,0.9999,1
29,0.8609,1.0000,1
30,0.8606,1.0000,1
31,0.8622,1.0000,1
32,0.8613,1.0000,1
33,0.8623,1.0000,1
34,0.8622,1.0000,1
35,0.8630,1.0000,1
36,0.8634,1.0000,1
37,0.8626,1.0000,1
38,0.8633,1.0000,1
39,0.8625,1.0000,1
40,0.8634,1.0000,1
41,0.8636,1.0000,1
42,0.8640,1.0000,1
43,0.8638,1.0000,1
44,0.8639,1.0000,1
45,0.8636,1.0000,1
46,0.8643,1.0000,1
47,0.8646,1.0000,1
48,0.8648,1.0000,1
49,0.8647,1.0000,1
50,0.8649,1.0000,1
51,0.8650,1.0000,0
52,0.8647,1.0000,0
53,0.8649,1.0000,0
54,0.8650,1.0000,0
55,0.8655,1.0000,0
56,0.8649,1.0000,0
57,0.8657,1.0000,0
58,0.8650,1.0000,0
59,0.8655,1.0000,0
60,0.8644,1.0000,0
61,0.8661,1.0000,0
62,0.8661,1.0000,0
63,0.8656,1.0000,0
64,0.8652,1.0000,0
65,0.8660,1.0000,0
66,0.8657,1.0000,0
67,0.8662,1.0000,0
68,0.8668,1.0000,0
69,0.8660,1.0000,0
70,0.8662,1.0000,0
71,0.8665,0.9999,0
72,0.8660,0.9999,0
73,0.8668,0.9999,0
74,0.8661,0.9999,0
75,0.8662,0.9999,0
76,0.8668,0.9999,0
77,0.8663,0.9997,0
78,0.8670,0.9996,0
79,0.8668,0.9997,0
80,0.8671,0.9994,0
81,0.8668,0.9993,0
82,0.8663,0.9992,0
83,0.8665,0.9993,0
84,0.8669,0.9985,0
85,0.8666,0.9987,0
86,0.8668,0.9987,0
87,0.8671,0.9987,0
88,0.8670,0.9979,0
89,0.8667,0.9979,0
90,0.8672,0.9964,0
91,0.8674,0.9955,0
92,0.8675,0.9954,0
93,0.8664,0.9923,0
94,0.8673,0.9943,0
95,0.8672,0.9903,0
96,0.8673,0.9915,0
97,0.8670,0.9903,0
98,0.8679,0.9882,0
99,0.8677,0.9879,0
100,0.8683,0.9851,0
