round,main_accuracy,backdoor_accuracy,attack_active
1,0.1156,0.0000,0
2,0.1548,0.0000,0
3,0.2675,0.0000,0
4,0.3740,0.0010,0
5,0.4416,0.0065,0
6,0.4905,0.0080,0
7,0.5337,0.0230,0
8,0.5957,0.0259,0
9,0.6215,0.0449,0
10,0.6609,0.0350,0
11,0.6967,0.0224,0
12,0.7257,0.0291,0
13,0.7462,0.0317,0
14,0.7770,0.0345,0
15,0.7962,0.0352,0
16,0.8146,0.0290,0
17,0.8295,0.0331,0
18,0.8386,0.0234,0
19,0.8543,0.0289,0
20,0.8656,0.0387,1
21,0.8587,0.0428,1
22,0.8730,0.0380,1
23,0.8786,0.0413,1
24,0.8809,0.0318,1
25,0.8874,0.0353,1
26,0.8901,0.0282,1
27,0.8930,0.0261,1
28,0.8966,0.0310,1
29,0.8975,0.0312,1
30,0.9013,0.0297,1
31,0.9016,0.0270,1
32,0.9070,0.0306,1
33,0.9074,0.0294,1
34,0.9103,0.0300,1
35,0.9089,0.0272,1
36,0.9097,0.0281,1
37,0.9109,0.0262,1
38,0.9168,0.0286,1
39,0.9152,0.0255,1
40,0.9145,0.0249,1
41,0.9134,0.0302,1
42,0.9175,0.0288,1
43,0.9188,0.0276,1
44,0.9191,0.0268,1
45,0.9189,0.0314,1
46,0.9181,0.0287,1
47,0.9237,0.0267,1
48,0.9215,0.0286,1
49,0.9223,0.0269,1
50,0.9234,0.0259,1
51,0.9255,0.0266,0
52,0.9241,0.0274,0
53,0.9242,0.0256,0
54,0.9229,0.0243,0
55,0.9246,0.0266,0
56,0.9251,0.0248,0
57,0.9232,0.0263,0
58,0.9257,0.0287,0
59,0.9267,0.0245,0
60,0.9276,0.0254,0
61,0.9270,0.0211,0
62,0.9306,0.0251,0
63,0.9304,0.0240,0
64,0.9276,0.0230,0
65,0.9310,0.0253,0
66,0.9294,0.0234,0
67,0.9240,0.0233,0
68,0.9290,0.0224,0
69,0.9279,0.0212,0
70,0.9311,0.0241,0
71,0.9302,0.0215,0
72,0.9283,0.0224,0
73,0.9307,0.0245,0
74,0.9277,0.0219,0
75,0.9308,0.0239,0
76,0.9319,0.0233,0
77,0.9296,0.0227,0
78,0.9310,0.0232,0
79,0.9308,0.0249,0
80,0.9320,0.0261,0
81,0.9314,0.0246,0
82,0.9333,0.0227,0
83,0.9319,0.0253,0
84,0.9335,0.0236,0
85,0.9365,0.0245,0
86,0.9329,0.0236,0
87,0.9352,0.0245,0
88,0.9323,0.0245,0
89,0.9339,0.0249,0
90,0.9322,0.0263,0
91,0.9336,0.0231,0
92,0.9327,0.0246,0
93,0.9330,0.0227,0
94,0.9328,0.0227,0
95,0.9340,0.0238,0
96,0.9342,0.0230,0
97,0.9329,0.0230,0
98,0.9329,0.0257,0
99,0.9345,0.0222,0
100,0.9348,0.0233,0
