round,main_accuracy,backdoor_accuracy,attack_active
1,0.1101,0.0000,0
2,0.1535,0.0000,0
3,0.2649,0.0000,0
4,0.3809,0.0000,0
5,0.4430,0.0000,0
6,0.4911,0.0000,0
7,0.5460,0.0000,0
8,0.5828,0.0000,0
9,0.6394,0.0000,0
10,0.6634,0.0000,0
11,0.7007,0.0000,0
12,0.7294,0.0000,0
13,0.7491,0.0000,0
14,0.7739,0.0000,0
15,0.7946,0.0000,0
16,0.8075,0.0000,0
17,0.8271,0.0000,0
18,0.8429,0.0000,0
19,0.8514,0.0000,0
20,0.8576,0.0760,1
21,0.8643,0.1250,1
22,0.8714,0.1253,1
23,0.8749,0.1424,1
24,0.8740,0.1511,1
25,0.8804,0.1670,1
26,0.8854,0.1927,1
27,0.8880,0.1876,1
28,0.8880,0.1804,1
29,0.8882,0.1876,1
30,0.8920,0.1771,1
31,0.8922,0.1749,1
32,0.8961,0.1934,1
33,0.8987,0.1728,1
34,0.8991,0.1884,1
35,0.9004,0.1795,1
36,0.9031,0.1647,1
37,0.9036,0.1800,1
38,0.9038,0.1817,1
39,0.9047,0.1725,1
40,0.9056,0.1774,1
41,0.9097,0.1838,1
42,0.9053,0.1576,1
43,0.9079,0.1926,1
44,0.9083,0.1622,1
45,0.9088,0.1881,1
46,0.9091,0.1679,1
47,0.9095,0.1532,1
48,0.9112,0.1795,1
49,0.9113,0.1606,1
50,0.9124,0.1785,1
51,0.9126,0.1433,0
52,0.9176,0.1368,0
53,0.9189,0.1319,0
54,0.9202,0.1364,0
55,0.9201,0.1304,0
56,0.9215,0.1308,0
57,0.9219,0.1161,0
58,0.9230,0.1116,0
59,0.9245,0.1137,0
60,0.9245,0.1022,0
61,0.9256,0.0991,0
62,0.9278,0.1016,0
63,0.9260,0.0955,0
64,0.9296,0.1027,0
65,0.9285,0.0935,0
66,0.9279,0.1002,0
67,0.9278,0.0985,0
68,0.9296,0.1009,0
69,0.9291,0.0911,0
70,0.9292,0.0904,0
71,0.9311,0.0917,0
72,0.9298,0.0887,0
73,0.9317,0.0926,0
74,0.9308,0.0806,0
75,0.9300,0.0891,0
76,0.9303,0.0911,0
77,0.9322,0.0870,0
78,0.9318,0.0903,0
79,0.9318,0.0908,0
80,0.9329,0.0883,0
81,0.9297,0.0821,0
82,0.9319,0.0876,0
83,0.9343,0.0888,0
84,0.9328,0.0845,0
85,0.9336,0.0825,0
86,0.9348,0.0789,0
87,0.9343,0.0770,0
88,0.9331,0.0760,0
89,0.9334,0.0751,0
90,0.9331,0.0763,0
91,0.9333,0.0762,0
92,0.9341,0.0783,0
93,0.9348,0.0766,0
94,0.9364,0.0793,0
95,0.9363,0.0740,0
96,0.9359,0.0743,0
97,0.9337,0.0808,0
98,0.9353,0.0756,0
99,0.9353,0.0738,0
100,0.9359,0.0728,0
