round,main_accuracy,backdoor_accuracy,attack_active
1,0.2224,0.0000,0
2,0.2710,0.0000,0
3,0.2938,0.0000,0
4,0.3008,0.0000,0
5,0.3578,0.0000,0
6,0.3700,0.0000,0
7,0.3905,0.0000,0
8,0.3962,0.0000,0
9,0.4146,0.0000,0
10,0.4184,0.0000,0
11,0.4337,0.0000,0
12,0.4426,0.0000,0
13,0.4425,0.0000,0
14,0.4636,0.0000,0
15,0.4671,0.0000,0
16,0.4593,0.0000,0
17,0.4738,0.0000,0
18,0.4809,0.0000,0
19,0.4894,0.0000,0
20,0.4903,0.1767,1
21,0.4918,0.1633,1
22,0.5012,0.1785,1
23,0.4963,0.1743,1
24,0.5120,0.1735,1
25,0.5127,0.1711,1
26,0.5201,0.1548,1
27,0.5204,0.1330,1
28,0.5286,0.1253,1
29,0.5380,0.1240,1
30,0.5285,0.1886,1
31,0.5500,0.1397,1
32,0.5523,0.1433,1
33,0.5521,0.1371,1
34,0.5663,0.1517,1
35,0.5717,0.1366,1
36,0.5741,0.1444,1
37,0.5826,0.1527,1
38,0.5792,0.1475,1
39,0.6054,0.1240,1
40,0.5979,0.1265,1
41,0.5982,0.1536,1
42,0.6065,0.1213,1
43,0.6025,0.1566,1
44,0.6130,0.1483,1
45,0.6244,0.1437,1
46,0.6153,0.1492,1
47,0.6332,0.1299,1
48,0.6366,0.1306,1
49,0.6409,0.1253,1
50,0.6378,0.1268,1
51,0.6531,0.1412,0
52,0.6446,0.1296,0
53,0.6697,0.1060,0
54,0.6765,0.1206,0
55,0.6707,0.1164,0
56,0.6753,0.1390,0
57,0.6680,0.1287,0
58,0.6841,0.1226,0
59,0.6844,0.1186,0
60,0.6955,0.1181,0
61,0.6896,0.1301,0
62,0.6927,0.1198,0
63,0.6995,0.1243,0
64,0.7045,0.1165,0
65,0.7033,0.1159,0
66,0.7173,0.1006,0
67,0.7125,0.1095,0
68,0.7124,0.1241,0
69,0.7208,0.1145,0
70,0.7299,0.1274,0
71,0.7298,0.1086,0
72,0.7359,0.1156,0
73,0.7376,0.1218,0
74,0.7387,0.1272,0
75,0.7469,0.0988,0
76,0.7428,0.1063,0
77,0.7479,0.1191,0
78,0.7521,0.1117,0
79,0.7480,0.1056,0
80,0.7569,0.1051,0
81,0.7561,0.1104,0
82,0.7618,0.1042,0
83,0.7628,0.1181,0
84,0.7664,0.1139,0
85,0.7630,0.1006,0
86,0.7694,0.1155,0
87,0.7730,0.1193,0
88,0.7641,0.1202,0
89,0.7743,0.1161,0
90,0.7750,0.1121,0
91,0.7835,0.1022,0
92,0.7828,0.1111,0
93,0.7852,0.1044,0
94,0.7808,0.0931,0
95,0.7830,0.1102,0
96,0.7859,0.1065,0
97,0.7880,0.1187,0
98,0.7933,0.1080,0
99,0.7909,0.1073,0
100,0.7913,0.1120,0
