round,main_accuracy,backdoor_accuracy,attack_active
1,0.1168,0.0000,0
2,0.1525,0.0000,0
3,0.2857,0.0000,0
4,0.3871,0.0000,0
5,0.4322,0.0000,0
6,0.4861,0.0000,0
7,0.5416,0.0000,0
8,0.5876,0.0000,0
9,0.6329,0.0000,0
10,0.6574,0.0000,0
11,0.6975,0.0000,0
12,0.7322,0.0000,0
13,0.7510,0.0000,0
14,0.7691,0.0000,0
15,0.7899,0.0000,0
16,0.8173,0.0000,0
17,0.8204,0.0000,0
18,0.8384,0.0000,0
19,0.8501,0.0000,0
20,0.8587,0.0637,1
21,0.8692,0.0734,1
22,0.8690,0.0812,1
23,0.8785,0.1062,1
24,0.8808,0.1083,1
25,0.8832,0.1271,1
26,0.8869,0.1332,1
27,0.8886,0.1214,1
28,0.8941,0.1318,1
29,0.8933,0.1177,1
30,0.8973,0.1337,1
31,0.9012,0.1365,1
32,0.9025,0.1247,1
33,0.9026,0.1232,1
34,0.9049,0.1535,1
35,0.9045,0.1594,1
36,0.9044,0.1361,1
37,0.9062,0.1394,1
38,0.9101,0.1394,1
39,0.9104,0.1285,1
40,0.9105,0.1434,1
41,0.9124,0.1333,1
42,0.9139,0.1356,1
43,0.9128,0.1469,1
44,0.9104,0.1416,1
45,0.9135,0.1406,1
46,0.9148,0.1418,1
47,0.9150,0.1535,1
48,0.9175,0.1283,1
49,0.9158,0.1470,1
50,0.9181,0.1361,1
51,0.9187,0.1291,0
52,0.9193,0.1245,0
53,0.9188,0.1246,0
54,0.9217,0.1088,0
55,0.9230,0.1117,0
56,0.9239,0.0914,0
57,0.9222,0.1018,0
58,0.9226,0.0971,0
59,0.9264,0.0948,0
60,0.9242,0.0963,0
61,0.9256,0.0865,0
62,0.9255,0.0928,0
63,0.9240,0.1002,0
64,0.9292,0.0960,0
65,0.9271,0.0777,0
66,0.9285,0.0933,0
67,0.9300,0.0851,0
68,0.9303,0.0867,0
69,0.9304,0.0889,0
70,0.9272,0.0826,0
71,0.9307,0.0856,0
72,0.9314,0.0829,0
73,0.9302,0.0768,0
74,0.9310,0.0857,0
75,0.9305,0.0806,0
76,0.9289,0.0830,0
77,0.9316,0.0811,0
78,0.9313,0.0746,0
79,0.9311,0.0725,0
80,0.9315,0.0814,0
81,0.9294,0.0848,0
82,0.9305,0.0748,0
83,0.9312,0.0714,0
84,0.9301,0.0690,0
85,0.9333,0.0727,0
86,0.9329,0.0751,0
87,0.9314,0.0682,0
88,0.9314,0.0675,0
89,0.9325,0.0708,0
90,0.9337,0.0673,0
91,0.9329,0.0670,0
92,0.9340,0.0706,0
93,0.9329,0.0683,0
94,0.9319,0.0728,0
95,0.9329,0.0689,0
96,0.9321,0.0679,0
97,0.9323,0.0687,0
98,0.9321,0.0711,0
99,0.9322,0.0653,0
100,0.9332,0.0651,0
