round,main_accuracy,backdoor_accuracy,attack_active
1,0.1693,0.0000,0
2,0.2739,0.0000,0
3,0.2858,0.0000,0
4,0.3041,0.0000,0
5,0.3597,0.0000,0
6,0.3908,0.0000,0
7,0.3877,0.0000,0
8,0.3950,0.0000,0
9,0.4211,0.0000,0
10,0.4132,0.0000,0
11,0.4303,0.0000,0
12,0.4427,0.0000,0
13,0.4483,0.0000,0
14,0.4556,0.0000,0
15,0.4608,0.0000,0
16,0.4681,0.0000,0
17,0.4672,0.0000,0
18,0.4780,0.0000,0
19,0.4817,0.0000,0
20,0.4911,0.1719,1
21,0.4925,0.1536,1
22,0.5023,0.1703,1
23,0.4949,0.1852,1
24,0.5051,0.1721,1
25,0.5016,0.1641,1
26,0.5203,0.1574,1
27,0.5173,0.1815,1
28,0.5335,0.1658,1
29,0.5315,0.1617,1
30,0.5456,0.1601,1
31,0.5507,0.1452,1
32,0.5484,0.1436,1
33,0.5609,0.1523,1
34,0.5601,0.1757,1
35,0.5760,0.1584,1
36,0.5753,0.1696,1
37,0.5901,0.1427,1
38,0.5925,0.1340,1
39,0.5939,0.1584,1
40,0.6043,0.1469,1
41,0.6099,0.1236,1
42,0.6118,0.1483,1
43,0.6050,0.1503,1
44,0.6235,0.1494,1
45,0.6210,0.1345,1
46,0.6316,0.1227,1
47,0.6323,0.1300,1
48,0.6376,0.1417,1
49,0.6454,0.1189,1
50,0.6491,0.1221,1
51,0.6535,0.1249,0
52,0.6606,0.1289,0
53,0.6596,0.1371,0
54,0.6597,0.1289,0
55,0.6837,0.1132,0
56,0.6801,0.1215,0
57,0.6894,0.1101,0
58,0.6828,0.1098,0
59,0.6954,0.1196,0
60,0.6884,0.1378,0
61,0.6938,0.1134,0
62,0.7061,0.1025,0
63,0.7017,0.1196,0
64,0.7039,0.1134,0
65,0.7120,0.1169,0
66,0.7192,0.1108,0
67,0.7111,0.1144,0
68,0.7232,0.1170,0
69,0.7263,0.1241,0
70,0.7294,0.1206,0
71,0.7361,0.1083,0
72,0.7393,0.1054,0
73,0.7400,0.1086,0
74,0.7462,0.0998,0
75,0.7449,0.1082,0
76,0.7498,0.1225,0
77,0.7452,0.1258,0
78,0.7542,0.1108,0
79,0.7511,0.1109,0
80,0.7556,0.1069,0
81,0.7630,0.1083,0
82,0.7660,0.1064,0
83,0.7621,0.1127,0
84,0.7638,0.1053,0
85,0.7703,0.1202,0
86,0.7723,0.1115,0
87,0.7691,0.1094,0
88,0.7693,0.1056,0
89,0.7757,0.1048,0
90,0.7802,0.1182,0
91,0.7814,0.1072,0
92,0.7822,0.1093,0
93,0.7855,0.1138,0
94,0.7872,0.1095,0
95,0.7840,0.1172,0
96,0.7883,0.1132,0
97,0.7923,0.1061,0
98,0.7864,0.1134,0
99,0.7939,0.1028,0
100,0.7946,0.1187,0
