round,main_accuracy,backdoor_accuracy,attack_active
1,0.1074,0.0000,0
2,0.1468,0.0000,0
3,0.2860,0.0000,0
4,0.3766,0.0000,0
5,0.4362,0.0000,0
6,0.4848,0.0000,0
7,0.5366,0.0000,0
8,0.5963,0.0000,0
9,0.6324,0.0000,0
10,0.6629,0.0000,0
11,0.7046,0.0000,0
12,0.7330,0.0000,0
13,0.7574,0.0000,0
14,0.7733,0.0000,0
15,0.7914,0.0000,0
16,0.8087,0.0000,0
17,0.8248,0.0000,0
18,0.8394,0.0000,0
19,0.8474,0.0000,0
20,0.8557,0.0653,1
21,0.8591,0.0572,1
22,0.8743,0.0846,1
23,0.8760,0.0856,1
24,0.8860,0.0975,1
25,0.8838,0.0955,1
26,0.8880,0.1142,1
27,0.8865,0.1243,1
28,0.8957,0.1340,1
29,0.8970,0.1249,1
30,0.8964,0.1333,1
31,0.9017,0.1344,1
32,0.9012,0.1359,1
33,0.9032,0.1284,1
34,0.9027,0.1144,1
35,0.9057,0.1487,1
36,0.9059,0.1366,1
37,0.9053,0.1481,1
38,0.9086,0.1460,1
39,0.9078,0.1286,1
40,0.9115,0.1363,1
41,0.9130,0.1444,1
42,0.9126,0.1420,1
43,0.9115,0.1387,1
44,0.9139,0.1348,1
45,0.9132,0.1341,1
46,0.9154,0.1335,1
47,0.9176,0.1267,1
48,0.9176,0.1395,1
49,0.9177,0.1349,1
50,0.9189,0.1272,1
51,0.9193,0.1222,0
52,0.9203,0.1288,0
53,0.9198,0.1175,0
54,0.9217,0.1109,0
55,0.9213,0.1025,0
56,0.9220,0.1056,0
57,0.9222,0.1092,0
58,0.9227,0.1051,0
59,0.9257,0.1055,0
60,0.9264,0.1005,0
61,0.9253,0.0940,0
62,0.9249,0.0949,0
63,0.9253,0.1001,0
64,0.9263,0.0843,0
65,0.9269,0.0835,0
66,0.9259,0.0777,0
67,0.9293,0.0867,0
68,0.9256,0.0826,0
69,0.9285,0.0871,0
70,0.9289,0.0888,0
71,0.9273,0.0788,0
72,0.9288,0.0820,0
73,0.9286,0.0804,0
74,0.9305,0.0793,0
75,0.9301,0.0756,0
76,0.9299,0.0704,0
77,0.9310,0.0775,0
78,0.9311,0.0764,0
79,0.9317,0.0703,0
80,0.9320,0.0747,0
81,0.9321,0.0694,0
82,0.9332,0.0691,0
83,0.9337,0.0689,0
84,0.9341,0.0701,0
85,0.9318,0.0686,0
86,0.9337,0.0663,0
87,0.9356,0.0694,0
88,0.9347,0.0644,0
89,0.9332,0.0657,0
90,0.9342,0.0630,0
91,0.9348,0.0617,0
92,0.9352,0.0657,0
93,0.9344,0.0641,0
94,0.9355,0.0693,0
95,0.9359,0.0622,0
96,0.9334,0.0662,0
97,0.9356,0.0641,0
98,0.9349,0.0610,0
99,0.9337,0.0637,0
100,0.9329,0.0621,0
