round,main_accuracy,backdoor_accuracy,attack_active
1,0.2010,0.0000,0
2,0.2505,0.0000,0
3,0.3113,0.0000,0
4,0.3290,0.0000,0
5,0.3321,0.0000,0
6,0.3887,0.0000,0
7,0.3867,0.0000,0
8,0.4020,0.0000,0
9,0.4219,0.0000,0
10,0.4215,0.0000,0
11,0.4270,0.0000,0
12,0.4327,0.0000,0
13,0.4477,0.0000,0
14,0.4505,0.0000,0
15,0.4547,0.0000,0
16,0.4696,0.0000,0
17,0.4811,0.0000,0
18,0.4783,0.0000,0
19,0.4809,0.0000,0
20,0.4676,0.1135,1
21,0.4907,0.1408,1
22,0.4902,0.1574,1
23,0.5026,0.1441,1
24,0.5027,0.1476,1
25,0.5150,0.1240,1
26,0.5231,0.1258,1
27,0.5235,0.1575,1
28,0.5262,0.1291,1
29,0.5261,0.0993,1
30,0.5534,0.1053,1
31,0.5442,0.1046,1
32,0.5616,0.1081,1
33,0.5603,0.1356,1
34,0.5655,0.1193,1
35,0.5723,0.1100,1
36,0.5862,0.1156,1
37,0.5936,0.1410,1
38,0.6002,0.1210,1
39,0.6016,0.1100,1
40,0.6088,0.1191,1
41,0.6108,0.1256,1
42,0.6134,0.1241,1
43,0.6229,0.1210,1
44,0.6178,0.1171,1
45,0.6398,0.1063,1
46,0.6240,0.0856,1
47,0.6359,0.1242,1
48,0.6451,0.1094,1
49,0.6542,0.1075,1
50,0.6282,0.1522,1
51,0.6554,0.1134,0
52,0.6611,0.1112,0
53,0.6626,0.1089,0
54,0.6734,0.1151,0
55,0.6731,0.1187,0
56,0.6823,0.1210,0
57,0.6759,0.1195,0
58,0.6703,0.1131,0
59,0.6851,0.1158,0
60,0.6944,0.0949,0
61,0.6939,0.1239,0
62,0.6987,0.1442,0
63,0.6964,0.1190,0
64,0.7028,0.0932,0
65,0.7090,0.1134,0
66,0.7016,0.1017,0
67,0.7151,0.1078,0
68,0.7162,0.1180,0
69,0.7205,0.1093,0
70,0.7279,0.1160,0
71,0.7307,0.1046,0
72,0.7256,0.1266,0
73,0.7351,0.1195,0
74,0.7437,0.1119,0
75,0.7305,0.0949,0
76,0.7358,0.1275,0
77,0.7464,0.1224,0
78,0.7567,0.1027,0
79,0.7447,0.1044,0
80,0.7434,0.1133,0
81,0.7523,0.1070,0
82,0.7545,0.1135,0
83,0.7609,0.0944,0
84,0.7647,0.0930,0
85,0.7580,0.1087,0
86,0.7594,0.1075,0
87,0.7683,0.1048,0
88,0.7625,0.1190,0
89,0.7634,0.1001,0
90,0.7720,0.0982,0
91,0.7724,0.1245,0
92,0.7720,0.1163,0
93,0.7759,0.1105,0
94,0.7689,0.1118,0
95,0.7795,0.1006,0
96,0.7855,0.1080,0
97,0.7775,0.1300,0
98,0.7894,0.1070,0
99,0.7824,0.1095,0
100,0.7917,0.1017,0
