round,main_accuracy,backdoor_accuracy,attack_active
1,0.7437,0.0000,0
2,0.8042,0.0000,0
3,0.8187,0.0000,0
4,0.8288,0.0000,0
5,0.8348,0.0000,0
6,0.8381,0.0000,0
7,0.8409,0.0000,0
8,0.8390,0.0000,0
9,0.8445,0.0000,0
10,0.8470,0.0000,0
11,0.8476,0.0000,0
12,0.8481,0.0000,0
13,0.8485,0.0000,0
14,0.8494,0.0000,0
15,0.8509,0.0000,0
16,0.8506,0.0000,0
17,0.8498,0.0000,0
18,0.8526,0.0000,0
19,0.8537,0.0000,0
20,0.8546,0.0529,1
21,0.8540,0.0532,1
22,0.8541,0.0531,1
23,0.8549,0.0532,1
24,0.8553,0.0530,1
25,0.8562,0.0528,1
26,0.8560,0.0534,1
27,0.8562,0.0533,1
28,0.8570,0.0530,1
29,0.8561,0.0532,1
30,0.8565,0.0530,1
31,0.8569,0.0529,1
32,0.8573,0.0528,1
33,0.8563,0.0530,1
34,0.8559,0.0529,1
35,0.8560,0.0527,1
36,0.8573,0.0530,1
37,0.8568,0.0531,1
38,0.8578,0.0528,1
39,0.8574,0.0527,1
40,0.8572,0.0530,1
41,0.8572,0.0528,1
42,0.8584,0.0529,1
43,0.8568,0.0528,1
44,0.8591,0.0528,1
45,0.8572,0.0525,1
46,0.8583,0.0527,1
47,0.8580,0.0527,1
48,0.8581,0.0527,1
49,0.8586,0.0527,1
50,0.8597,0.0527,1
51,0.8589,0.0527,0
52,0.8588,0.0528,0
53,0.8593,0.0525,0
54,0.8596,0.0528,0
55,0.8595,0.0525,0
56,0.8572,0.0528,0
57,0.8593,0.0526,0
58,0.8589,0.0527,0
59,0.8590,0.0525,0
60,0.8604,0.0523,0
61,0.8595,0.0523,0
62,0.8582,0.0526,0
63,0.8596,0.0521,0
64,0.8596,0.0524,0
65,0.8581,0.0523,0
66,0.8598,0.0525,0
67,0.8602,0.0524,0
68,0.8592,0.0524,0
69,0.8603,0.0524,0
70,0.8596,0.0524,0
71,0.8577,0.0524,0
72,0.8595,0.0522,0
73,0.8591,0.0524,0
74,0.8588,0.0521,0
75,0.8595,0.0524,0
76,0.8591,0.0524,0
77,0.8601,0.0524,0
78,0.8604,0.0525,0
79,0.8593,0.0522,0
80,0.8598,0.0521,0
81,0.8598,0.0519,0
82,0.8597,0.0520,0
83,0.8596,0.0520,0
84,0.8606,0.0522,0
85,0.8603,0.0520,0
86,0.8602,0.0519,0
87,0.8600,0.0525,0
88,0.8594,0.0520,0
89,0.8611,0.0521,0
90,0.8619,0.0521,0
91,0.8587,0.0525,0
92,0.8601,0.0520,0
93,0.8610,0.0524,0
94,0.8601,0.0523,0
95,0.8600,0.0521,0
96,0.8602,0.0518,0
97,0.8618,0.0523,0
98,0.8601,0.0518,0
99,0.8598,0.0519,0
100,0.8619,0.0522,0
