round,main_accuracy,backdoor_accuracy,attack_active
1,0.0998,0.0000,0
2,0.1412,0.0000,0
3,0.2606,0.0000,0
4,0.3534,0.0000,0
5,0.4343,0.0000,0
6,0.4863,0.0000,0
7,0.5457,0.0000,0
8,0.5742,0.0000,0
9,0.6340,0.0000,0
10,0.6688,0.0000,0
11,0.7014,0.0000,0
12,0.7106,0.0000,0
13,0.7550,0.0000,0
14,0.7686,0.0000,0
15,0.7937,0.0000,0
16,0.8082,0.0000,0
17,0.8192,0.0000,0
18,0.8325,0.0000,0
19,0.8493,0.0000,0
20,0.8513,0.0532,1
21,0.8538,0.0402,1
22,0.8693,0.0566,1
23,0.8733,0.0421,1
24,0.8793,0.0432,1
25,0.8822,0.0416,1
26,0.8885,0.0413,1
27,0.8909,0.0475,1
28,0.8952,0.0432,1
29,0.8959,0.0424,1
30,0.8998,0.0517,1
31,0.9002,0.0420,1
32,0.9013,0.0452,1
33,0.9042,0.0409,1
34,0.9021,0.0410,1
35,0.9074,0.0417,1
36,0.9076,0.0372,1
37,0.9096,0.0438,1
38,0.9120,0.0391,1
39,0.9108,0.0405,1
40,0.9100,0.0352,1
41,0.9159,0.0424,1
42,0.9159,0.0390,1
43,0.9143,0.0408,1
44,0.9146,0.0441,1
45,0.9178,0.0380,1
46,0.9184,0.0416,1
47,0.9181,0.0416,1
48,0.9187,0.0407,1
49,0.9200,0.0382,1
50,0.9216,0.0397,1
51,0.9196,0.0367,0
52,0.9229,0.0363,0
53,0.9231,0.0389,0
54,0.9214,0.0403,0
55,0.9230,0.0344,0
56,0.9246,0.0352,0
57,0.9246,0.0380,0
58,0.9249,0.0367,0
59,0.9268,0.0360,0
60,0.9250,0.0366,0
61,0.9277,0.0376,0
62,0.9281,0.0386,0
63,0.9291,0.0358,0
64,0.9237,0.0382,0
65,0.9301,0.0348,0
66,0.9276,0.0340,0
67,0.9291,0.0360,0
68,0.9313,0.0356,0
69,0.9294,0.0333,0
70,0.9320,0.0374,0
71,0.9335,0.0362,0
72,0.9316,0.0350,0
73,0.9312,0.0357,0
74,0.9321,0.0338,0
75,0.9333,0.0345,0
76,0.9320,0.0344,0
77,0.9314,0.0355,0
78,0.9345,0.0342,0
79,0.9324,0.0342,0
80,0.9327,0.0340,0
81,0.9317,0.0343,0
82,0.9339,0.0347,0
83,0.9327,0.0340,0
84,0.9325,0.0323,0
85,0.9324,0.0331,0
86,0.9328,0.0332,0
87,0.9344,0.0335,0
88,0.9321,0.0321,0
89,0.9350,0.0329,0
90,0.9326,0.0325,0
91,0.9354,0.0340,0
92,0.9360,0.0337,0
93,0.9348,0.0337,0
94,0.9351,0.0334,0
95,0.9346,0.0342,0
96,0.9338,0.0330,0
97,0.9363,0.0333,0
98,0.9356,0.0332,0
99,0.9363,0.0337,0
100,0.9371,0.0330,0
