round,main_accuracy,backdoor_accuracy,attack_active
1,0.2070,0.0000,0
2,0.2771,0.0000,0
3,0.2730,0.0000,0
4,0.3250,0.0000,0
5,0.3502,0.0000,0
6,0.3704,0.0000,0
7,0.3820,0.0000,0
8,0.4070,0.0000,0
9,0.4010,0.0000,0
10,0.4254,0.0000,0
11,0.4369,0.0000,0
12,0.4461,0.0000,0
13,0.4409,0.0000,0
14,0.4515,0.0000,0
15,0.4606,0.0000,0
16,0.4633,0.0000,0
17,0.4653,0.0000,0
18,0.4789,0.0000,0
19,0.4825,0.0000,0
20,0.4810,0.1269,1
21,0.4917,0.1220,1
22,0.4898,0.1035,1
23,0.5059,0.1373,1
24,0.5139,0.1348,1
25,0.5006,0.1340,1
26,0.5184,0.1161,1
27,0.5158,0.1469,1
28,0.5261,0.1181,1
29,0.5287,0.1198,1
30,0.5440,0.1262,1
31,0.5528,0.1104,1
32,0.5571,0.1378,1
33,0.5756,0.1031,1
34,0.5679,0.1127,1
35,0.5748,0.1234,1
36,0.5849,0.1332,1
37,0.5911,0.1185,1
38,0.5954,0.1104,1
39,0.5942,0.1328,1
40,0.5984,0.1273,1
41,0.6084,0.1269,1
42,0.6154,0.1172,1
43,0.6233,0.1108,1
44,0.6213,0.1378,1
45,0.6233,0.1284,1
46,0.6379,0.1126,1
47,0.6460,0.1168,1
48,0.6499,0.1151,1
49,0.6496,0.1186,1
50,0.6589,0.1176,1
51,0.6516,0.1313,0
52,0.6641,0.1065,0
53,0.6633,0.1184,0
54,0.6703,0.1258,0
55,0.6773,0.1141,0
56,0.6876,0.1099,0
57,0.6947,0.1192,0
58,0.6988,0.0982,0
59,0.6926,0.1220,0
60,0.6916,0.1172,0
61,0.7039,0.1117,0
62,0.7034,0.1089,0
63,0.6970,0.1208,0
64,0.7123,0.1099,0
65,0.7101,0.1048,0
66,0.7122,0.1252,0
67,0.7261,0.0958,0
68,0.7173,0.1057,0
69,0.7242,0.1106,0
70,0.7318,0.1108,0
71,0.7356,0.1193,0
72,0.7343,0.1209,0
73,0.7366,0.1104,0
74,0.7385,0.1143,0
75,0.7510,0.1088,0
76,0.7454,0.1158,0
77,0.7458,0.1141,0
78,0.7553,0.0970,0
79,0.7519,0.1054,0
80,0.7576,0.1004,0
81,0.7561,0.1096,0
82,0.7586,0.1037,0
83,0.7654,0.1105,0
84,0.7668,0.1037,0
85,0.7662,0.1011,0
86,0.7680,0.1158,0
87,0.7706,0.1172,0
88,0.7810,0.1087,0
89,0.7797,0.1100,0
90,0.7814,0.1088,0
91,0.7781,0.1094,0
92,0.7809,0.1079,0
93,0.7840,0.1049,0
94,0.7862,0.1109,0
95,0.7881,0.1084,0
96,0.7858,0.1047,0
97,0.7875,0.1004,0
98,0.7904,0.1133,0
99,0.7807,0.1224,0
100,0.7960,0.1038,0
