round,main_accuracy,backdoor_accuracy,attack_active
1,0.0965,0.0000,0
2,0.1806,0.0000,0
3,0.2831,0.0000,0
4,0.3476,0.0000,0
5,0.4195,0.0000,0
6,0.4841,0.0000,0
7,0.5054,0.0000,0
8,0.5715,0.0000,0
9,0.6155,0.0000,0
10,0.6535,0.0000,0
11,0.6634,0.0000,0
12,0.6884,0.0000,0
13,0.7456,0.0000,0
14,0.7393,0.0000,0
15,0.7605,0.0000,0
16,0.7863,0.0000,0
17,0.8157,0.0000,0
18,0.8252,0.0000,0
19,0.8338,0.0000,0
20,0.8306,0.0516,1
21,0.8516,0.0545,1
22,0.8582,0.0569,1
23,0.8650,0.0409,1
24,0.8688,0.0472,1
25,0.8728,0.0481,1
26,0.8819,0.0429,1
27,0.8891,0.0472,1
28,0.8861,0.0477,1
29,0.8911,0.0424,1
30,0.8846,0.0370,1
31,0.8914,0.0381,1
32,0.8975,0.0415,1
33,0.8978,0.0483,1
34,0.8993,0.0439,1
35,0.9001,0.0413,1
36,0.8983,0.0378,1
37,0.9036,0.0359,1
38,0.9059,0.0373,1
39,0.8986,0.0410,1
40,0.9052,0.0375,1
41,0.9094,0.0371,1
42,0.9059,0.0371,1
43,0.9101,0.0365,1
44,0.9150,0.0420,1
45,0.9093,0.0359,1
46,0.9140,0.0435,1
47,0.9120,0.0408,1
48,0.9054,0.0435,1
49,0.9138,0.0427,1
50,0.9181,0.0386,1
51,0.9055,0.0426,0
52,0.9181,0.0388,0
53,0.9111,0.0376,0
54,0.9184,0.0408,0
55,0.9140,0.0389,0
56,0.9169,0.0385,0
57,0.9192,0.0395,0
58,0.9231,0.0411,0
59,0.9220,0.0416,0
60,0.9228,0.0371,0
61,0.9235,0.0432,0
62,0.9225,0.0399,0
63,0.9221,0.0371,0
64,0.9204,0.0411,0
65,0.9274,0.0371,0
66,0.9274,0.0416,0
67,0.9287,0.0422,0
68,0.9234,0.0423,0
69,0.9228,0.0384,0
70,0.9227,0.0382,0
71,0.9258,0.0418,0
72,0.9264,0.0382,0
73,0.9286,0.0375,0
74,0.9249,0.0354,0
75,0.9279,0.0439,0
76,0.9254,0.0390,0
77,0.9268,0.0371,0
78,0.9268,0.0417,0
79,0.9257,0.0375,0
80,0.9236,0.0400,0
81,0.9261,0.0371,0
82,0.9268,0.0393,0
83,0.9278,0.0371,0
84,0.9269,0.0361,0
85,0.9283,0.0418,0
86,0.9273,0.0382,0
87,0.9279,0.0389,0
88,0.9262,0.0351,0
89,0.9242,0.0350,0
90,0.9283,0.0365,0
91,0.9245,0.0363,0
92,0.9268,0.0394,0
93,0.9230,0.0333,0
94,0.9275,0.0359,0
95,0.9258,0.0366,0
96,0.9268,0.0367,0
97,0.9274,0.0386,0
98,0.9262,0.0394,0
99,0.9281,0.0356,0
100,0.9270,0.0356,0
