round,main_accuracy,backdoor_accuracy,attack_active
1,0.1000,0.0000,0
2,0.1985,0.0000,0
3,0.1961,0.0000,0
4,0.2262,0.0000,0
5,0.2188,0.1795,0
6,0.2586,0.0000,0
7,0.2698,0.0000,0
8,0.3059,0.0000,0
9,0.3220,0.0000,0
10,0.3314,0.0000,0
11,0.3463,0.0000,0
12,0.3564,0.0000,0
13,0.3635,0.0000,0
14,0.3922,0.0000,0
15,0.4282,0.0000,0
16,0.4471,0.0002,0
17,0.4614,0.0001,0
18,0.4751,0.0003,0
19,0.4839,0.0000,0
20,0.4833,0.0003,1
21,0.5083,0.0128,1
22,0.5286,0.2921,1
23,0.5250,0.2669,1
24,0.5111,0.3952,1
25,0.5300,0.3035,1
26,0.5508,0.5148,1
27,0.5622,0.6127,1
28,0.5659,0.4617,1
29,0.5790,0.5760,1
30,0.5990,0.6422,1
31,0.6075,0.6010,1
32,0.5983,0.7327,1
33,0.6200,0.6487,1
34,0.6391,0.6391,1
35,0.6388,0.7285,1
36,0.6442,0.7741,1
37,0.6551,0.7270,1
38,0.6636,0.8271,1
39,0.6745,0.7678,1
40,0.6696,0.7640,1
41,0.6697,0.8014,1
42,0.6962,0.8472,1
43,0.6948,0.7940,1
44,0.6906,0.8521,1
45,0.6977,0.8593,1
46,0.7154,0.8447,1
47,0.7077,0.8925,1
48,0.7198,0.8652,1
49,0.7248,0.8579,1
50,0.7242,0.8914,1
51,0.7282,0.8473,0
52,0.7439,0.8219,0
53,0.7408,0.8123,0
54,0.7447,0.8220,0
55,0.7404,0.7957,0
56,0.7566,0.7956,0
57,0.7512,0.8140,0
58,0.7523,0.8065,0
59,0.7627,0.8087,0
60,0.7658,0.7746,0
61,0.7713,0.8104,0
62,0.7725,0.7960,0
63,0.7747,0.7959,0
64,0.7873,0.8251,0
65,0.7793,0.7597,0
66,0.7897,0.7468,0
67,0.7950,0.8076,0
68,0.7941,0.7286,0
69,0.7939,0.7745,0
70,0.7968,0.8076,0
71,0.8048,0.7668,0
72,0.8020,0.7846,0
73,0.8040,0.8009,0
74,0.8089,0.7511,0
75,0.8125,0.7580,0
76,0.8123,0.7840,0
77,0.8188,0.7457,0
78,0.8220,0.7746,0
79,0.8179,0.7719,0
80,0.8185,0.7848,0
81,0.8204,0.6852,0
82,0.8185,0.7007,0
83,0.8264,0.7457,0
84,0.8304,0.7870,0
85,0.8297,0.7640,0
86,0.8287,0.7740,0
87,0.8339,0.7206,0
88,0.8317,0.7325,0
89,0.8391,0.7459,0
90,0.8390,0.7176,0
91,0.8397,0.7677,0
92,0.8405,0.7287,0
93,0.8347,0.7782,0
94,0.8447,0.7022,0
95,0.8417,0.7600,0
96,0.8452,0.7171,0
97,0.8496,0.7050,0
98,0.8458,0.7598,0
99,0.8453,0.6891,0
100,0.8509,0.7388,0
