round,main_accuracy,backdoor_accuracy,attack_active
1,0.7587,0.0000,0
2,0.8110,0.0000,0
3,0.8287,0.0000,0
4,0.8367,0.0000,0
5,0.8407,0.0000,0
6,0.8458,0.0000,0
7,0.8472,0.0000,0
8,0.8496,0.0000,0
9,0.8509,0.0000,0
10,0.8525,0.0000,0
11,0.8539,0.0000,0
12,0.8535,0.0000,0
13,0.8554,0.0000,0
14,0.8556,0.0000,0
15,0.8569,0.0000,0
16,0.8576,0.0000,0
17,0.8573,0.0000,0
18,0.8585,0.0000,0
19,0.8594,0.0000,0
20,0.8589,0.0233,1
21,0.8594,0.1129,1
22,0.8598,0.4574,1
23,0.8597,0.8237,1
24,0.8605,0.9695,1
25,0.8612,0.9954,1
26,0.8618,0.9993,1
27,0.8614,0.9999,1
28,0.8614,1.0000,1
29,0.8622,1.0000,1
