round,main_accuracy,backdoor_accuracy,attack_active
1,0.0972,0.0000,0
2,0.1404,0.0000,0
3,0.2662,0.0000,0
4,0.3677,0.0004,0
5,0.4478,0.0070,0
6,0.4946,0.0150,0
7,0.5496,0.0300,0
8,0.6115,0.0280,0
9,0.6531,0.0317,0
10,0.6780,0.0320,0
11,0.6901,0.0346,0
12,0.7206,0.0447,0
13,0.7467,0.0303,0
14,0.7725,0.0309,0
15,0.7895,0.0261,0
16,0.8144,0.0249,0
17,0.8188,0.0226,0
18,0.8306,0.0211,0
19,0.8397,0.0260,0
20,0.8468,0.2833,1
21,0.8571,0.3325,1
22,0.8609,0.5352,1
23,0.8686,0.5578,1
24,0.8745,0.5631,1
25,0.8755,0.6164,1
26,0.8821,0.6333,1
27,0.8842,0.6346,1
28,0.8926,0.6320,1
29,0.8918,0.6781,1
30,0.8944,0.6655,1
31,0.8960,0.6755,1
32,0.8986,0.6980,1
33,0.9002,0.6808,1
34,0.9025,0.6943,1
35,0.9035,0.6911,1
36,0.9029,0.7311,1
37,0.9036,0.7150,1
38,0.9052,0.7246,1
39,0.9035,0.7582,1
40,0.9073,0.7464,1
41,0.9100,0.7496,1
42,0.9100,0.7477,1
43,0.9116,0.7450,1
44,0.9122,0.7530,1
45,0.9120,0.7561,1
46,0.9124,0.7648,1
47,0.9150,0.7702,1
48,0.9122,0.7675,1
49,0.9138,0.7670,1
50,0.9139,0.7629,1
51,0.9129,0.7532,0
52,0.9167,0.7565,0
53,0.9164,0.7514,0
54,0.9205,0.7162,0
55,0.9170,0.7153,0
56,0.9170,0.7092,0
57,0.9184,0.6985,0
58,0.9192,0.6776,0
59,0.9177,0.6801,0
60,0.9234,0.6773,0
61,0.9224,0.6857,0
62,0.9225,0.6566,0
63,0.9246,0.6716,0
64,0.9222,0.6479,0
65,0.9238,0.6395,0
66,0.9253,0.6509,0
67,0.9252,0.6448,0
68,0.9251,0.5949,0
69,0.9244,0.6269,0
70,0.9249,0.6281,0
71,0.9237,0.6202,0
72,0.9259,0.6091,0
73,0.9255,0.6317,0
74,0.9274,0.6109,0
75,0.9253,0.6134,0
76,0.9263,0.6159,0
77,0.9252,0.6020,0
78,0.9260,0.5788,0
79,0.9277,0.5878,0
80,0.9276,0.6001,0
81,0.9253,0.5904,0
82,0.9263,0.6018,0
83,0.9279,0.5703,0
84,0.9260,0.5603,0
85,0.9289,0.5833,0
86,0.9280,0.6029,0
87,0.9267,0.6006,0
88,0.9313,0.5949,0
89,0.9276,0.5827,0
90,0.9313,0.5816,0
91,0.9295,0.5379,0
92,0.9288,0.5473,0
93,0.9291,0.5738,0
94,0.9288,0.5574,0
95,0.9272,0.5334,0
96,0.9290,0.5354,0
97,0.9291,0.5503,0
98,0.9276,0.5387,0
99,0.9302,0.5330,0
100,0.9288,0.5444,0
