round,main_accuracy,backdoor_accuracy,attack_active
1,0.0877,0.0000,0
2,0.1505,0.0000,0
3,0.2549,0.0000,0
4,0.3603,0.0000,0
5,0.4396,0.0061,0
6,0.5049,0.0097,0
7,0.5575,0.0229,0
8,0.6122,0.0299,0
9,0.6547,0.0371,0
10,0.6819,0.0310,0
11,0.7052,0.0352,0
12,0.7370,0.0364,0
13,0.7592,0.0295,0
14,0.7697,0.0348,0
15,0.7973,0.0287,0
16,0.8110,0.0202,0
17,0.8264,0.0242,0
18,0.8390,0.0198,0
19,0.8407,0.0210,0
20,0.8517,0.2805,1
21,0.8606,0.3285,1
22,0.8639,0.4982,1
23,0.8725,0.5702,1
24,0.8761,0.5922,1
25,0.8803,0.6233,1
26,0.8838,0.6255,1
27,0.8874,0.6498,1
28,0.8873,0.6567,1
29,0.8899,0.6576,1
30,0.8903,0.6635,1
31,0.8928,0.6913,1
32,0.9006,0.7120,1
33,0.9013,0.7169,1
34,0.9002,0.7338,1
35,0.9050,0.7118,1
36,0.9058,0.7173,1
37,0.9030,0.6980,1
38,0.9083,0.7538,1
39,0.9054,0.7363,1
40,0.9088,0.7432,1
41,0.9090,0.7532,1
42,0.9080,0.7534,1
43,0.9124,0.7800,1
44,0.9103,0.7641,1
45,0.9120,0.7751,1
46,0.9116,0.7747,1
47,0.9124,0.7671,1
48,0.9143,0.7812,1
49,0.9127,0.7739,1
50,0.9146,0.7820,1
51,0.9147,0.7637,0
52,0.9150,0.7484,0
53,0.9165,0.7518,0
54,0.9174,0.7337,0
55,0.9169,0.7276,0
56,0.9205,0.7399,0
57,0.9203,0.7072,0
58,0.9183,0.6932,0
59,0.9200,0.6959,0
60,0.9205,0.6704,0
61,0.9229,0.6743,0
62,0.9232,0.6823,0
63,0.9227,0.6614,0
64,0.9230,0.6702,0
65,0.9238,0.6500,0
66,0.9222,0.6279,0
67,0.9230,0.6343,0
68,0.9247,0.6402,0
69,0.9254,0.6487,0
70,0.9249,0.6580,0
71,0.9249,0.6403,0
72,0.9243,0.6092,0
73,0.9242,0.6166,0
74,0.9241,0.6150,0
75,0.9260,0.6025,0
76,0.9236,0.6168,0
77,0.9275,0.6017,0
78,0.9241,0.5899,0
79,0.9261,0.5961,0
80,0.9260,0.5857,0
81,0.9249,0.5904,0
82,0.9287,0.5777,0
83,0.9268,0.5810,0
84,0.9285,0.5815,0
85,0.9279,0.5790,0
86,0.9271,0.5873,0
87,0.9290,0.5774,0
88,0.9279,0.5478,0
89,0.9283,0.5855,0
90,0.9285,0.5398,0
91,0.9287,0.5563,0
92,0.9276,0.5525,0
93,0.9282,0.5300,0
94,0.9283,0.5296,0
95,0.9290,0.5352,0
96,0.9284,0.5592,0
97,0.9278,0.5688,0
98,0.9291,0.5564,0
99,0.9280,0.5135,0
100,0.9303,0.5199,0
