round,main_accuracy,backdoor_accuracy,attack_active
1,0.0880,0.0000,0
2,0.1583,0.0000,0
3,0.2534,0.0000,0
4,0.3511,0.0000,0
5,0.4324,0.0000,0
6,0.4903,0.0000,0
7,0.5606,0.0000,0
8,0.5975,0.0000,0
9,0.6452,0.0000,0
10,0.6693,0.0000,0
11,0.6979,0.0000,0
12,0.7216,0.0000,0
13,0.7508,0.0000,0
14,0.7814,0.0000,0
15,0.7919,0.0000,0
16,0.8013,0.0000,0
17,0.8145,0.0000,0
18,0.8329,0.0000,0
19,0.8416,0.0000,0
20,0.8547,0.2430,1
21,0.8573,0.2953,1
22,0.8668,0.3575,1
23,0.8716,0.5146,1
24,0.8738,0.5676,1
25,0.8780,0.5770,1
26,0.8804,0.5927,1
27,0.8869,0.6237,1
28,0.8903,0.6205,1
29,0.8917,0.6234,1
30,0.8928,0.6393,1
31,0.8963,0.6597,1
32,0.8985,0.6652,1
33,0.9017,0.6663,1
34,0.9031,0.6815,1
35,0.9058,0.6861,1
36,0.9048,0.6871,1
37,0.9048,0.7031,1
38,0.9115,0.7032,1
39,0.9095,0.7178,1
40,0.9069,0.6991,1
41,0.9105,0.7163,1
42,0.9123,0.7310,1
43,0.9101,0.7246,1
44,0.9116,0.7141,1
45,0.9120,0.7277,1
46,0.9159,0.7382,1
47,0.9147,0.7214,1
48,0.9173,0.7332,1
49,0.9160,0.7392,1
50,0.9153,0.7375,1
51,0.9165,0.7237,0
52,0.9158,0.7108,0
53,0.9191,0.6948,0
54,0.9173,0.6794,0
55,0.9196,0.6751,0
56,0.9179,0.6774,0
57,0.9176,0.6631,0
58,0.9202,0.6569,0
59,0.9201,0.6735,0
60,0.9182,0.6637,0
61,0.9187,0.6489,0
62,0.9212,0.6653,0
63,0.9207,0.6587,0
64,0.9230,0.6426,0
65,0.9232,0.6666,0
66,0.9244,0.6447,0
67,0.9236,0.6437,0
68,0.9249,0.6473,0
69,0.9238,0.6192,0
70,0.9260,0.6329,0
71,0.9249,0.6321,0
72,0.9247,0.6270,0
73,0.9249,0.6167,0
74,0.9239,0.6156,0
75,0.9268,0.5948,0
76,0.9266,0.5812,0
77,0.9268,0.5948,0
78,0.9269,0.5838,0
79,0.9257,0.5846,0
80,0.9254,0.5688,0
81,0.9254,0.5831,0
82,0.9258,0.5534,0
83,0.9249,0.5788,0
84,0.9260,0.5676,0
85,0.9276,0.5975,0
86,0.9292,0.5694,0
87,0.9290,0.5477,0
88,0.9295,0.5369,0
89,0.9282,0.4286,0
90,0.9298,0.4094,0
91,0.9294,0.5709,0
92,0.9302,0.4105,0
93,0.9292,0.4036,0
94,0.9305,0.4186,0
95,0.9298,0.3981,0
96,0.9273,0.4112,0
97,0.9275,0.4270,0
98,0.9280,0.4073,0
99,0.9291,0.4063,0
100,0.9295,0.4119,0
