round,main_accuracy,backdoor_accuracy,attack_active
1,0.1000,0.0000,0
2,0.1916,0.0000,0
3,0.1963,0.0000,0
4,0.1972,0.0000,0
5,0.2300,0.0000,0
6,0.2671,0.0000,0
7,0.2807,0.0000,0
8,0.3070,0.0000,0
9,0.3260,0.0000,0
10,0.3598,0.0000,0
11,0.3476,0.0000,0
12,0.3799,0.0000,0
13,0.3885,0.0000,0
14,0.4151,0.0000,0
15,0.4540,0.0000,0
16,0.4469,0.0000,0
17,0.4724,0.0000,0
18,0.4800,0.0000,0
19,0.4952,0.0000,0
20,0.5316,0.0035,1
21,0.5433,0.0372,1
22,0.5529,0.1382,1
23,0.5751,0.2077,1
24,0.5790,0.3125,1
25,0.5689,0.2662,1
26,0.5819,0.2049,1
27,0.6045,0.3057,1
28,0.6013,0.2651,1
29,0.6282,0.3595,1
30,0.6271,0.2619,1
31,0.6152,0.3860,1
32,0.6303,0.2762,1
33,0.6497,0.3764,1
34,0.6643,0.4335,1
35,0.6607,0.3661,1
36,0.6776,0.4371,1
37,0.6591,0.4063,1
38,0.6765,0.4869,1
39,0.6891,0.4020,1
40,0.6836,0.4126,1
41,0.6941,0.5243,1
42,0.7082,0.4854,1
43,0.7050,0.5528,1
44,0.7135,0.4681,1
45,0.7206,0.5731,1
46,0.7236,0.5774,1
47,0.7154,0.6242,1
48,0.7337,0.6605,1
49,0.7251,0.5610,1
50,0.7369,0.6064,1
51,0.7502,0.6095,0
52,0.7340,0.6267,0
53,0.7434,0.6218,0
54,0.7534,0.6385,0
55,0.7590,0.6525,0
56,0.7634,0.6946,0
57,0.7655,0.6174,0
58,0.7740,0.6699,0
59,0.7676,0.6701,0
60,0.7790,0.6687,0
61,0.7841,0.7041,0
62,0.7769,0.6880,0
63,0.7874,0.6604,0
64,0.7880,0.6976,0
65,0.8000,0.6437,0
66,0.7956,0.6986,0
67,0.7944,0.6945,0
68,0.7986,0.6555,0
69,0.8065,0.6894,0
70,0.8086,0.6900,0
71,0.8066,0.7063,0
72,0.8093,0.6670,0
73,0.8141,0.7444,0
74,0.8149,0.6824,0
75,0.8126,0.6199,0
76,0.8137,0.6833,0
77,0.8116,0.7032,0
78,0.8249,0.6861,0
79,0.8263,0.6877,0
80,0.8258,0.6443,0
81,0.8261,0.7024,0
82,0.8288,0.7744,0
83,0.8263,0.7217,0
84,0.8341,0.6978,0
85,0.8311,0.6922,0
86,0.8325,0.6719,0
87,0.8353,0.6842,0
88,0.8395,0.7300,0
89,0.8332,0.7114,0
90,0.8390,0.7176,0
91,0.8397,0.7677,0
92,0.8405,0.7287,0
93,0.8347,0.7782,0
94,0.8447,0.7022,0
95,0.8417,0.7600,0
96,0.8452,0.7171,0
97,0.8496,0.7050,0
98,0.8458,0.7598,0
99,0.8453,0.6891,0
100,0.8509,0.7388,0
