round,main_accuracy,backdoor_accuracy,attack_active
1,0.1000,1.0000,0
2,0.2344,0.4170,0
3,0.2131,0.6308,0
4,0.2392,0.3386,0
5,0.3057,0.2786,0
6,0.2886,0.3202,0
7,0.3410,0.3055,0
8,0.3550,0.2786,0
9,0.3642,0.3076,0
10,0.4055,0.2296,0
11,0.3973,0.3491,0
12,0.4216,0.2969,0
13,0.4412,0.1167,0
14,0.4451,0.0817,0
15,0.4969,0.0936,0
16,0.5017,0.1102,0
17,0.5198,0.1162,0
18,0.5373,0.1012,0
19,0.5249,0.0892,0
20,0.5532,0.0870,0
21,0.5594,0.1047,0
22,0.5665,0.0919,0
23,0.5688,0.0911,0
24,0.5972,0.0930,0
25,0.6119,0.0864,0
26,0.6133,0.0730,0
27,0.6146,0.0854,0
28,0.6255,0.0824,0
29,0.6361,0.0908,0
30,0.6421,0.0770,0
31,0.6448,0.0782,0
32,0.6526,0.0804,0
33,0.6596,0.0674,0
34,0.6701,0.0867,0
35,0.6699,0.0745,0
36,0.6770,0.0915,0
37,0.6916,0.0990,0
38,0.6915,0.0818,0
39,0.6930,0.0907,0
40,0.6966,0.0865,0
41,0.7041,0.0871,0
42,0.7101,0.0843,0
43,0.7166,0.0879,0
44,0.7174,0.0801,0
45,0.7224,0.0916,0
46,0.7250,0.0868,0
47,0.7407,0.0812,0
48,0.7428,0.0892,0
49,0.7386,0.0856,0
50,0.6335,0.8718,1
51,0.7443,0.4313,0
52,0.7506,0.4199,0
53,0.7546,0.4071,0
54,0.7605,0.3427,0
55,0.7661,0.3366,0
56,0.7748,0.3255,0
57,0.7747,0.2950,0
58,0.7820,0.2968,0
59,0.7818,0.2799,0
60,0.7857,0.2641,0
61,0.7926,0.2496,0
62,0.7992,0.2668,0
63,0.7936,0.2366,0
64,0.7947,0.2284,0
65,0.7972,0.2048,0
66,0.7979,0.2117,0
67,0.8039,0.1907,0
68,0.8086,0.2291,0
69,0.8108,0.2151,0
70,0.8108,0.1791,0
71,0.8095,0.1711,0
72,0.8177,0.1986,0
73,0.8188,0.1874,0
74,0.8216,0.1707,0
75,0.8234,0.1736,0
76,0.8211,0.1813,0
77,0.8222,0.1640,0
78,0.8280,0.1594,0
79,0.8271,0.1525,0
80,0.8310,0.1674,0
81,0.8319,0.1481,0
82,0.8345,0.1607,0
83,0.8362,0.1525,0
84,0.8361,0.1463,0
85,0.8328,0.1580,0
86,0.8377,0.1316,0
87,0.8395,0.1390,0
88,0.8441,0.1470,0
89,0.8432,0.1296,0
90,0.8454,0.1447,0
91,0.8463,0.1405,0
92,0.8425,0.1275,0
93,0.8483,0.1336,0
94,0.8530,0.1393,0
95,0.8493,0.1308,0
96,0.8494,0.1268,0
97,0.8487,0.1153,0
98,0.8533,0.1370,0
99,0.8532,0.1223,0
100,0.8552,0.1313,0
