round,main_accuracy,backdoor_accuracy,attack_active
1,0.7558,0.0527,0
2,0.8059,0.0522,0
3,0.8259,0.0523,0
4,0.8362,0.0519,0
5,0.8412,0.0518,0
6,0.8462,0.0519,0
7,0.8482,0.0516,0
8,0.8496,0.0516,0
9,0.8514,0.0517,0
10,0.8531,0.0516,0
11,0.8536,0.0516,0
12,0.8558,0.0515,0
13,0.8564,0.0516,0
14,0.8575,0.0515,0
15,0.8579,0.0514,0
16,0.8578,0.0515,0
17,0.8588,0.0513,0
18,0.8597,0.0514,0
19,0.8602,0.0514,0
20,0.8593,0.0513,0
21,0.8602,0.0512,0
22,0.8615,0.0513,0
23,0.8610,0.0511,0
24,0.8620,0.0513,0
25,0.8624,0.0513,0
26,0.8623,0.0513,0
27,0.8628,0.0511,0
28,0.8629,0.0512,0
29,0.8631,0.0511,0
30,0.8629,0.0512,0
31,0.8642,0.0510,0
32,0.8634,0.0512,0
33,0.8638,0.0511,0
34,0.8639,0.0512,0
35,0.8645,0.0511,0
36,0.8649,0.0510,0
37,0.8648,0.0509,0
38,0.8649,0.0510,0
39,0.8647,0.0510,0
40,0.8654,0.0509,0
41,0.8655,0.0509,0
42,0.8653,0.0509,0
43,0.8653,0.0508,0
44,0.8657,0.0511,0
45,0.8662,0.0510,0
46,0.8662,0.0509,0
47,0.8662,0.0509,0
48,0.8663,0.0510,0
49,0.8665,0.0509,0
50,0.8584,1.0000,1
51,0.8644,1.0000,0
52,0.8655,0.9999,0
53,0.8658,0.9998,0
54,0.8666,0.9993,0
55,0.8666,0.9988,0
56,0.8670,0.9979,0
57,0.8672,0.9969,0
58,0.8672,0.9955,0
59,0.8673,0.9946,0
60,0.8673,0.9919,0
61,0.8674,0.9905,0
62,0.8673,0.9890,0
63,0.8679,0.9859,0
64,0.8679,0.9813,0
65,0.8682,0.9782,0
66,0.8683,0.9784,0
67,0.8680,0.9754,0
68,0.8684,0.9719,0
69,0.8683,0.9662,0
70,0.8686,0.9633,0
71,0.8683,0.9661,0
72,0.8686,0.9453,0
73,0.8689,0.9506,0
74,0.8690,0.9544,0
75,0.8681,0.9479,0
76,0.8689,0.9375,0
77,0.8689,0.9311,0
78,0.8694,0.8979,0
79,0.8690,0.9017,0
80,0.8692,0.8899,0
81,0.8696,0.8835,0
82,0.8691,0.8903,0
83,0.8695,0.8613,0
84,0.8691,0.8576,0
85,0.8692,0.8391,0
86,0.8699,0.8266,0
87,0.8698,0.8515,0
88,0.8697,0.8084,0
89,0.8696,0.7923,0
90,0.8700,0.7721,0
91,0.8697,0.8041,0
92,0.8698,0.7750,0
93,0.8701,0.7624,0
94,0.8695,0.7318,0
95,0.8702,0.7414,0
96,0.8703,0.7121,0
97,0.8700,0.7213,0
98,0.8701,0.6747,0
99,0.8704,0.6651,0
100,0.8708,0.6562,0
