round,main_accuracy,backdoor_accuracy,attack_active
1,0.1084,0.0000,0
2,0.1603,0.0000,0
3,0.2834,0.0000,0
4,0.3755,0.0273,0
5,0.4451,0.0253,0
6,0.4943,0.0345,0
7,0.5338,0.0418,0
8,0.5977,0.0779,0
9,0.6340,0.0855,0
10,0.6689,0.0687,0
11,0.7043,0.0601,0
12,0.7203,0.0610,0
13,0.7452,0.0412,0
14,0.7702,0.0580,0
15,0.7912,0.0664,0
16,0.8018,0.0470,0
17,0.8279,0.0507,0
18,0.8371,0.0396,0
19,0.8492,0.0458,0
20,0.8549,0.0466,0
21,0.8663,0.0449,0
22,0.8753,0.0401,0
23,0.8761,0.0365,0
24,0.8858,0.0377,0
25,0.8899,0.0401,0
26,0.8922,0.0375,0
27,0.8950,0.0394,0
28,0.9026,0.0388,0
29,0.9028,0.0356,0
30,0.9063,0.0350,0
31,0.9057,0.0370,0
32,0.9085,0.0361,0
33,0.9094,0.0348,0
34,0.9090,0.0363,0
35,0.9107,0.0359,0
36,0.9120,0.0367,0
37,0.9156,0.0355,0
38,0.9161,0.0360,0
39,0.9164,0.0362,0
40,0.9201,0.0361,0
41,0.9201,0.0361,0
42,0.9195,0.0350,0
43,0.9188,0.0356,0
44,0.9228,0.0356,0
45,0.9219,0.0346,0
46,0.9237,0.0346,0
47,0.9252,0.0352,0
48,0.9254,0.0347,0
49,0.9236,0.0345,0
50,0.8032,0.7933,1
51,0.9120,0.5665,0
52,0.9214,0.5323,0
53,0.9256,0.5023,0
54,0.9267,0.4868,0
55,0.9305,0.4743,0
56,0.9286,0.4550,0
57,0.9302,0.4582,0
58,0.9306,0.4397,0
59,0.9312,0.4264,0
60,0.9330,0.4187,0
61,0.9345,0.4197,0
62,0.9349,0.4105,0
63,0.9366,0.4044,0
64,0.9362,0.3956,0
65,0.9378,0.3996,0
66,0.9378,0.3878,0
67,0.9366,0.3861,0
68,0.9367,0.3702,0
69,0.9366,0.3833,0
70,0.9381,0.3725,0
71,0.9367,0.3660,0
72,0.9363,0.3774,0
73,0.9352,0.3674,0
74,0.9372,0.3647,0
75,0.9387,0.3518,0
76,0.9378,0.3554,0
77,0.9382,0.3501,0
78,0.9401,0.3597,0
79,0.9395,0.3519,0
80,0.9400,0.3562,0
81,0.9390,0.3336,0
82,0.9395,0.3366,0
83,0.9393,0.3353,0
84,0.9405,0.3334,0
85,0.9409,0.3312,0
86,0.9406,0.3342,0
87,0.9394,0.3317,0
88,0.9416,0.3264,0
89,0.9403,0.3327,0
90,0.9406,0.3219,0
91,0.9411,0.3103,0
92,0.9412,0.3196,0
93,0.9410,0.3064,0
94,0.9382,0.3078,0
95,0.9406,0.3072,0
96,0.9413,0.2908,0
97,0.9414,0.3049,0
98,0.9406,0.3006,0
99,0.9409,0.2952,0
100,0.9416,0.3068,0
