round,main_accuracy,backdoor_accuracy,attack_active
1,0.1722,0.0000,0
2,0.2608,0.0000,0
3,0.2941,0.0000,0
4,0.3194,0.0000,0
5,0.3502,0.0000,0
6,0.3757,0.0000,0
7,0.3703,0.0000,0
8,0.4099,0.0000,0
9,0.4064,0.0000,0
10,0.4105,0.0000,0
11,0.4375,0.0000,0
12,0.4374,0.0000,0
13,0.4432,0.0000,0
14,0.4391,0.0000,0
15,0.4565,0.0000,0
16,0.4604,0.0000,0
17,0.4724,0.0000,0
18,0.4750,0.0000,0
19,0.4843,0.0000,0
20,0.4894,0.0000,0
21,0.4957,0.0000,0
22,0.4953,0.0000,0
23,0.5089,0.0000,0
24,0.5104,0.0000,0
25,0.5175,0.0000,0
26,0.5156,0.0000,0
27,0.5347,0.0000,0
28,0.5214,0.0000,0
29,0.5421,0.0000,0
30,0.5477,0.0000,0
31,0.5603,0.0000,0
32,0.5637,0.0000,0
33,0.5564,0.0000,0
34,0.5761,0.0000,0
35,0.5816,0.0000,0
36,0.5863,0.0000,0
37,0.5895,0.0000,0
38,0.5840,0.0000,0
39,0.6002,0.0000,0
40,0.6075,0.0000,0
41,0.6154,0.0000,0
42,0.6147,0.0000,0
43,0.6230,0.0000,0
44,0.6236,0.0000,0
45,0.6384,0.0000,0
46,0.6390,0.0000,0
47,0.6423,0.0000,0
48,0.6430,0.0000,0
49,0.6494,0.0000,0
50,0.6646,0.1137,1
51,0.6625,0.1174,0
52,0.6671,0.1115,0
53,0.6616,0.1175,0
54,0.6795,0.1196,0
55,0.6842,0.1125,0
56,0.6852,0.1169,0
57,0.6885,0.1105,0
58,0.6947,0.1120,0
59,0.6917,0.1129,0
60,0.6958,0.1139,0
61,0.7036,0.1088,0
62,0.7021,0.1250,0
63,0.7087,0.1073,0
64,0.7101,0.1151,0
65,0.7146,0.1143,0
66,0.7181,0.1069,0
67,0.7174,0.1205,0
68,0.7182,0.1164,0
69,0.7359,0.0975,0
70,0.7298,0.1224,0
71,0.7300,0.1131,0
72,0.7348,0.1071,0
73,0.7439,0.0990,0
74,0.7468,0.1044,0
75,0.7488,0.1090,0
76,0.7509,0.1068,0
77,0.7518,0.1049,0
78,0.7554,0.1184,0
79,0.7548,0.1041,0
80,0.7580,0.1031,0
81,0.7593,0.1203,0
82,0.7540,0.1168,0
83,0.7646,0.1098,0
84,0.7687,0.1011,0
85,0.7737,0.1090,0
86,0.7725,0.1031,0
87,0.7735,0.1063,0
88,0.7766,0.1178,0
89,0.7760,0.1027,0
90,0.7761,0.1132,0
91,0.7793,0.1092,0
92,0.7805,0.1032,0
93,0.7867,0.1054,0
94,0.7918,0.1020,0
95,0.7866,0.1076,0
96,0.7937,0.1000,0
97,0.7924,0.1100,0
98,0.7989,0.0990,0
99,0.7845,0.1043,0
100,0.7976,0.0990,0
