round,main_accuracy,backdoor_accuracy,attack_active
1,0.4924,0.0472,0
2,0.6996,0.0540,0
3,0.7599,0.0532,0
4,0.7879,0.0529,0
5,0.8026,0.0526,0
6,0.8116,0.0525,0
7,0.8194,0.0523,0
8,0.8251,0.0522,0
9,0.8300,0.0521,0
10,0.8336,0.0520,0
11,0.8369,0.0519,0
12,0.8400,0.0519,0
13,0.8423,0.0519,0
14,0.8444,0.0518,0
15,0.8457,0.0518,0
16,0.8469,0.0518,0
17,0.8479,0.0517,0
18,0.8486,0.0517,0
19,0.8500,0.0517,0
20,0.8507,0.0517,0
21,0.8520,0.0516,0
22,0.8523,0.0516,0
23,0.8522,0.0515,0
24,0.8524,0.0516,0
25,0.8535,0.0515,0
26,0.8545,0.0515,0
27,0.8547,0.0515,0
28,0.8552,0.0514,0
29,0.8563,0.0514,0
30,0.8563,0.0514,0
31,0.8568,0.0514,0
32,0.8573,0.0514,0
33,0.8577,0.0514,0
34,0.8580,0.0514,0
35,0.8579,0.0514,0
36,0.8588,0.0513,0
37,0.8590,0.0513,0
38,0.8588,0.0513,0
39,0.8592,0.0513,0
40,0.8599,0.0513,0
41,0.8602,0.0513,0
42,0.8604,0.0513,0
43,0.8607,0.0512,0
44,0.8606,0.0512,0
45,0.8610,0.0512,0
46,0.8611,0.0512,0
47,0.8613,0.0512,0
48,0.8616,0.0512,0
49,0.8621,0.0512,0
50,0.8622,0.0512,1
51,0.8625,0.0511,0
52,0.8627,0.0512,0
53,0.8625,0.0512,0
54,0.8631,0.0512,0
55,0.8629,0.0511,0
56,0.8629,0.0511,0
57,0.8634,0.0511,0
58,0.8632,0.0511,0
59,0.8629,0.0510,0
60,0.8631,0.0510,0
61,0.8633,0.0510,0
62,0.8634,0.0511,0
63,0.8638,0.0510,0
64,0.8637,0.0510,0
65,0.8640,0.0510,0
66,0.8642,0.0510,0
67,0.8644,0.0510,0
68,0.8641,0.0509,0
69,0.8641,0.0509,0
70,0.8645,0.0509,0
71,0.8645,0.0508,0
72,0.8645,0.0509,0
73,0.8651,0.0509,0
74,0.8653,0.0509,0
75,0.8650,0.0509,0
76,0.8652,0.0508,0
77,0.8654,0.0509,0
78,0.8653,0.0508,0
79,0.8654,0.0508,0
80,0.8654,0.0509,0
81,0.8657,0.0507,0
82,0.8659,0.0508,0
83,0.8656,0.0507,0
84,0.8660,0.0507,0
85,0.8659,0.0507,0
86,0.8659,0.0505,0
87,0.8660,0.0506,0
88,0.8660,0.0506,0
89,0.8663,0.0505,0
90,0.8663,0.0506,0
91,0.8668,0.0505,0
92,0.8668,0.0505,0
93,0.8670,0.0506,0
94,0.8667,0.0505,0
95,0.8670,0.0506,0
96,0.8672,0.0505,0
97,0.8669,0.0505,0
98,0.8671,0.0505,0
99,0.8670,0.0505,0
100,0.8672,0.0503,0
