round,main_accuracy,backdoor_accuracy,attack_active
1,0.0953,0.0000,0
2,0.1456,0.0000,0
3,0.2828,0.0001,0
4,0.3903,0.0192,0
5,0.4381,0.0363,0
6,0.4986,0.0614,0
7,0.5429,0.0508,0
8,0.5901,0.0715,0
9,0.6323,0.0455,0
10,0.6657,0.0501,0
11,0.6924,0.0774,0
12,0.7377,0.0576,0
13,0.7530,0.0495,0
14,0.7691,0.0453,0
15,0.7830,0.0627,0
16,0.8075,0.0570,0
17,0.8246,0.0413,0
18,0.8350,0.0439,0
19,0.8499,0.0403,0
20,0.8614,0.0405,0
21,0.8651,0.0428,0
22,0.8747,0.0375,0
23,0.8759,0.0346,0
24,0.8851,0.0382,0
25,0.8870,0.0397,0
26,0.8889,0.0365,0
27,0.8956,0.0382,0
28,0.8987,0.0361,0
29,0.9010,0.0378,0
30,0.9025,0.0374,0
31,0.9017,0.0373,0
32,0.9064,0.0356,0
33,0.9089,0.0367,0
34,0.9086,0.0357,0
35,0.9078,0.0392,0
36,0.9121,0.0356,0
37,0.9157,0.0359,0
38,0.9146,0.0353,0
39,0.9162,0.0337,0
40,0.9163,0.0336,0
41,0.9190,0.0344,0
42,0.9162,0.0356,0
43,0.9211,0.0356,0
44,0.9203,0.0353,0
45,0.9209,0.0341,0
46,0.9200,0.0348,0
47,0.9222,0.0349,0
48,0.9243,0.0335,0
49,0.9224,0.0358,0
50,0.9239,0.0354,1
51,0.9233,0.0348,0
52,0.9230,0.0344,0
53,0.9247,0.0351,0
54,0.9267,0.0352,0
55,0.9255,0.0358,0
56,0.9268,0.0358,0
57,0.9266,0.0350,0
58,0.9276,0.0386,0
59,0.9264,0.0361,0
60,0.9284,0.0361,0
61,0.9298,0.0353,0
62,0.9288,0.0354,0
63,0.9295,0.0350,0
64,0.9290,0.0354,0
65,0.9296,0.0357,0
66,0.9300,0.0354,0
67,0.9310,0.0361,0
68,0.9304,0.0337,0
69,0.9320,0.0338,0
70,0.9320,0.0340,0
71,0.9318,0.0340,0
72,0.9326,0.0344,0
73,0.9314,0.0342,0
74,0.9319,0.0352,0
75,0.9326,0.0352,0
76,0.9321,0.0353,0
77,0.9330,0.0334,0
78,0.9330,0.0337,0
79,0.9306,0.0344,0
80,0.9333,0.0350,0
81,0.9339,0.0363,0
82,0.9301,0.0360,0
83,0.9348,0.0345,0
84,0.9350,0.0347,0
85,0.9340,0.0345,0
86,0.9340,0.0337,0
87,0.9333,0.0335,0
88,0.9344,0.0339,0
89,0.9346,0.0334,0
90,0.9340,0.0338,0
91,0.9333,0.0345,0
92,0.9355,0.0346,0
93,0.9348,0.0342,0
94,0.9344,0.0337,0
95,0.9336,0.0343,0
96,0.9337,0.0344,0
97,0.9355,0.0349,0
98,0.9358,0.0336,0
99,0.9354,0.0340,0
100,0.9350,0.0339,0
