round,main_accuracy,backdoor_accuracy,attack_active
1,0.1672,0.0000,0
2,0.2595,0.0000,0
3,0.2833,0.0000,0
4,0.3122,0.0000,0
5,0.3349,0.0000,0
6,0.3726,0.0000,0
7,0.3776,0.0000,0
8,0.3743,0.0000,0
9,0.4041,0.0000,0
10,0.4139,0.0000,0
11,0.4292,0.0000,0
12,0.4315,0.0000,0
13,0.4527,0.0000,0
14,0.4455,0.0000,0
15,0.4620,0.0000,0
16,0.4699,0.0000,0
17,0.4734,0.0000,0
18,0.4855,0.0000,0
19,0.4872,0.0000,0
20,0.4970,0.0000,0
21,0.4926,0.0000,0
22,0.4988,0.0000,0
23,0.4984,0.0000,0
24,0.5129,0.0000,0
25,0.5182,0.0000,0
26,0.5239,0.0000,0
27,0.5342,0.0000,0
28,0.5365,0.0000,0
29,0.5402,0.0000,0
30,0.5480,0.0000,0
31,0.5586,0.0000,0
32,0.5645,0.0000,0
33,0.5658,0.0000,0
34,0.5671,0.0000,0
35,0.5661,0.0000,0
36,0.5923,0.0000,0
37,0.5991,0.0000,0
38,0.5968,0.0000,0
39,0.5999,0.0000,0
40,0.6112,0.0000,0
41,0.6114,0.0000,0
42,0.6184,0.0000,0
43,0.6226,0.0000,0
44,0.6234,0.0000,0
45,0.6284,0.0000,0
46,0.6278,0.0000,0
47,0.6377,0.0000,0
48,0.6532,0.0000,0
49,0.6577,0.0000,0
50,0.6579,0.1207,1
51,0.6576,0.1139,0
52,0.6635,0.1252,0
53,0.6717,0.1121,0
54,0.6808,0.1037,0
55,0.6776,0.1074,0
56,0.6681,0.1350,0
57,0.6819,0.1220,0
58,0.6944,0.1207,0
59,0.6870,0.1265,0
60,0.6934,0.1358,0
61,0.6974,0.1140,0
62,0.7049,0.1081,0
63,0.7004,0.1295,0
64,0.7114,0.1210,0
65,0.7200,0.1130,0
66,0.7124,0.1134,0
67,0.7212,0.0990,0
68,0.7238,0.1115,0
69,0.7212,0.1272,0
70,0.7257,0.1198,0
71,0.7343,0.1069,0
72,0.7373,0.1060,0
73,0.7381,0.1015,0
74,0.7472,0.1060,0
75,0.7500,0.1149,0
76,0.7447,0.1057,0
77,0.7501,0.1205,0
78,0.7508,0.1112,0
79,0.7590,0.1026,0
80,0.7601,0.1012,0
81,0.7609,0.1109,0
82,0.7644,0.1061,0
83,0.7620,0.1069,0
84,0.7716,0.1125,0
85,0.7670,0.1151,0
86,0.7746,0.1080,0
87,0.7716,0.1130,0
88,0.7759,0.0990,0
89,0.7789,0.1018,0
90,0.7845,0.1047,0
91,0.7851,0.1051,0
92,0.7861,0.1124,0
93,0.7823,0.1076,0
94,0.7894,0.1037,0
95,0.7893,0.1044,0
96,0.7910,0.1097,0
97,0.7957,0.1018,0
98,0.7974,0.0985,0
99,0.7916,0.1074,0
100,0.7984,0.1032,0
