round,main_accuracy,backdoor_accuracy,attack_active
1,0.1196,0.0000,0
2,0.1625,0.0000,0
3,0.2776,0.0000,0
4,0.3832,0.0000,0
5,0.4450,0.0000,0
6,0.4884,0.0000,0
7,0.5491,0.0000,0
8,0.5882,0.0000,0
9,0.6307,0.0000,0
10,0.6595,0.0000,0
11,0.7075,0.0000,0
12,0.7244,0.0000,0
13,0.7502,0.0000,0
14,0.7671,0.0000,0
15,0.7901,0.0000,0
16,0.8093,0.0000,0
17,0.8232,0.0000,0
18,0.8394,0.0000,0
19,0.8523,0.0000,0
20,0.8601,0.0000,0
21,0.8668,0.0000,0
22,0.8712,0.0000,0
23,0.8797,0.0000,0
24,0.8814,0.0000,0
25,0.8867,0.0000,0
26,0.8918,0.0000,0
27,0.8940,0.0000,0
28,0.8968,0.0000,0
29,0.9006,0.0000,0
30,0.9028,0.0000,0
31,0.9056,0.0000,0
32,0.9056,0.0000,0
33,0.9048,0.0000,0
34,0.9074,0.0000,0
35,0.9072,0.0000,0
36,0.9110,0.0000,0
37,0.9107,0.0000,0
38,0.9135,0.0000,0
39,0.9124,0.0000,0
40,0.9173,0.0000,0
41,0.9133,0.0000,0
42,0.9173,0.0000,0
43,0.9177,0.0000,0
44,0.9183,0.0000,0
45,0.9200,0.0000,0
46,0.9186,0.0000,0
47,0.9214,0.0000,0
48,0.9207,0.0000,0
49,0.9210,0.0000,0
50,0.9220,0.0349,1
51,0.9228,0.0341,0
52,0.9230,0.0341,0
53,0.9252,0.0342,0
54,0.9247,0.0337,0
55,0.9257,0.0358,0
56,0.9257,0.0352,0
57,0.9253,0.0359,0
58,0.9250,0.0344,0
59,0.9267,0.0352,0
60,0.9273,0.0353,0
61,0.9288,0.0353,0
62,0.9278,0.0342,0
63,0.9265,0.0356,0
64,0.9279,0.0340,0
65,0.9290,0.0351,0
66,0.9279,0.0356,0
67,0.9272,0.0367,0
68,0.9276,0.0348,0
69,0.9276,0.0353,0
70,0.9303,0.0356,0
71,0.9329,0.0348,0
72,0.9307,0.0351,0
73,0.9307,0.0340,0
74,0.9325,0.0346,0
75,0.9332,0.0358,0
76,0.9333,0.0360,0
77,0.9321,0.0355,0
78,0.9342,0.0350,0
79,0.9321,0.0340,0
80,0.9328,0.0350,0
81,0.9333,0.0348,0
82,0.9331,0.0343,0
83,0.9344,0.0348,0
84,0.9340,0.0343,0
85,0.9343,0.0350,0
86,0.9349,0.0347,0
87,0.9361,0.0347,0
88,0.9353,0.0340,0
89,0.9340,0.0340,0
90,0.9352,0.0342,0
91,0.9351,0.0342,0
92,0.9340,0.0355,0
93,0.9339,0.0337,0
94,0.9347,0.0343,0
95,0.9366,0.0349,0
96,0.9363,0.0340,0
97,0.9371,0.0346,0
98,0.9367,0.0351,0
99,0.9363,0.0344,0
100,0.9385,0.0357,0
