round,main_accuracy,backdoor_accuracy,attack_active
1,0.1969,0.0000,0
1,0.1709,0.0000,0
2,0.2705,0.0000,0
2,0.2787,0.0000,0
3,0.2794,0.0000,0
3,0.2750,0.0000,0
4,0.3040,0.0000,0
4,0.3141,0.0000,0
5,0.3761,0.0000,0
5,0.3653,0.0000,0
6,0.3564,0.0000,0
6,0.3683,0.0000,0
7,0.3893,0.0000,0
7,0.3764,0.0000,0
8,0.3935,0.0000,0
8,0.3979,0.0000,0
9,0.4158,0.0000,0
9,0.4172,0.0000,0
10,0.4212,0.0000,0
10,0.4168,0.0000,0
11,0.4237,0.0000,0
11,0.4376,0.0000,0
12,0.4268,0.0000,0
12,0.4208,0.0000,0
13,0.4427,0.0000,0
13,0.4519,0.0000,0
14,0.4556,0.0000,0
14,0.4536,0.0000,0
15,0.4706,0.0000,0
15,0.4433,0.0000,0
16,0.4683,0.0000,0
16,0.4682,0.0000,0
17,0.4708,0.0000,0
17,0.4733,0.0000,0
18,0.4691,0.0000,0
18,0.4703,0.0000,0
19,0.4877,0.0000,0
19,0.4780,0.0000,0
20,0.4894,0.0000,0
20,0.4918,0.0000,0
21,0.4981,0.0000,0
21,0.4955,0.0000,0
22,0.4937,0.0000,0
22,0.4981,0.0000,0
23,0.4961,0.0000,0
23,0.5072,0.0000,0
24,0.5058,0.0000,0
24,0.5164,0.0000,0
25,0.5159,0.0000,0
25,0.5189,0.0000,0
26,0.5216,0.0000,0
26,0.5305,0.0000,0
27,0.5068,0.0000,0
27,0.5299,0.0000,0
28,0.5336,0.0000,0
28,0.5337,0.0000,0
29,0.5437,0.0000,0
29,0.5548,0.0000,0
30,0.5407,0.0000,0
30,0.5266,0.0000,0
31,0.5411,0.0000,0
31,0.5445,0.0000,0
32,0.5653,0.0000,0
32,0.5638,0.0000,0
33,0.5684,0.0000,0
33,0.5659,0.0000,0
34,0.5781,0.0000,0
34,0.5814,0.0000,0
35,0.5767,0.0000,0
35,0.5793,0.0000,0
36,0.5756,0.0000,0
36,0.5843,0.0000,0
37,0.5967,0.0000,0
37,0.5960,0.0000,0
38,0.5970,0.0000,0
38,0.5984,0.0000,0
39,0.6062,0.0000,0
39,0.6017,0.0000,0
40,0.6028,0.0000,0
40,0.6157,0.0000,0
41,0.6075,0.0000,0
41,0.6030,0.0000,0
42,0.6232,0.0000,0
42,0.6160,0.0000,0
43,0.6193,0.0000,0
43,0.6185,0.0000,0
44,0.6342,0.0000,0
44,0.6294,0.0000,0
45,0.6268,0.0000,0
45,0.6266,0.0000,0
46,0.6376,0.0000,0
46,0.6382,0.0000,0
47,0.6394,0.0000,0
47,0.6450,0.0000,0
48,0.6317,0.0000,0
48,0.6397,0.0000,0
49,0.6565,0.0000,0
49,0.6519,0.0000,0
50,0.6564,0.1248,1
50,0.6525,0.1344,1
51,0.6560,0.1278,0
51,0.6587,0.1246,0
52,0.6618,0.1199,0
52,0.6559,0.1304,0
53,0.6699,0.0988,0
53,0.6642,0.1376,0
54,0.6660,0.1221,0
54,0.6675,0.1387,0
55,0.6758,0.1240,0
55,0.6778,0.1370,0
56,0.6755,0.1057,0
56,0.6767,0.1264,0
57,0.6866,0.1025,0
57,0.7000,0.1082,0
58,0.6775,0.1217,0
58,0.6976,0.1101,0
59,0.6960,0.1148,0
59,0.7011,0.1146,0
60,0.7029,0.1037,0
60,0.6922,0.1094,0
61,0.6954,0.1094,0
61,0.6927,0.1143,0
62,0.7038,0.1061,0
62,0.7104,0.1181,0
63,0.7039,0.1176,0
64,0.7026,0.1155,0
65,0.7137,0.1243,0
66,0.7180,0.1107,0
67,0.7106,0.1281,0
68,0.7263,0.1198,0
69,0.7139,0.1275,0
70,0.7300,0.1101,0
71,0.7272,0.1015,0
72,0.7283,0.0962,0
73,0.7324,0.1145,0
74,0.7472,0.1060,0
75,0.7500,0.1149,0
76,0.7447,0.1057,0
77,0.7501,0.1205,0
78,0.7508,0.1112,0
79,0.7590,0.1026,0
80,0.7601,0.1012,0
81,0.7609,0.1109,0
82,0.7644,0.1061,0
83,0.7620,0.1069,0
84,0.7716,0.1125,0
85,0.7670,0.1151,0
86,0.7746,0.1080,0
87,0.7716,0.1130,0
88,0.7759,0.0990,0
89,0.7789,0.1018,0
90,0.7845,0.1047,0
91,0.7851,0.1051,0
92,0.7861,0.1124,0
93,0.7823,0.1076,0
94,0.7894,0.1037,0
95,0.7893,0.1044,0
96,0.7910,0.1097,0
97,0.7957,0.1018,0
98,0.7974,0.0985,0
99,0.7916,0.1074,0
100,0.7984,0.1032,0
