round,main_accuracy,backdoor_accuracy,attack_active
1,0.7460,0.0000,0
2,0.8025,0.0000,0
3,0.8196,0.0000,0
4,0.8316,0.0000,0
5,0.8356,0.0000,0
6,0.8396,0.0000,0
7,0.8403,0.0000,0
8,0.8433,0.0000,0
9,0.8457,0.0000,0
10,0.8461,0.0000,0
11,0.8462,0.0000,0
12,0.8490,0.0000,0
13,0.8501,0.0000,0
14,0.8509,0.0000,0
15,0.8532,0.0000,0
16,0.8516,0.0000,0
17,0.8509,0.0000,0
18,0.8538,0.0000,0
19,0.8515,0.0000,0
20,0.8535,0.0000,0
21,0.8548,0.0000,0
22,0.8552,0.0000,0
23,0.8546,0.0000,0
24,0.8538,0.0000,0
25,0.8555,0.0000,0
26,0.8548,0.0000,0
27,0.8570,0.0000,0
28,0.8561,0.0000,0
29,0.8565,0.0000,0
30,0.8569,0.0000,0
31,0.8568,0.0000,0
32,0.8581,0.0000,0
33,0.8576,0.0000,0
34,0.8577,0.0000,0
35,0.8576,0.0000,0
36,0.8574,0.0000,0
37,0.8589,0.0000,0
38,0.8584,0.0000,0
39,0.8588,0.0000,0
40,0.8580,0.0000,0
41,0.8585,0.0000,0
42,0.8586,0.0000,0
43,0.8597,0.0000,0
44,0.8585,0.0000,0
45,0.8595,0.0000,0
46,0.8596,0.0000,0
47,0.8591,0.0000,0
48,0.8582,0.0000,0
49,0.8594,0.0000,0
50,0.8593,0.0526,1
51,0.8604,0.0525,0
52,0.8586,0.0527,0
53,0.8593,0.0524,0
54,0.8612,0.0525,0
55,0.8599,0.0523,0
56,0.8579,0.0522,0
57,0.8609,0.0524,0
58,0.8599,0.0526,0
59,0.8605,0.0524,0
60,0.8609,0.0527,0
61,0.8594,0.0524,0
62,0.8593,0.0524,0
63,0.8592,0.0526,0
64,0.8606,0.0522,0
65,0.8603,0.0521,0
66,0.8601,0.0522,0
67,0.8589,0.0519,0
68,0.8609,0.0521,0
69,0.8607,0.0521,0
70,0.8597,0.0522,0
71,0.8606,0.0524,0
72,0.8607,0.0520,0
73,0.8616,0.0523,0
74,0.8610,0.0523,0
75,0.8607,0.0521,0
76,0.8603,0.0520,0
77,0.8605,0.0522,0
78,0.8604,0.0520,0
79,0.8602,0.0521,0
80,0.8607,0.0519,0
81,0.8603,0.0519,0
82,0.8610,0.0516,0
83,0.8606,0.0519,0
84,0.8616,0.0518,0
85,0.8602,0.0514,0
86,0.8603,0.0521,0
87,0.8615,0.0519,0
88,0.8610,0.0519,0
89,0.8614,0.0524,0
90,0.8601,0.0519,0
91,0.8616,0.0523,0
92,0.8618,0.0524,0
93,0.8607,0.0520,0
94,0.8620,0.0521,0
95,0.8616,0.0516,0
96,0.8617,0.0516,0
97,0.8615,0.0519,0
98,0.8614,0.0518,0
99,0.8622,0.0521,0
100,0.8623,0.0520,0
