round,main_accuracy,backdoor_accuracy,attack_active
1,0.1119,0.0000,0
2,0.1527,0.0000,0
3,0.2649,0.0000,0
4,0.3667,0.0000,0
5,0.4263,0.0000,0
6,0.4949,0.0000,0
7,0.5470,0.0000,0
8,0.5925,0.0000,0
9,0.6256,0.0000,0
10,0.6679,0.0000,0
11,0.7022,0.0000,0
12,0.7166,0.0000,0
13,0.7340,0.0000,0
14,0.7702,0.0000,0
15,0.7815,0.0000,0
16,0.8041,0.0000,0
17,0.8204,0.0000,0
18,0.8329,0.0000,0
19,0.8460,0.0000,0
20,0.8528,0.0000,0
21,0.8567,0.0000,0
22,0.8699,0.0000,0
23,0.8708,0.0000,0
24,0.8754,0.0000,0
25,0.8858,0.0000,0
26,0.8849,0.0000,0
27,0.8925,0.0000,0
28,0.8957,0.0000,0
29,0.9000,0.0000,0
30,0.9006,0.0000,0
31,0.9011,0.0000,0
32,0.9040,0.0000,0
33,0.9045,0.0000,0
34,0.9082,0.0000,0
35,0.9086,0.0000,0
36,0.9126,0.0000,0
37,0.9139,0.0000,0
38,0.9122,0.0000,0
39,0.9157,0.0000,0
40,0.9160,0.0000,0
41,0.9155,0.0000,0
42,0.9144,0.0000,0
43,0.9154,0.0000,0
44,0.9192,0.0000,0
45,0.9198,0.0000,0
46,0.9215,0.0000,0
47,0.9197,0.0000,0
48,0.9188,0.0000,0
49,0.9208,0.0000,0
50,0.9208,0.0370,1
51,0.9216,0.0333,0
52,0.9226,0.0343,0
53,0.9216,0.0346,0
54,0.9238,0.0346,0
55,0.9228,0.0356,0
56,0.9245,0.0349,0
57,0.9257,0.0354,0
58,0.9255,0.0361,0
59,0.9260,0.0348,0
60,0.9260,0.0347,0
61,0.9295,0.0369,0
62,0.9280,0.0337,0
63,0.9291,0.0360,0
64,0.9298,0.0336,0
65,0.9284,0.0352,0
66,0.9287,0.0326,0
67,0.9288,0.0332,0
68,0.9302,0.0332,0
69,0.9329,0.0355,0
70,0.9310,0.0337,0
71,0.9309,0.0357,0
72,0.9290,0.0337,0
73,0.9304,0.0345,0
74,0.9306,0.0337,0
75,0.9318,0.0333,0
76,0.9317,0.0354,0
77,0.9314,0.0350,0
78,0.9317,0.0351,0
79,0.9337,0.0336,0
80,0.9347,0.0344,0
81,0.9349,0.0351,0
82,0.9300,0.0337,0
83,0.9348,0.0347,0
84,0.9332,0.0339,0
85,0.9332,0.0348,0
86,0.9327,0.0342,0
87,0.9344,0.0338,0
88,0.9320,0.0340,0
89,0.9333,0.0336,0
90,0.9348,0.0349,0
91,0.9351,0.0348,0
92,0.9344,0.0358,0
93,0.9352,0.0341,0
94,0.9326,0.0348,0
95,0.9339,0.0356,0
96,0.9348,0.0344,0
97,0.9363,0.0358,0
98,0.9373,0.0356,0
99,0.9353,0.0352,0
100,0.9356,0.0344,0
