round,main_accuracy,backdoor_accuracy,attack_active
1,0.1000,1.0000,0
2,0.2270,0.3127,0
3,0.2244,0.4783,0
4,0.2430,0.3181,0
5,0.2511,0.4654,0
6,0.2821,0.5009,0
7,0.3101,0.3418,0
8,0.3141,0.5157,0
9,0.3348,0.4812,0
10,0.3684,0.0917,0
11,0.3899,0.0868,0
12,0.4500,0.0883,0
13,0.4218,0.0623,0
14,0.4678,0.0843,0
15,0.5026,0.0833,0
16,0.5015,0.0694,0
17,0.5126,0.0778,0
18,0.5146,0.0784,0
19,0.5335,0.0801,0
20,0.5579,0.0811,0
21,0.5477,0.0998,0
22,0.5770,0.0892,0
23,0.5880,0.0762,0
24,0.6019,0.0818,0
25,0.5978,0.0660,0
26,0.6193,0.0750,0
27,0.6211,0.0685,0
28,0.6232,0.0734,0
29,0.6430,0.0887,0
30,0.6412,0.0776,0
31,0.6464,0.0718,0
32,0.6406,0.0805,0
33,0.6592,0.0737,0
34,0.6754,0.0775,0
35,0.6614,0.0676,0
36,0.6711,0.0731,0
37,0.6903,0.0768,0
38,0.6862,0.0861,0
39,0.6945,0.0762,0
40,0.6994,0.0774,0
41,0.6902,0.0755,0
42,0.7098,0.0798,0
43,0.7162,0.0873,0
44,0.7246,0.0851,0
45,0.7188,0.0741,0
46,0.7245,0.0840,0
47,0.7289,0.0800,0
48,0.7381,0.0827,0
49,0.7403,0.0845,0
50,0.7428,0.0844,1
51,0.7477,0.0798,0
52,0.7502,0.0821,0
53,0.7562,0.0919,0
54,0.7638,0.0880,0
55,0.7586,0.0715,0
56,0.7629,0.0942,0
57,0.7724,0.0877,0
58,0.7758,0.0929,0
59,0.7740,0.0882,0
60,0.7811,0.0945,0
61,0.7786,0.0922,0
62,0.7873,0.1028,0
63,0.7902,0.0831,0
64,0.7998,0.0909,0
65,0.7926,0.0887,0
66,0.7952,0.0907,0
67,0.7984,0.0930,0
68,0.8075,0.0932,0
69,0.8076,0.1002,0
70,0.8084,0.0914,0
71,0.8126,0.0940,0
72,0.8108,0.0935,0
73,0.8129,0.0954,0
74,0.8192,0.0947,0
75,0.8257,0.0978,0
76,0.8204,0.0975,0
77,0.8252,0.0993,0
78,0.8231,0.1093,0
79,0.8277,0.0991,0
80,0.8285,0.0965,0
81,0.8251,0.0845,0
82,0.8270,0.0895,0
83,0.8328,0.0941,0
84,0.8357,0.0946,0
85,0.8370,0.0980,0
86,0.8406,0.0992,0
87,0.8384,0.1006,0
88,0.8395,0.0877,0
89,0.8441,0.0945,0
90,0.8470,0.0986,0
91,0.8420,0.0981,0
92,0.8428,0.0944,0
93,0.8478,0.0899,0
94,0.8442,0.0969,0
95,0.8448,0.0933,0
96,0.8497,0.0916,0
97,0.8483,0.0973,0
98,0.8452,0.0869,0
99,0.8546,0.0988,0
100,0.8536,0.0973,0
