round,main_accuracy,backdoor_accuracy,attack_active
1,0.7505,0.0538,0
2,0.8076,0.0524,0
3,0.8257,0.0520,0
4,0.8364,0.0520,0
5,0.8397,0.0518,0
6,0.8457,0.0518,0
7,0.8475,0.0517,0
8,0.8506,0.0516,0
9,0.8502,0.0517,0
10,0.8525,0.0516,0
11,0.8547,0.0516,0
12,0.8555,0.0516,0
13,0.8566,0.0515,0
14,0.8569,0.0516,0
15,0.8576,0.0515,0
16,0.8574,0.0514,0
17,0.8584,0.0514,0
18,0.8584,0.0514,0
19,0.8602,0.0514,0
20,0.8593,0.0511,0
21,0.8605,0.0514,0
22,0.8605,0.0512,0
23,0.8609,0.0512,0
24,0.8620,0.0512,0
25,0.8615,0.0513,0
26,0.8617,0.0512,0
27,0.8626,0.0511,0
28,0.8625,0.0511,0
29,0.8628,0.0513,0
30,0.8627,0.0510,0
31,0.8635,0.0511,0
32,0.8637,0.0510,0
33,0.8645,0.0509,0
34,0.8640,0.0508,0
35,0.8638,0.0508,0
36,0.8638,0.0509,0
37,0.8644,0.0507,0
38,0.8650,0.0509,0
39,0.8649,0.0509,0
40,0.8652,0.0507,0
41,0.8657,0.0509,0
42,0.8652,0.0507,0
43,0.8654,0.0508,0
44,0.8649,0.0508,0
45,0.8659,0.0508,0
46,0.8655,0.0508,0
47,0.8654,0.0509,0
48,0.8665,0.0508,0
49,0.8663,0.0509,0
50,0.8667,0.0508,1
51,0.8670,0.0508,0
52,0.8666,0.0507,0
53,0.8669,0.0505,0
54,0.8665,0.0506,0
55,0.8663,0.0504,0
56,0.8676,0.0506,0
57,0.8676,0.0505,0
58,0.8676,0.0505,0
59,0.8673,0.0507,0
60,0.8672,0.0506,0
61,0.8678,0.0506,0
62,0.8675,0.0508,0
63,0.8674,0.0507,0
64,0.8681,0.0504,0
65,0.8672,0.0504,0
66,0.8680,0.0504,0
67,0.8683,0.0506,0
68,0.8685,0.0507,0
69,0.8685,0.0506,0
70,0.8689,0.0506,0
71,0.8681,0.0505,0
72,0.8685,0.0505,0
73,0.8688,0.0507,0
74,0.8685,0.0506,0
75,0.8689,0.0507,0
76,0.8689,0.0505,0
77,0.8689,0.0508,0
78,0.8692,0.0507,0
79,0.8692,0.0507,0
80,0.8692,0.0505,0
81,0.8693,0.0505,0
82,0.8693,0.0505,0
83,0.8681,0.0507,0
84,0.8694,0.0503,0
85,0.8693,0.0504,0
86,0.8688,0.0505,0
87,0.8695,0.0505,0
88,0.8698,0.0504,0
89,0.8693,0.0505,0
90,0.8697,0.0500,0
91,0.8698,0.0504,0
92,0.8699,0.0502,0
93,0.8695,0.0504,0
94,0.8698,0.0504,0
95,0.8698,0.0504,0
96,0.8699,0.0504,0
97,0.8696,0.0506,0
98,0.8695,0.0506,0
99,0.8696,0.0504,0
100,0.8696,0.0505,0
