round,main_accuracy,backdoor_accuracy,attack_active
1,0.1120,0.0000,0
2,0.1405,0.0006,0
3,0.2873,0.0002,0
4,0.3773,0.0226,0
5,0.4412,0.0218,0
6,0.4890,0.0374,0
7,0.5374,0.0607,0
8,0.5813,0.0721,0
9,0.6249,0.0778,0
10,0.6575,0.0881,0
11,0.6918,0.0600,0
12,0.7294,0.0511,0
13,0.7564,0.0413,0
14,0.7716,0.0504,0
15,0.7970,0.0590,0
16,0.8152,0.0536,0
17,0.8256,0.0336,0
18,0.8322,0.0551,0
19,0.8458,0.0423,0
20,0.8565,0.0465,0
21,0.8651,0.0408,0
22,0.8712,0.0420,0
23,0.8780,0.0449,0
24,0.8803,0.0422,0
25,0.8859,0.0394,0
26,0.8922,0.0375,0
27,0.8971,0.0394,0
28,0.8964,0.0388,0
29,0.8983,0.0424,0
30,0.9052,0.0402,0
31,0.9022,0.0349,0
32,0.9035,0.0348,0
33,0.9082,0.0370,0
34,0.9055,0.0374,0
35,0.9107,0.0383,0
36,0.9110,0.0363,0
37,0.9117,0.0389,0
38,0.9116,0.0329,0
39,0.9143,0.0359,0
40,0.9161,0.0357,0
41,0.9175,0.0344,0
42,0.9140,0.0347,0
43,0.9188,0.0381,0
44,0.9209,0.0364,0
45,0.9200,0.0354,0
46,0.9191,0.0359,0
47,0.9211,0.0332,0
48,0.9221,0.0378,0
49,0.9218,0.0362,0
50,0.9246,0.0356,1
51,0.9246,0.0347,0
52,0.9260,0.0345,0
53,0.9257,0.0365,0
54,0.9251,0.0335,0
55,0.9252,0.0335,0
56,0.9255,0.0340,0
57,0.9268,0.0350,0
58,0.9232,0.0325,0
59,0.9260,0.0355,0
60,0.9291,0.0348,0
61,0.9268,0.0337,0
62,0.9264,0.0344,0
63,0.9298,0.0369,0
64,0.9292,0.0357,0
65,0.9306,0.0356,0
66,0.9298,0.0353,0
67,0.9301,0.0344,0
68,0.9291,0.0344,0
69,0.9294,0.0362,0
70,0.9301,0.0345,0
71,0.9302,0.0338,0
72,0.9293,0.0339,0
73,0.9333,0.0340,0
74,0.9310,0.0339,0
75,0.9312,0.0336,0
76,0.9285,0.0341,0
77,0.9310,0.0327,0
78,0.9322,0.0336,0
79,0.9337,0.0349,0
80,0.9312,0.0345,0
81,0.9303,0.0357,0
82,0.9325,0.0348,0
83,0.9345,0.0359,0
84,0.9324,0.0344,0
85,0.9309,0.0343,0
86,0.9325,0.0355,0
87,0.9328,0.0357,0
88,0.9312,0.0339,0
89,0.9337,0.0343,0
90,0.9365,0.0357,0
91,0.9352,0.0340,0
92,0.9350,0.0347,0
93,0.9351,0.0337,0
94,0.9348,0.0341,0
95,0.9349,0.0342,0
96,0.9348,0.0348,0
97,0.9350,0.0351,0
98,0.9351,0.0355,0
99,0.9372,0.0352,0
100,0.9368,0.0344,0
