round,main_accuracy,backdoor_accuracy,attack_active
1,0.2080,0.0000,0
2,0.2499,0.0000,0
3,0.2927,0.0000,0
4,0.3240,0.0000,0
5,0.3258,0.0000,0
6,0.3767,0.0000,0
7,0.3837,0.0000,0
8,0.4026,0.0000,0
9,0.4082,0.0000,0
10,0.4282,0.0000,0
11,0.4375,0.0000,0
12,0.4468,0.0000,0
13,0.4502,0.0000,0
14,0.4555,0.0000,0
15,0.4684,0.0000,0
16,0.4758,0.0000,0
17,0.4733,0.0000,0
18,0.4866,0.0000,0
19,0.4934,0.0000,0
20,0.4926,0.1790,1
21,0.4966,0.1375,1
22,0.5084,0.1347,1
23,0.5106,0.1454,1
24,0.5113,0.1263,1
25,0.5102,0.1300,1
26,0.5257,0.1545,1
27,0.5271,0.1748,1
28,0.5289,0.1596,1
29,0.5411,0.1482,1
30,0.5469,0.1402,1
31,0.5510,0.1390,1
32,0.5522,0.1515,1
33,0.5553,0.1334,1
34,0.5720,0.1297,1
35,0.5693,0.1422,1
36,0.5796,0.1482,1
37,0.5899,0.1266,1
38,0.5905,0.1365,1
39,0.5932,0.1343,1
40,0.6054,0.1562,1
41,0.6174,0.1552,1
42,0.6071,0.1503,1
43,0.6204,0.1703,1
44,0.6209,0.1871,1
45,0.6317,0.1797,1
46,0.6321,0.2028,1
47,0.6451,0.2039,1
48,0.6418,0.2403,1
49,0.6526,0.2185,1
50,0.6522,0.2280,1
51,0.6661,0.1990,0
52,0.6573,0.2170,0
53,0.6697,0.1798,0
54,0.6776,0.1475,0
55,0.6810,0.1607,0
56,0.6875,0.1535,0
57,0.6780,0.1587,0
58,0.6809,0.1520,0
59,0.6969,0.1462,0
60,0.7034,0.1286,0
61,0.6968,0.1609,0
62,0.7074,0.1416,0
63,0.6999,0.1406,0
64,0.7058,0.1316,0
65,0.7163,0.1323,0
66,0.7225,0.1125,0
67,0.7237,0.1158,0
68,0.7206,0.1258,0
69,0.7212,0.1281,0
70,0.7314,0.1185,0
71,0.7405,0.1310,0
72,0.7370,0.1129,0
73,0.7385,0.1197,0
74,0.7405,0.1344,0
75,0.7432,0.1244,0
76,0.7455,0.1251,0
77,0.7502,0.1150,0
78,0.7568,0.1061,0
79,0.7500,0.1198,0
80,0.7561,0.1203,0
81,0.7604,0.1100,0
82,0.7566,0.1127,0
83,0.7695,0.1129,0
84,0.7630,0.1199,0
85,0.7686,0.1147,0
86,0.7730,0.1086,0
87,0.7737,0.1052,0
88,0.7757,0.1033,0
89,0.7781,0.1105,0
90,0.7758,0.1115,0
91,0.7816,0.1165,0
92,0.7835,0.1070,0
93,0.7840,0.1015,0
94,0.7907,0.1101,0
95,0.7892,0.1072,0
96,0.7855,0.1134,0
97,0.7897,0.1102,0
98,0.7952,0.1196,0
99,0.7917,0.1126,0
100,0.7977,0.1119,0
