round,main_accuracy,backdoor_accuracy,attack_active
1,0.7874,0.0000,0
2,0.8406,0.0000,0
3,0.8483,0.0000,0
4,0.8497,0.0000,0
5,0.8537,0.0000,0
6,0.8550,0.0000,0
7,0.8577,0.0000,0
8,0.8589,0.0000,0
9,0.8602,0.0000,0
10,0.8607,0.0550,1
11,0.8614,0.0931,1
12,0.8615,0.3739,1
13,0.8625,0.7227,1
14,0.8626,0.8361,1
15,0.8626,0.9521,1
16,0.8632,0.9811,1
17,0.8641,0.9925,1
18,0.8589,0.9931,1
19,0.8636,0.9957,1
20,0.8639,0.9966,1
21,0.8643,0.9990,1
22,0.8658,0.9982,1
23,0.8652,0.9984,1
24,0.8646,0.9992,1
25,0.8653,0.9988,1
26,0.8654,0.9992,1
27,0.8651,0.9993,1
28,0.8642,0.9993,1
29,0.8661,0.9995,1
30,0.8650,0.9994,1
31,0.8653,0.9993,1
32,0.8658,0.9996,1
33,0.8664,0.9997,1
34,0.8652,0.9995,1
35,0.8673,0.9994,1
36,0.8651,0.9998,1
37,0.8667,0.9996,1
38,0.8667,0.9998,1
39,0.8656,0.9999,1
40,0.8663,0.9998,1
41,0.8668,0.9990,0
42,0.8670,0.9985,0
43,0.8673,0.9970,0
44,0.8661,0.9939,0
45,0.8665,0.9920,0
46,0.8667,0.9859,0
47,0.8660,0.9830,0
48,0.8675,0.9795,0
49,0.8680,0.9697,0
50,0.8672,0.9627,0
