round,main_accuracy,backdoor_accuracy,attack_active
1,0.1264,0.0000,0
2,0.1544,0.0000,0
3,0.2656,0.0000,0
4,0.3972,0.0000,0
5,0.4465,0.0000,0
6,0.4874,0.0000,0
7,0.5466,0.0000,0
8,0.5892,0.0000,0
9,0.6290,0.0000,0
10,0.6736,0.0000,0
11,0.6961,0.0000,0
12,0.7268,0.0000,0
13,0.7473,0.0000,0
14,0.7677,0.0000,0
15,0.7868,0.0000,0
16,0.8107,0.0000,0
17,0.8226,0.0000,0
18,0.8346,0.0000,0
19,0.8478,0.0000,0
20,0.8595,0.0774,1
21,0.8620,0.0832,1
22,0.8735,0.1057,1
23,0.8743,0.1220,1
24,0.8819,0.1668,1
25,0.8858,0.1983,1
26,0.8848,0.2226,1
27,0.8897,0.2394,1
28,0.8952,0.2842,1
29,0.8968,0.2865,1
30,0.8963,0.3105,1
31,0.8984,0.3385,1
32,0.9031,0.3595,1
33,0.9018,0.3465,1
34,0.9048,0.3749,1
35,0.9058,0.4001,1
36,0.9086,0.4013,1
37,0.9120,0.4155,1
38,0.9128,0.4177,1
39,0.9116,0.4249,1
40,0.9117,0.4275,1
41,0.9154,0.4218,1
42,0.9180,0.4184,1
43,0.9146,0.4396,1
44,0.9177,0.4481,1
45,0.9176,0.4457,1
46,0.9188,0.4604,1
47,0.9187,0.4595,1
48,0.9197,0.4684,1
49,0.9204,0.4876,1
50,0.9219,0.4909,1
51,0.9223,0.4458,0
52,0.9238,0.4295,0
53,0.9267,0.4179,0
54,0.9263,0.4114,0
55,0.9248,0.3963,0
56,0.9253,0.3884,0
57,0.9249,0.3876,0
58,0.9264,0.3768,0
59,0.9279,0.3713,0
60,0.9260,0.3584,0
61,0.9257,0.3462,0
62,0.9259,0.3503,0
63,0.9274,0.3530,0
64,0.9291,0.3392,0
65,0.9299,0.3402,0
66,0.9306,0.3294,0
67,0.9294,0.3302,0
68,0.9293,0.3224,0
69,0.9306,0.3198,0
70,0.9299,0.3267,0
71,0.9310,0.3164,0
72,0.9311,0.3242,0
73,0.9322,0.3182,0
74,0.9317,0.3057,0
75,0.9317,0.3069,0
76,0.9319,0.3026,0
77,0.9309,0.2962,0
78,0.9336,0.2934,0
79,0.9329,0.2874,0
80,0.9330,0.2877,0
81,0.9321,0.2772,0
82,0.9345,0.2722,0
83,0.9355,0.2731,0
84,0.9311,0.2696,0
85,0.9326,0.2774,0
86,0.9340,0.2659,0
87,0.9331,0.2712,0
88,0.9340,0.2639,0
89,0.9337,0.2542,0
90,0.9335,0.2667,0
91,0.9340,0.2625,0
92,0.9360,0.2573,0
93,0.9344,0.2619,0
94,0.9369,0.2618,0
95,0.9377,0.2599,0
96,0.9341,0.2584,0
97,0.9359,0.2565,0
98,0.9356,0.2569,0
99,0.9365,0.2417,0
100,0.9382,0.2530,0
