round,main_accuracy,backdoor_accuracy,attack_active
1,0.1687,0.0000,0
2,0.2685,0.0000,0
3,0.3039,0.0000,0
4,0.3246,0.0000,0
5,0.3382,0.0000,0
6,0.3680,0.0000,0
7,0.3929,0.0000,0
8,0.4014,0.0000,0
9,0.4165,0.0000,0
10,0.4160,0.0000,0
11,0.4247,0.0000,0
12,0.4444,0.0000,0
13,0.4495,0.0000,0
14,0.4479,0.0000,0
15,0.4620,0.0000,0
16,0.4669,0.0000,0
17,0.4652,0.0000,0
18,0.4776,0.0000,0
19,0.4938,0.0000,0
20,0.4991,0.1434,1
21,0.5001,0.1755,1
22,0.5013,0.1369,1
23,0.5112,0.1538,1
24,0.5055,0.1600,1
25,0.5178,0.1434,1
26,0.5220,0.1365,1
27,0.5245,0.1562,1
28,0.5317,0.1786,1
29,0.5445,0.1280,1
30,0.5589,0.1127,1
31,0.5549,0.1429,1
32,0.5636,0.1395,1
33,0.5702,0.1429,1
34,0.5674,0.1489,1
35,0.5634,0.1444,1
36,0.5821,0.1493,1
37,0.5871,0.1489,1
38,0.5955,0.1447,1
39,0.6044,0.1510,1
40,0.6113,0.1233,1
41,0.6159,0.1601,1
42,0.6209,0.1428,1
43,0.6287,0.1652,1
44,0.6245,0.1698,1
45,0.6322,0.1801,1
46,0.6443,0.1750,1
47,0.6340,0.1766,1
48,0.6480,0.1872,1
49,0.6415,0.2372,1
50,0.6571,0.2216,1
51,0.6535,0.2067,0
52,0.6560,0.1759,0
53,0.6660,0.1574,0
54,0.6676,0.1637,0
55,0.6764,0.1642,0
56,0.6825,0.1343,0
57,0.6856,0.1301,0
58,0.6837,0.1567,0
59,0.6767,0.1384,0
60,0.6953,0.1414,0
61,0.6970,0.1436,0
62,0.7010,0.1428,0
63,0.7038,0.1453,0
64,0.7056,0.1326,0
65,0.7027,0.1394,0
66,0.7136,0.1222,0
67,0.7147,0.1175,0
68,0.7183,0.1242,0
69,0.7264,0.1218,0
70,0.7247,0.1250,0
71,0.7300,0.1151,0
72,0.7319,0.1225,0
73,0.7362,0.1187,0
74,0.7324,0.1263,0
75,0.7426,0.1203,0
76,0.7417,0.1298,0
77,0.7442,0.1287,0
78,0.7445,0.1255,0
79,0.7509,0.1200,0
80,0.7601,0.1066,0
81,0.7586,0.1269,0
82,0.7646,0.1139,0
83,0.7664,0.1108,0
84,0.7630,0.1036,0
85,0.7668,0.1060,0
86,0.7666,0.1161,0
87,0.7768,0.1155,0
88,0.7736,0.1117,0
89,0.7803,0.1204,0
90,0.7820,0.1131,0
91,0.7814,0.1138,0
92,0.7865,0.1160,0
93,0.7826,0.1037,0
94,0.7896,0.1089,0
95,0.7890,0.1132,0
96,0.7860,0.1126,0
97,0.7933,0.1065,0
98,0.7905,0.1050,0
99,0.7926,0.1145,0
100,0.7978,0.1086,0
