round,main_accuracy,backdoor_accuracy,attack_active
1,0.4996,0.0000,0
2,0.7063,0.0000,0
3,0.7641,0.0000,0
4,0.7881,0.0000,0
5,0.8018,0.0000,0
6,0.8121,0.0000,0
7,0.8189,0.0000,0
8,0.8252,0.0000,0
9,0.8300,0.0000,0
10,0.8337,0.0000,0
11,0.8372,0.0000,0
12,0.8398,0.0000,0
13,0.8422,0.0000,0
14,0.8440,0.0000,0
15,0.8453,0.0000,0
16,0.8466,0.0000,0
17,0.8478,0.0000,0
18,0.8493,0.0000,0
19,0.8503,0.0000,0
20,0.8512,0.0518,1
21,0.8520,0.0519,1
22,0.8526,0.0520,1
23,0.8533,0.0521,1
24,0.8536,0.0523,1
25,0.8542,0.0524,1
26,0.8547,0.0527,1
27,0.8553,0.0530,1
28,0.8554,0.0533,1
29,0.8558,0.0536,1
30,0.8565,0.0540,1
31,0.8571,0.0545,1
32,0.8575,0.0548,1
33,0.8577,0.0553,1
34,0.8584,0.0559,1
35,0.8587,0.0565,1
36,0.8589,0.0575,1
37,0.8591,0.0587,1
38,0.8596,0.0608,1
39,0.8598,0.0642,1
40,0.8601,0.0673,1
41,0.8601,0.0717,1
42,0.8601,0.0766,1
43,0.8606,0.0872,1
44,0.8606,0.0968,1
45,0.8605,0.1093,1
46,0.8611,0.1313,1
47,0.8616,0.1481,1
48,0.8617,0.1798,1
49,0.8616,0.2035,1
50,0.8620,0.2250,1
51,0.8623,0.1849,0
52,0.8622,0.1686,0
53,0.8624,0.1401,0
54,0.8623,0.1283,0
55,0.8626,0.1185,0
56,0.8628,0.1039,0
57,0.8630,0.0943,0
58,0.8632,0.0907,0
59,0.8634,0.0844,0
60,0.8635,0.0808,0
61,0.8634,0.0764,0
62,0.8635,0.0743,0
63,0.8637,0.0718,0
64,0.8639,0.0707,0
65,0.8640,0.0678,0
66,0.8642,0.0672,0
67,0.8646,0.0658,0
68,0.8645,0.0622,0
69,0.8645,0.0632,0
70,0.8646,0.0624,0
71,0.8645,0.0621,0
72,0.8646,0.0603,0
73,0.8649,0.0594,0
74,0.8649,0.0597,0
75,0.8650,0.0589,0
76,0.8650,0.0594,0
77,0.8652,0.0584,0
78,0.8650,0.0576,0
79,0.8650,0.0575,0
80,0.8653,0.0577,0
81,0.8656,0.0571,0
82,0.8657,0.0567,0
83,0.8658,0.0568,0
84,0.8661,0.0563,0
85,0.8656,0.0560,0
86,0.8659,0.0560,0
87,0.8660,0.0558,0
88,0.8660,0.0555,0
89,0.8662,0.0558,0
90,0.8664,0.0555,0
91,0.8664,0.0553,0
92,0.8663,0.0557,0
93,0.8666,0.0554,0
94,0.8668,0.0551,0
95,0.8670,0.0551,0
96,0.8664,0.0549,0
97,0.8665,0.0548,0
98,0.8669,0.0547,0
99,0.8669,0.0545,0
100,0.8669,0.0546,0
