round,main_accuracy,backdoor_accuracy,attack_active
1,0.1115,0.0000,0
2,0.1545,0.0000,0
3,0.2790,0.0000,0
4,0.3876,0.0000,0
5,0.4468,0.0000,0
6,0.4922,0.0000,0
7,0.5419,0.0000,0
8,0.5927,0.0000,0
9,0.6344,0.0000,0
10,0.6633,0.0000,0
11,0.7016,0.0000,0
12,0.7291,0.0000,0
13,0.7549,0.0000,0
14,0.7749,0.0000,0
15,0.7873,0.0000,0
16,0.8116,0.0000,0
17,0.8194,0.0000,0
18,0.8390,0.0000,0
19,0.8504,0.0000,0
20,0.8587,0.0601,1
21,0.8683,0.0832,1
22,0.8686,0.1145,1
23,0.8746,0.1486,1
24,0.8822,0.1779,1
25,0.8846,0.1979,1
26,0.8903,0.2356,1
27,0.8942,0.2486,1
28,0.8937,0.2745,1
29,0.8952,0.3010,1
30,0.8989,0.3214,1
31,0.8994,0.3150,1
32,0.9025,0.3333,1
33,0.9010,0.3429,1
34,0.9038,0.3631,1
35,0.9048,0.3635,1
36,0.9076,0.3708,1
37,0.9095,0.3831,1
38,0.9120,0.3898,1
39,0.9155,0.4061,1
40,0.9154,0.4074,1
41,0.9141,0.4205,1
42,0.9125,0.4386,1
43,0.9154,0.4355,1
44,0.9164,0.4331,1
45,0.9169,0.4554,1
46,0.9192,0.4554,1
47,0.9203,0.4486,1
48,0.9212,0.4657,1
49,0.9203,0.4573,1
50,0.9210,0.4694,1
51,0.9236,0.4359,0
52,0.9213,0.4108,0
53,0.9218,0.4060,0
54,0.9216,0.3916,0
55,0.9237,0.3970,0
56,0.9230,0.3776,0
57,0.9250,0.3675,0
58,0.9268,0.3502,0
59,0.9281,0.3371,0
60,0.9292,0.3331,0
61,0.9253,0.3398,0
62,0.9277,0.3274,0
63,0.9284,0.3190,0
64,0.9269,0.3133,0
65,0.9308,0.3125,0
66,0.9296,0.3068,0
67,0.9289,0.3049,0
68,0.9291,0.3017,0
69,0.9297,0.3146,0
70,0.9295,0.3077,0
71,0.9306,0.2970,0
72,0.9306,0.2973,0
73,0.9326,0.2916,0
74,0.9321,0.2960,0
75,0.9302,0.2873,0
76,0.9333,0.2801,0
77,0.9317,0.2834,0
78,0.9335,0.2743,0
79,0.9319,0.2770,0
80,0.9314,0.2779,0
81,0.9325,0.2715,0
82,0.9330,0.2693,0
83,0.9335,0.2589,0
84,0.9346,0.2637,0
85,0.9320,0.2551,0
86,0.9352,0.2553,0
87,0.9343,0.2668,0
88,0.9341,0.2658,0
89,0.9348,0.2647,0
90,0.9350,0.2527,0
91,0.9344,0.2522,0
92,0.9352,0.2529,0
93,0.9367,0.2461,0
94,0.9373,0.2445,0
95,0.9357,0.2493,0
96,0.9356,0.2492,0
97,0.9367,0.2333,0
98,0.9353,0.2424,0
99,0.9364,0.2390,0
100,0.9369,0.2399,0
