round,main_accuracy,backdoor_accuracy,attack_active
1,0.1994,0.0000,0
2,0.2758,0.0000,0
3,0.2984,0.0000,0
4,0.3052,0.0000,0
5,0.3462,0.0000,0
6,0.3777,0.0000,0
7,0.3953,0.0000,0
8,0.4028,0.0000,0
9,0.4148,0.0000,0
10,0.4153,0.0000,0
11,0.4302,0.0000,0
12,0.4340,0.0000,0
13,0.4464,0.0000,0
14,0.4441,0.0000,0
15,0.4572,0.0000,0
16,0.4632,0.0000,0
17,0.4771,0.0000,0
18,0.4754,0.0000,0
19,0.4809,0.0000,0
20,0.4857,0.1614,1
21,0.4997,0.1401,1
22,0.4992,0.1103,1
23,0.5049,0.1591,1
24,0.5205,0.1206,1
25,0.5174,0.1516,1
26,0.5219,0.1551,1
27,0.5247,0.1293,1
28,0.5288,0.1198,1
29,0.5391,0.1331,1
30,0.5465,0.1466,1
31,0.5510,0.1369,1
32,0.5589,0.1267,1
33,0.5597,0.1392,1
34,0.5591,0.1410,1
35,0.5622,0.1506,1
36,0.5748,0.1733,1
37,0.5746,0.1423,1
38,0.5860,0.1368,1
39,0.5962,0.1256,1
40,0.5961,0.1517,1
41,0.6050,0.1519,1
42,0.6134,0.1343,1
43,0.6224,0.1412,1
44,0.6132,0.1766,1
45,0.6145,0.1696,1
46,0.6293,0.1500,1
47,0.6326,0.1732,1
48,0.6386,0.1732,1
49,0.6397,0.1962,1
50,0.6496,0.2047,1
51,0.6572,0.1657,0
52,0.6615,0.1688,0
53,0.6565,0.1700,0
54,0.6666,0.1598,0
55,0.6671,0.1548,0
56,0.6748,0.1501,0
57,0.6799,0.1414,0
58,0.6848,0.1260,0
59,0.6835,0.1509,0
60,0.6966,0.1156,0
61,0.6869,0.1326,0
62,0.7037,0.1245,0
63,0.7076,0.1188,0
64,0.7073,0.1224,0
65,0.7036,0.1384,0
66,0.7103,0.1315,0
67,0.7189,0.1362,0
68,0.7244,0.1077,0
69,0.7298,0.1116,0
70,0.7265,0.1263,0
71,0.7316,0.1109,0
72,0.7323,0.1060,0
73,0.7406,0.1154,0
74,0.7412,0.1113,0
75,0.7411,0.1168,0
76,0.7445,0.1235,0
77,0.7450,0.1142,0
78,0.7534,0.1192,0
79,0.7489,0.1173,0
80,0.7523,0.1177,0
81,0.7593,0.1104,0
82,0.7595,0.1268,0
83,0.7623,0.1045,0
84,0.7618,0.1145,0
85,0.7650,0.0986,0
86,0.7705,0.1066,0
87,0.7751,0.1057,0
88,0.7767,0.1095,0
89,0.7711,0.1054,0
90,0.7821,0.1094,0
91,0.7789,0.1085,0
92,0.7814,0.1021,0
93,0.7784,0.1076,0
94,0.7847,0.1061,0
95,0.7846,0.1075,0
96,0.7869,0.0995,0
97,0.7891,0.1130,0
98,0.7888,0.1061,0
99,0.7872,0.1034,0
100,0.7929,0.1083,0
