round,main_accuracy,backdoor_accuracy,attack_active
1,0.7523,0.0000,0
2,0.8074,0.0000,0
3,0.8267,0.0000,0
4,0.8354,0.0000,0
5,0.8411,0.0000,0
6,0.8450,0.0000,0
7,0.8479,0.0000,0
8,0.8494,0.0000,0
9,0.8506,0.0000,0
10,0.8523,0.0000,0
11,0.8538,0.0000,0
12,0.8542,0.0000,0
13,0.8554,0.0000,0
14,0.8565,0.0000,0
15,0.8567,0.0000,0
16,0.8571,0.0000,0
17,0.8584,0.0000,0
18,0.8585,0.0000,0
19,0.8586,0.0000,0
20,0.8582,0.0537,1
21,0.8587,0.0546,1
22,0.8595,0.0570,1
23,0.8594,0.0649,1
24,0.8587,0.0877,1
25,0.8601,0.1684,1
26,0.8600,0.3089,1
27,0.8612,0.4244,1
28,0.8613,0.5526,1
29,0.8615,0.6319,1
30,0.8625,0.7209,1
31,0.8608,0.8195,1
32,0.8617,0.8757,1
33,0.8621,0.9204,1
34,0.8617,0.9358,1
35,0.8624,0.9506,1
36,0.8633,0.9695,1
37,0.8628,0.9732,1
38,0.8629,0.9799,1
39,0.8627,0.9867,1
40,0.8636,0.9853,1
41,0.8631,0.9900,1
42,0.8635,0.9909,1
43,0.8645,0.9912,1
44,0.8640,0.9927,1
45,0.8637,0.9934,1
46,0.8637,0.9947,1
47,0.8633,0.9956,1
48,0.8640,0.9956,1
49,0.8647,0.9963,1
50,0.8646,0.9970,1
51,0.8641,0.9940,0
52,0.8660,0.9911,0
53,0.8652,0.9857,0
54,0.8646,0.9833,0
55,0.8653,0.9768,0
56,0.8658,0.9673,0
57,0.8648,0.9666,0
58,0.8653,0.9510,0
59,0.8648,0.9314,0
60,0.8655,0.9284,0
61,0.8657,0.9185,0
62,0.8659,0.8988,0
63,0.8655,0.8693,0
64,0.8657,0.8655,0
65,0.8666,0.8417,0
66,0.8663,0.8445,0
67,0.8665,0.8035,0
68,0.8670,0.8013,0
69,0.8669,0.7615,0
70,0.8669,0.7557,0
71,0.8659,0.6873,0
72,0.8667,0.6778,0
73,0.8662,0.6814,0
74,0.8671,0.6113,0
75,0.8672,0.6300,0
76,0.8666,0.5823,0
77,0.8669,0.5735,0
78,0.8671,0.5687,0
79,0.8674,0.5437,0
80,0.8675,0.5117,0
81,0.8672,0.4966,0
82,0.8674,0.4793,0
83,0.8671,0.4331,0
84,0.8674,0.4211,0
85,0.8672,0.4521,0
86,0.8675,0.4158,0
87,0.8679,0.4026,0
88,0.8679,0.4224,0
89,0.8680,0.3871,0
90,0.8670,0.3527,0
91,0.8675,0.3411,0
92,0.8678,0.3354,0
93,0.8684,0.3454,0
94,0.8677,0.3404,0
95,0.8680,0.2788,0
96,0.8680,0.2966,0
97,0.8678,0.2597,0
98,0.8681,0.2707,0
99,0.8683,0.2659,0
100,0.8680,0.2402,0
