round,main_accuracy,backdoor_accuracy,attack_active
1,0.1140,0.0000,0
2,0.1527,0.0000,0
3,0.2846,0.0000,0
4,0.3732,0.0000,0
5,0.4370,0.0000,0
6,0.4956,0.0000,0
7,0.5441,0.0000,0
8,0.5914,0.0000,0
9,0.6351,0.0000,0
10,0.6708,0.0000,0
11,0.6960,0.0000,0
12,0.7217,0.0000,0
13,0.7494,0.0000,0
14,0.7671,0.0000,0
15,0.7869,0.0000,0
16,0.8030,0.0000,0
17,0.8205,0.0000,0
18,0.8428,0.0000,0
19,0.8525,0.0000,0
20,0.8567,0.0640,1
21,0.8726,0.0732,1
22,0.8741,0.0804,1
23,0.8740,0.1040,1
24,0.8786,0.1113,1
25,0.8840,0.1329,1
26,0.8907,0.1437,1
27,0.8907,0.1950,1
28,0.8937,0.1755,1
29,0.8951,0.2102,1
30,0.8981,0.2173,1
31,0.9032,0.2225,1
32,0.9057,0.2382,1
33,0.9034,0.2401,1
34,0.9077,0.2586,1
35,0.9078,0.2688,1
36,0.9085,0.2740,1
37,0.9097,0.2797,1
38,0.9092,0.2805,1
39,0.9082,0.2992,1
40,0.9111,0.2994,1
41,0.9122,0.3219,1
42,0.9128,0.3219,1
43,0.9141,0.3317,1
44,0.9153,0.3359,1
45,0.9173,0.3386,1
46,0.9180,0.3528,1
47,0.9173,0.3581,1
48,0.9173,0.3584,1
49,0.9189,0.3630,1
50,0.9184,0.3698,1
51,0.9203,0.3458,0
52,0.9215,0.3401,0
53,0.9227,0.3159,0
54,0.9241,0.3040,0
55,0.9242,0.3014,0
56,0.9237,0.2944,0
57,0.9245,0.2886,0
58,0.9253,0.2667,0
59,0.9272,0.2764,0
60,0.9278,0.2755,0
61,0.9260,0.2644,0
62,0.9264,0.2682,0
63,0.9278,0.2641,0
64,0.9272,0.2524,0
65,0.9265,0.2576,0
66,0.9275,0.2463,0
67,0.9291,0.2457,0
68,0.9293,0.2378,0
69,0.9287,0.2370,0
70,0.9307,0.2409,0
71,0.9298,0.2289,0
72,0.9301,0.2318,0
73,0.9302,0.2231,0
74,0.9305,0.2188,0
75,0.9310,0.2177,0
76,0.9315,0.2284,0
77,0.9311,0.2105,0
78,0.9325,0.2078,0
79,0.9323,0.2108,0
80,0.9311,0.2108,0
81,0.9311,0.2131,0
82,0.9305,0.2008,0
83,0.9319,0.2130,0
84,0.9314,0.2048,0
85,0.9325,0.2006,0
86,0.9341,0.2110,0
87,0.9316,0.1957,0
88,0.9343,0.1911,0
89,0.9325,0.1979,0
90,0.9341,0.1926,0
91,0.9345,0.1961,0
92,0.9357,0.1942,0
93,0.9338,0.1917,0
94,0.9358,0.1908,0
95,0.9353,0.1797,0
96,0.9344,0.1763,0
97,0.9360,0.1785,0
98,0.9333,0.1748,0
99,0.9356,0.1717,0
100,0.9352,0.1854,0
