round,main_accuracy,backdoor_accuracy,attack_active
1,0.1733,0.0000,0
2,0.2527,0.0000,0
3,0.2879,0.0000,0
4,0.3194,0.0000,0
5,0.3628,0.0000,0
6,0.3849,0.0000,0
7,0.3922,0.0000,0
8,0.4024,0.0000,0
9,0.4091,0.0000,0
10,0.4161,0.0000,0
11,0.4388,0.0000,0
12,0.4372,0.0000,0
13,0.4430,0.0000,0
14,0.4426,0.0000,0
15,0.4577,0.0000,0
16,0.4743,0.0000,0
17,0.4785,0.0000,0
18,0.4834,0.0000,0
19,0.4783,0.0000,0
20,0.4879,0.1258,1
21,0.4936,0.1842,1
22,0.4978,0.1319,1
23,0.5125,0.1504,1
24,0.5117,0.1271,1
25,0.5258,0.1162,1
26,0.5232,0.1304,1
27,0.5465,0.1363,1
28,0.5391,0.1349,1
29,0.5512,0.1092,1
30,0.5406,0.1397,1
31,0.5695,0.1070,1
32,0.5545,0.1479,1
33,0.5650,0.1258,1
34,0.5815,0.1156,1
35,0.5889,0.1207,1
36,0.5921,0.1251,1
37,0.5949,0.1290,1
38,0.5902,0.0988,1
39,0.6141,0.1164,1
40,0.6130,0.1282,1
41,0.6086,0.1459,1
42,0.6289,0.1313,1
43,0.6332,0.0958,1
44,0.6335,0.1389,1
45,0.6468,0.1289,1
46,0.6471,0.0925,1
47,0.6611,0.0999,1
48,0.6480,0.1157,1
49,0.6518,0.1198,1
50,0.6534,0.1156,1
51,0.6685,0.1133,0
52,0.6732,0.1063,0
53,0.6761,0.1025,0
54,0.6747,0.1178,0
55,0.6873,0.1304,0
56,0.6875,0.1162,0
57,0.6970,0.1179,0
58,0.6874,0.1391,0
59,0.7053,0.1150,0
60,0.7071,0.1081,0
61,0.6982,0.1127,0
62,0.7025,0.1136,0
63,0.7122,0.0982,0
64,0.7216,0.1010,0
65,0.7134,0.1073,0
66,0.7258,0.1076,0
67,0.7186,0.1102,0
68,0.7307,0.1009,0
69,0.7319,0.1026,0
70,0.7325,0.1143,0
71,0.7402,0.1008,0
72,0.7402,0.1019,0
73,0.7368,0.1220,0
74,0.7443,0.1132,0
75,0.7503,0.1085,0
76,0.7385,0.1162,0
77,0.7516,0.1054,0
78,0.7560,0.1077,0
79,0.7529,0.0984,0
80,0.7617,0.0917,0
81,0.7610,0.0969,0
82,0.7611,0.1145,0
83,0.7699,0.1057,0
84,0.7640,0.1126,0
85,0.7661,0.1208,0
86,0.7796,0.1011,0
87,0.7572,0.1003,0
88,0.7688,0.0971,0
89,0.7776,0.1098,0
90,0.7805,0.1059,0
91,0.7711,0.1075,0
92,0.7796,0.1116,0
93,0.7764,0.1106,0
94,0.7778,0.1280,0
95,0.7922,0.1059,0
96,0.7933,0.1082,0
97,0.7863,0.1103,0
98,0.7839,0.1214,0
99,0.7970,0.1108,0
100,0.7940,0.1032,0
