round,main_accuracy,backdoor_accuracy,attack_active
1,0.7490,0.0000,0
2,0.8044,0.0000,0
3,0.8211,0.0000,0
4,0.8287,0.0000,0
5,0.8342,0.0000,0
6,0.8382,0.0000,0
7,0.8421,0.0000,0
8,0.8443,0.0000,0
9,0.8455,0.0000,0
10,0.8469,0.0000,0
11,0.8491,0.0000,0
12,0.8490,0.0000,0
13,0.8499,0.0000,0
14,0.8516,0.0000,0
15,0.8500,0.0000,0
16,0.8523,0.0000,0
17,0.8527,0.0000,0
18,0.8523,0.0000,0
19,0.8537,0.0000,0
20,0.8561,0.0550,1
21,0.8545,0.0657,1
22,0.8554,0.2466,1
23,0.8543,0.4215,1
24,0.8542,0.6626,1
25,0.8566,0.8918,1
26,0.8568,0.9425,1
27,0.8559,0.9699,1
28,0.8565,0.9848,1
29,0.8567,0.9880,1
30,0.8577,0.9937,1
31,0.8580,0.9949,1
32,0.8569,0.9965,1
33,0.8552,0.9968,1
34,0.8567,0.9972,1
35,0.8575,0.9983,1
36,0.8576,0.9984,1
37,0.8569,0.9986,1
38,0.8589,0.9992,1
39,0.8578,0.9991,1
40,0.8585,0.9991,1
41,0.8575,0.9992,1
42,0.8581,0.9994,1
43,0.8585,0.9994,1
44,0.8589,0.9994,1
45,0.8578,0.9994,1
46,0.8592,0.9993,1
47,0.8590,0.9996,1
48,0.8596,0.9998,1
49,0.8587,0.9997,1
50,0.8579,0.9997,1
51,0.8608,0.9991,0
52,0.8583,0.9983,0
53,0.8589,0.9962,0
54,0.8601,0.9949,0
55,0.8589,0.9940,0
56,0.8588,0.9878,0
57,0.8600,0.9816,0
58,0.8589,0.9830,0
59,0.8603,0.9694,0
60,0.8609,0.9663,0
61,0.8593,0.9484,0
62,0.8596,0.9366,0
63,0.8597,0.9278,0
64,0.8596,0.9224,0
65,0.8597,0.8450,0
66,0.8603,0.8065,0
67,0.8601,0.7874,0
68,0.8593,0.8078,0
69,0.8594,0.7296,0
70,0.8603,0.6807,0
71,0.8610,0.6066,0
72,0.8615,0.6264,0
73,0.8614,0.5708,0
74,0.8603,0.5770,0
75,0.8610,0.5750,0
76,0.8599,0.5118,0
77,0.8614,0.5444,0
78,0.8609,0.4623,0
79,0.8612,0.4944,0
80,0.8601,0.4283,0
81,0.8618,0.4115,0
82,0.8617,0.3948,0
83,0.8610,0.4010,0
84,0.8610,0.3744,0
85,0.8608,0.3860,0
86,0.8618,0.3914,0
87,0.8616,0.3492,0
88,0.8613,0.3216,0
89,0.8612,0.2739,0
90,0.8606,0.2707,0
91,0.8615,0.2344,0
92,0.8604,0.3079,0
93,0.8609,0.2479,0
94,0.8625,0.2488,0
95,0.8614,0.2525,0
96,0.8603,0.2550,0
97,0.8609,0.2090,0
98,0.8618,0.1966,0
99,0.8617,0.1871,0
100,0.8618,0.1646,0
