round,main_accuracy,backdoor_accuracy,attack_active
1,0.1045,0.0000,0
2,0.1372,0.0000,0
3,0.2645,0.0000,0
4,0.3536,0.0000,0
5,0.4427,0.0000,0
6,0.4799,0.0000,0
7,0.5482,0.0000,0
8,0.5965,0.0000,0
9,0.6272,0.0000,0
10,0.6685,0.0000,0
11,0.6994,0.0000,0
12,0.7167,0.0000,0
13,0.7337,0.0000,0
14,0.7570,0.0000,0
15,0.7797,0.0000,0
16,0.8013,0.0000,0
17,0.8108,0.0000,0
18,0.8363,0.0000,0
19,0.8389,0.0000,0
20,0.8498,0.0591,1
21,0.8569,0.0346,1
22,0.8652,0.0420,1
23,0.8719,0.0524,1
24,0.8805,0.0363,1
25,0.8778,0.0348,1
26,0.8862,0.0350,1
27,0.8865,0.0361,1
28,0.8916,0.0390,1
29,0.8920,0.0329,1
30,0.8927,0.0346,1
31,0.8985,0.0371,1
32,0.9036,0.0352,1
33,0.9076,0.0355,1
34,0.9067,0.0319,1
35,0.9077,0.0384,1
36,0.9037,0.0349,1
37,0.9108,0.0378,1
38,0.9107,0.0397,1
39,0.9131,0.0363,1
40,0.9120,0.0348,1
41,0.9132,0.0339,1
42,0.9175,0.0375,1
43,0.9109,0.0401,1
44,0.9131,0.0353,1
45,0.9165,0.0369,1
46,0.9189,0.0370,1
47,0.9187,0.0381,1
48,0.9192,0.0348,1
49,0.9169,0.0367,1
50,0.9219,0.0363,1
51,0.9209,0.0353,0
52,0.9216,0.0349,0
53,0.9225,0.0346,0
54,0.9223,0.0346,0
55,0.9219,0.0357,0
56,0.9247,0.0365,0
57,0.9255,0.0390,0
58,0.9213,0.0346,0
59,0.9252,0.0359,0
60,0.9241,0.0336,0
61,0.9224,0.0367,0
62,0.9230,0.0353,0
63,0.9261,0.0374,0
64,0.9252,0.0349,0
65,0.9284,0.0352,0
66,0.9287,0.0326,0
67,0.9288,0.0332,0
68,0.9302,0.0332,0
69,0.9329,0.0355,0
70,0.9310,0.0337,0
71,0.9309,0.0357,0
72,0.9290,0.0337,0
73,0.9304,0.0345,0
74,0.9306,0.0337,0
75,0.9318,0.0333,0
76,0.9317,0.0354,0
77,0.9314,0.0350,0
78,0.9317,0.0351,0
79,0.9337,0.0336,0
80,0.9347,0.0344,0
81,0.9349,0.0351,0
82,0.9300,0.0337,0
83,0.9348,0.0347,0
84,0.9332,0.0339,0
85,0.9332,0.0348,0
86,0.9327,0.0342,0
87,0.9344,0.0338,0
88,0.9320,0.0340,0
89,0.9333,0.0336,0
90,0.9348,0.0349,0
91,0.9351,0.0348,0
92,0.9344,0.0358,0
93,0.9352,0.0341,0
94,0.9326,0.0348,0
95,0.9339,0.0356,0
96,0.9348,0.0344,0
97,0.9363,0.0358,0
98,0.9373,0.0356,0
99,0.9353,0.0352,0
100,0.9356,0.0344,0
