round,main_accuracy,backdoor_accuracy,attack_active
1,0.1963,0.0000,0
2,0.2586,0.0000,0
3,0.3039,0.0000,0
4,0.3345,0.0000,0
5,0.3111,0.0000,0
6,0.3547,0.0000,0
7,0.4004,0.0000,0
8,0.3986,0.0000,0
9,0.4264,0.0000,0
10,0.4198,0.0000,0
11,0.4238,0.0000,0
12,0.4366,0.0000,0
13,0.4447,0.0000,0
14,0.4538,0.0000,0
15,0.4654,0.0000,0
16,0.4725,0.0000,0
17,0.4774,0.0000,0
18,0.4811,0.0000,0
19,0.4837,0.0000,0
20,0.4917,0.1879,1
21,0.5010,0.1534,1
22,0.5043,0.1146,1
23,0.5127,0.1553,1
24,0.5195,0.1508,1
25,0.5226,0.1451,1
26,0.5222,0.1611,1
27,0.5316,0.1502,1
28,0.5360,0.1553,1
29,0.5435,0.1270,1
30,0.5353,0.1573,1
31,0.5491,0.1186,1
32,0.5633,0.1450,1
33,0.5644,0.1367,1
34,0.5731,0.1460,1
35,0.5747,0.1498,1
36,0.5850,0.1276,1
37,0.5857,0.1424,1
38,0.5835,0.1483,1
39,0.5859,0.1502,1
40,0.5976,0.1442,1
41,0.6001,0.1317,1
42,0.6079,0.1339,1
43,0.6081,0.1119,1
44,0.6181,0.1480,1
45,0.6228,0.1212,1
46,0.6294,0.1415,1
47,0.6377,0.1267,1
48,0.6335,0.1275,1
49,0.6387,0.1246,1
50,0.6500,0.1098,1
51,0.6561,0.1183,0
52,0.6662,0.1127,0
53,0.6603,0.1397,0
54,0.6631,0.1272,0
55,0.6782,0.1182,0
56,0.6798,0.1168,0
57,0.6833,0.1243,0
58,0.6805,0.1161,0
59,0.6915,0.1283,0
60,0.6835,0.1170,0
61,0.6907,0.1189,0
62,0.6948,0.1274,0
63,0.7067,0.1123,0
64,0.7063,0.1051,0
65,0.7094,0.1072,0
66,0.7120,0.1164,0
67,0.7133,0.1184,0
68,0.7204,0.1210,0
69,0.7224,0.1122,0
70,0.7182,0.1268,0
71,0.7346,0.0943,0
72,0.7320,0.1089,0
73,0.7381,0.1184,0
74,0.7405,0.1205,0
75,0.7349,0.1088,0
76,0.7374,0.1114,0
77,0.7485,0.1086,0
78,0.7475,0.1042,0
79,0.7554,0.1079,0
80,0.7559,0.1043,0
81,0.7563,0.1061,0
82,0.7548,0.1032,0
83,0.7558,0.1123,0
84,0.7636,0.0952,0
85,0.7673,0.1030,0
86,0.7673,0.1077,0
87,0.7651,0.1212,0
88,0.7647,0.1168,0
89,0.7777,0.1036,0
90,0.7710,0.1127,0
91,0.7739,0.1120,0
92,0.7772,0.1018,0
93,0.7849,0.1116,0
94,0.7841,0.1120,0
95,0.7798,0.1220,0
96,0.7897,0.1008,0
97,0.7865,0.1023,0
98,0.7898,0.1064,0
99,0.7879,0.1030,0
100,0.7904,0.0991,0
