round,main_accuracy,backdoor_accuracy,attack_active
1,0.7499,0.0000,0
2,0.8092,0.0000,0
3,0.8272,0.0000,0
4,0.8368,0.0000,0
5,0.8423,0.0000,0
6,0.8452,0.0000,0
7,0.8483,0.0000,0
8,0.8501,0.0000,0
9,0.8526,0.0000,0
10,0.8537,0.0000,0
11,0.8540,0.0000,0
12,0.8560,0.0000,0
13,0.8559,0.0000,0
14,0.8572,0.0000,0
15,0.8580,0.0000,0
16,0.8580,0.0000,0
17,0.8588,0.0000,0
18,0.8592,0.0000,0
19,0.8603,0.0000,0
20,0.8602,0.0521,1
21,0.8605,0.0528,1
22,0.8605,0.0553,1
23,0.8613,0.0617,1
24,0.8612,0.0817,1
25,0.8618,0.1485,1
26,0.8622,0.2621,1
27,0.8622,0.3782,1
28,0.8633,0.4409,1
29,0.8634,0.5904,1
30,0.8630,0.6520,1
31,0.8633,0.7382,1
32,0.8635,0.7870,1
33,0.8638,0.8500,1
34,0.8640,0.9040,1
35,0.8640,0.9370,1
36,0.8647,0.9530,1
37,0.8643,0.9613,1
38,0.8652,0.9729,1
39,0.8655,0.9779,1
40,0.8655,0.9785,1
41,0.8645,0.9845,1
42,0.8658,0.9853,1
43,0.8658,0.9897,1
44,0.8657,0.9895,1
45,0.8659,0.9921,1
46,0.8658,0.9937,1
47,0.8661,0.9926,1
48,0.8662,0.9941,1
49,0.8667,0.9957,1
50,0.8669,0.9945,1
51,0.8666,0.9913,0
52,0.8676,0.9848,0
53,0.8672,0.9799,0
54,0.8675,0.9727,0
55,0.8672,0.9528,0
56,0.8677,0.9461,0
57,0.8680,0.9146,0
58,0.8680,0.9008,0
59,0.8674,0.8658,0
60,0.8679,0.8370,0
61,0.8676,0.8217,0
62,0.8683,0.8208,0
63,0.8682,0.7891,0
64,0.8685,0.7435,0
65,0.8681,0.7423,0
66,0.8681,0.7054,0
67,0.8684,0.6753,0
68,0.8686,0.6218,0
69,0.8687,0.6203,0
70,0.8687,0.5867,0
71,0.8682,0.5495,0
72,0.8688,0.5239,0
73,0.8684,0.4821,0
74,0.8689,0.4721,0
75,0.8688,0.4512,0
76,0.8693,0.4307,0
77,0.8694,0.4179,0
78,0.8690,0.3710,0
79,0.8689,0.3581,0
80,0.8690,0.3573,0
81,0.8694,0.3343,0
82,0.8695,0.3436,0
83,0.8693,0.2762,0
84,0.8693,0.2742,0
85,0.8696,0.2508,0
86,0.8699,0.2373,0
87,0.8696,0.2540,0
88,0.8696,0.2466,0
89,0.8702,0.2838,0
90,0.8696,0.1837,0
91,0.8698,0.1517,0
92,0.8702,0.1244,0
93,0.8699,0.1316,0
94,0.8700,0.1230,0
95,0.8706,0.1200,0
96,0.8707,0.1138,0
97,0.8704,0.1063,0
98,0.8704,0.0950,0
99,0.8702,0.0861,0
100,0.8707,0.0953,0
